"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","sex","class","typeStatus","relatedCatalogItem","individualCount","eventTime","fieldNumber"
"1","2021-04-05 14:25:04-03","UNESC","CRI","12392","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","Stival-Santos, A","2009","05","13","Stival-Santos, A; Schmitt, J & Silveira, S","2009","05","13","Brasil","Santa Catarina","Palma Sola","Escondida.","-53.3775","-26.471944","53º22'39''W","26º28'19''S","709","709","Frutos secos e marrons. Doação Herbário Furb (12460) Habito: Arbóreo","CRI010599","CRI010599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","11586","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","M. Verdi","2009","02","27","M. Verdi; R.P. Hasckel & G. Klemz","2009","02","18","Brasil","Santa Catarina","Tunápolis","Raigão.","-53.685556","-26.956389","53º41'8''W","26º57'23''S","380","380","Floresta Estacional Decidual","CRI008771","CRI008771","1663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:04-03","UNESC","CRI","8745","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","A. L. de Gasper",NA,NA,NA,"S. Dreveck; F.E. Carneiro","2009","01","22","Brasil","Santa Catarina","Seara","Estrada que leva a parcela IFFSC 1961.","-52.46","-27.1625","52º27'36''W","27º9'45''S","551","551","Floresta Estacional Decidual Habitat: beira de estrada Habito: arbórea","CRI001797","CRI001797","669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:04-03","UNESC","CRI","3835","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1988","04","02","Brasil","Rio Grande do Sul","Marcelino Ramos",NA,"-51.906667","-27.462222","51º54'24''W","27º27'44''S",NA,NA,"Habito: arbórea","CRI001798","CRI001798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:22-03","UNESC","CRI","11998","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","Dreveck, S","2009","02","28","Dreveck, S; Carneiro, FE","2009","02","28","Brasil","Santa Catarina","Chapecó",NA,"-52.615556","-27.100833","52º36'56''W","27º6'3''S","357","357","Flor Branca. Doação Herbário FURB (10314) Habito: Arbóreo","CRI010144","CRI010144","696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00858123","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","J. A. Kallunki",NA,NA,NA,"W. R. Anderson","1973","04","30","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 5 km (straight line) S of Caiapônia","-51.81666667","-16.9944",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858123","NY00858123_01","9475","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","448598","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","E. F. Guimarães",NA,NA,NA,"J. P. Lanna Sobrinho","1963","05","11","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Estr. Jacarepaguá","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448598","NY00448598_01","631","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00858127","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","I. M. Johnston",NA,NA,NA,"G. Gardner","1842",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858127","NY00858127_01","5040","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 10:29:00-03","NY","NYBG","448711","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma",NA,"N. Laroda",NA,NA,NA,"R. Reitz","1959","01","25","Brazil","Santa Catarina","Rio do Sul","Serra do Matador","-49.6431","-27.2144",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448711","NY00448711_01","8295","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 10:29:00-03","NY","NYBG","448696","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma",NA,"D. Boshier",NA,NA,NA,"R. P. Belém","1966","05","27","Brazil","Bahia","Jussari","Plantaçao de cacau","-39.4953","-15.1917",NA,NA,NA,NA,"coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448696","NY00448696_01","2304","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-29 10:29:00-03","NY","NYBG","448706","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma",NA,NA,NA,NA,NA,"O. Barbosa","1979","04","18","Brazil","São Paulo","Avaré",NA,"-48.9197","-23.0903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448706","NY00448706_01","5772","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 10:29:00-03","NY","NYBG","448698","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma",NA,"N. Laroda",NA,NA,NA,"L. B. Smith","1957","02","13","Brazil","Santa Catarina","Rio do Sul","Braço do Trombudo","-49.6431","-27.2142",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448698","NY00448698_01","11359","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","448693","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","N. Laroda",NA,NA,NA,"G. Jönsson","1914","06","03","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448693","NY00448693_01","497a","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 21:07:00-03","NY","NYBG","00858129","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma",NA,"E. L. M. Catharino",NA,NA,NA,"M. C. Weyland Vieira","1987","03","31","Brazil","Minas Gerais","Monte Belo","Fazenda Lagoa. Monte Belo. Cafezal do Rancho Preto.","-46.3675","-21.3267",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858129","NY00858129_01","1080","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02499216","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.",NA,NA,NA,NA,"A. P. do N. Prata","2011","05","24","Brazil","Sergipe",NA,"Capela. RVS Mata do Junco: Borda da mata.","-37.06847","-10.9644",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2306902' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499216","NY02499216_01","2622","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 10:29:00-03","NY","NYBG","448709","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma",NA,"D. Boshier",NA,NA,NA,"R. P. Belém","1966","05","27","Brazil","Bahia","Jussari","Plantaçao de cacau","-39.4953","-15.1917",NA,NA,NA,NA,"coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448709","NY00448709_01","2304","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 18:50:00-03","NY","NYBG","778869","PreservedSpecimen","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma",NA,"M. L. S. Guedes",NA,NA,NA,"G. Cavalcanti","2000","03","01","Brazil","Bahia",NA,"Pilão Arcado","-42.38","-9.95",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778869","NY00778869_01","33","Magnoliophyta","Boraginales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
