"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","279012","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Astephanus","grazielae","Astephanus grazielae","Fontella & Marquette","isotype","A. P. Duarte","9797","1966","03","26","South America","Brazil","Minas Gerais","Rio dos Cristais, Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00279012","NY00279012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1085680","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Astephanus","grazielae","Astephanus grazielae","Fontella & Marquette","possible type","A. P. Duarte","9707","1966","03","25","South America","Brazil","Minas Gerais","Rio dos Cristais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250099' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085680","NY01085680_01","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","971682","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","grazielae","Ditassa grazielae","(Fontella & Marquete) Rapini",NA,"R. C. Forzza","668","1998","02","28","South America","Brazil","Minas Gerais","Estrada para Biri-biri próximo ao córrego Sentinela.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971682","NY00971682_01","Diamantina","-43.6003","-18.2494","A. Rapini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","971681","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","grazielae","Ditassa grazielae","(Fontella & Marquete) Rapini",NA,"P. T. Sano","753","1997","12","10","South America","Brazil","Minas Gerais","Estrada Guinda-São João da Chapada, 9 km da rodovia Gouveia-Diamantina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971681","NY00971681_01","Diamantina","-43.6003","-18.2494","A. Rapini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","971683","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","grazielae","Ditassa grazielae","(Fontella & Marquete) Rapini",NA,"A. Rapini","379","1999","10","02","South America","Brazil","Minas Gerais","Disrito de Biribiri, Serra dos Cristais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971683","NY00971683_01","Diamantina","-43.6003","-18.2494","A. Rapini","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","971847","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","grazielae","Minaria grazielae","(Fontella & Marquete) T.U.P.Konno & Rapini",NA,"G. G. Hatschbach","36496","1975","02","25","South America","Brazil","Minas Gerais","Biri-Biri.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971847","NY00971847_01","Diamantina","-43.6003","-18.2494","S. Liede; U. Meve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00982220","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","grazielae","Minaria grazielae","(Fontella & Marquete) T.U.P.Konno & Rapini",NA,"H. S. Irwin","20335","1968","02","17","South America","Brazil","Minas Gerais","Serra do Cipó, km. 132 (ca. 153km N. of Belo Horizonte).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982220","NY00982220_01",NA,"-43.68","-18.57","S. Liede; U. Meve","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 10:59:43-03","ESALQ","ESA","97446","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Ditassa","grazielae","Ditassa grazielae","(Fontella & Marguete)Rapini",NA,"Farinaccio, M.A. ; et. al.","677.0","2004","03","29",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA097446","ESA097446","Diamantina","-43.6002998352051","-18.2493991851807","Farinaccio, M.A.",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 10:59:57-03","ESALQ","ESA","73690","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Minaria","grazielae","Minaria grazielae","(Fontella) T.U.P. Konno & Rapini",NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25439.0","2001","07","08",NA,"Brasil","Minas Gerais","Estrada entre Diamantina e Conselheiro Mata, 22 km da Estrada Diamantina - Gouveia. 18o17'43S, 43o50'34W. 1180 m.s.m. Afloramento rochoso (paredão) com campo arenoso adjacente.",NA,"Erva; flores creme.","ESA073690",NA,"Diamantina","-43.6002998352051","-18.2493991851807","Rapini, A.",NA,NA,"101169","auto","2010",NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:37:47-02","BGBM","B","B 10 0464821","S","Plantae",NA,NA,"Asclepiadaceae","Astephanus","grazielae","Astephanus grazielae","Fontella & Marquete","isotype",NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,"Minas Gerais.",NA,"<a href=http://herbarium.bgbm.org/object/B100464821 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100464821","B100464821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:30:41-03","UFJF","CESJ","44341","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Minaria","grazielae","Minaria grazielae","(Fontella e Marquete) T.U.P. Konno & Rapini",NA,"V.C. Souza; J. Paula-Souza; G.O. Romão; A.O. Araújo","25439","2001","07","08","América do Sul","Brasil","Minas Gerais","estrada entre Diamantina e Conselheiro Mata, 22Km da estrada Diamantina. 18º 17' 43'' S e 43º 50' 34'' W. No campo arenoso.",NA,"erva, flores cremes","CESJ044341","CESJ044341","Diamantina","-43.6002998352051","-18.2493991851807","L.C.Pereira",NA,NA,"101169","auto","2011","08","18",NA,NA,NA,NA,NA
"12","2020-12-21 16:12:23-03","MBM","MBM","34141","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Astephanus","grazielae","Astephanus grazielae","Fontella & Marquette",NA,"Hatschbach, G.; Anderson, W.R.; Gates, B.; Anderson, W.R.; Gates, B.","36946","1975","02","25","Southern America","Brazil","Minas Gerais","Biri-Biri",NA,NA,"MBM034141",NA,"Diamantina","-43.6002998352051","-18.2493991851807","Fontella, J.",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:12:23-03","MBM","MBM","347336","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Astephanus","grazielae","Astephanus grazielae","Fontella & Marquette","ISOTYPE","Duarte, A.P.","9707","1966","03","25","Southern America","Brazil","Minas Gerais","Rio dos Cristais",NA,NA,"MBM347336","MBM347336","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
