"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","county","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:43:19-03","E","E","190509","PreservedSpecimen","Plantae","Santalaceae","Thesium","brasiliense","Thesium brasiliense","Laessoe, T.; Silva, T.","1992","03","20","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:212269","<a href=http://data.rbge.org.uk/herb/E00190509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01021514","PreservedSpecimen","Plantae","Santalaceae","Thesium","aphyllum","Thesium aphyllum","A. P. Duarte","1952","10","25","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101960' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021514","Magnoliophyta","Santalales","A.DC. ex Mart.","s.n.","Carandaí","Santa Cecília.","-43.8064","-20.9536","NY01021514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01021515","PreservedSpecimen","Plantae","Santalaceae","Thesium","aphyllum","Thesium aphyllum","A. C. Brade","1935","04","14","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101963' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021515","Magnoliophyta","Santalales","A.DC. ex Mart.","s.n.",NA,"Serra do Cipó","-43.539757","-19.388386","NY01021515_01","A. C. Brade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01021511","PreservedSpecimen","Plantae","Santalaceae","Thesium","aphyllum","Thesium aphyllum","H. S. Irwin","1965","11","12","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101946' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021511","Magnoliophyta","Santalales","A.DC. ex Mart.","10232","Brasília","Ca. 3 km S.E. of Gama","-48.06349","-15.96917","NY01021511_01","G. M. Barroso","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01021513","PreservedSpecimen","Plantae","Santalaceae","Thesium","aphyllum","Thesium aphyllum","H. S. Irwin","1966","02","09","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101957' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021513","Magnoliophyta","Santalales","A.DC. ex Mart.","12377","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","NY01021513_01","G. M. Barroso","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01021512","PreservedSpecimen","Plantae","Santalaceae","Thesium","aphyllum","Thesium aphyllum","H. S. Irwin","1966","01","31","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101953' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021512","Magnoliophyta","Santalales","A.DC. ex Mart.","12166","Brasília","Chapada da Contagem, ca. 25 km N. E. of Brasília","-47.75172","-15.62355","NY01021512_01","G. M. Barroso","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687186","PreservedSpecimen","Plantae","Santalaceae","Thesium","brasiliense","Thesium brasiliense","H. Luederwaldt","1907",NA,NA,"South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687186","Magnoliophyta","Santalales","A.DC.","s.n.",NA,"Capital, Ipiranga.",NA,NA,"NY00687186_01","F. C. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","439535","PreservedSpecimen","Plantae","Santalaceae","Thesium","brasiliense","Thesium brasiliense","A. Usteri","1906","11","05","South America","Brazil","São Paulo","sheet",NA,"Ex. Herv. do Esc. Polyt. de Sao Paulo n° 11 b <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439535","Magnoliophyta","Santalales","A.DC.","12843","Sao Paulo","Avenida Paulista","-46.63","-23.5403","NY00439535_01","F. C. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01021521","PreservedSpecimen","Plantae","Santalaceae","Thesium","brasiliense","Thesium brasiliense","H. S. Irwin","1970","01","28","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102133' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021521","Magnoliophyta","Santalales","A.DC.","25469","Patrocínio","Morro da Pedras, ca. 25 km N.E. of Patrocínio","-46.9925","-18.9439","NY01021521_01","J. A. Kallunki","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","685048","PreservedSpecimen","Plantae","Santalaceae","Thesium","brasiliense","Thesium brasiliense","W. Ganev","1992","04","04","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685048","Magnoliophyta","Santalales","A.DC.","51","Abaíra","Distrito de Catolés: caminho Guarda Mor-Cristais, Serra da Brenha.","-41.88","-13.3","NY00685048_01","A. Furlan","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01021524","PreservedSpecimen","Plantae","Santalaceae","Thesium","brasiliense","Thesium brasiliense","H. S. Irwin","1970","03","28","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102143' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021524","Magnoliophyta","Santalales","A.DC.","28534","Diamantina","Serra do Espinhaço, ca. 5 km N. of São João da Chapada, road to Inhaí","-43.7533","-18.0359","NY01021524_01","J. A. Kallunki","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","685049","PreservedSpecimen","Plantae","Santalaceae","Thesium","brasiliense","Thesium brasiliense","W. Ganev","1992","07","23","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685049","Magnoliophyta","Santalales","A.DC.","708",NA,"Caminho Catolés - Boa Vista, ca. 3 km de Catolés.","-41.83","-13.32","NY00685049_01","D. C. Zappi","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
