"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:43:03-03","E","E","285114","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","paniculata","Chomelia paniculata","isotype","Buchtien, Otto","206","W. Tropical South America","BO","Departamento La Paz","Polo-Polo bei Coroico, Nordyungas.","1100","1100","herbarium specimen of unspecif","BGBASE:291923","<a href=http://data.rbge.org.uk/herb/E00285114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:03-03","E","E","285115","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","paniculata","Chomelia paniculata","isotype","Bang, Miguel","342","W. Tropical South America","BO","Departamento La Paz","Yungas.",NA,NA,"herbarium specimen of unspecif","BGBASE:291925","<a href=http://data.rbge.org.uk/herb/E00285115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285115","1905","03","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3107605","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","paniculata","Chomelia paniculata",NA,"J. L. Clark","6059","South America","Ecuador","Tungurahua","Parroquia: Río Negro. Cerro Abitagua (=Cordillera Abitagua). Trail ascends from the Baños-Puyo highway along ridge line to antennas.","1400","2000","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2905783' target='other'> <mi>dwc_moreinfo</mi></a>","NY03107605","2001","01","19","Magnoliophyta","Gentianales","(DC.) Steyerm.","Baños","-78.1386389","-1.4107219","NY03107605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 01:01:00-03","NY","NYBG","01060755","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","paniculata","Chomelia paniculata",NA,"B. A. Krukoff","6938","South America","Brazil","Amazonas",NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268835' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060755",NA,NA,NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,"NY01060755_01 NY01060755_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","709743","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","paniculata","Chomelia paniculata",NA,"L. C. Ming","398","South America","Brazil","Acre","Reserva Extrativista Chico Mendes, Seringal Independência, Colocaçao Bela Vista.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709743","1994","02","10","Magnoliophyta","Gentianales","(DC.) Steyerm.","Xapuri","-68.28","-10.45","NY00709743_01","L. C. Ming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","482566","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","paniculata","Chomelia paniculata",NA,"M. Silveira","1591","South America","Brazil","Acre","Rio Purus, margem direita, seringal Santa Cruz, colocaçao Extrema.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482566","1996","11","26","Magnoliophyta","Gentianales","(DC.) Steyerm.","Manoel Urbano","-69.6014","-9.0794","NY00482566_01","P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01060758","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","paniculata","Chomelia paniculata",NA,"N. T. da Silva","5025","South America","Brazil","Pará",NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268852' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060758",NA,NA,NA,"Magnoliophyta","Gentianales","(DC.) Steyerm.",NA,NA,NA,"NY01060758_01","M. C. Pessoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","949051","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","pohliana","Chomelia pohliana",NA,"H. S. Irwin","27315","South America","Brazil","Minas Gerais","Ca. 3 km E. of Cantoni","610","610","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949051","1970","03","10","Magnoliophyta","Gentianales","Müll.Arg.",NA,"-44.13","-17.57",NA,"J. A. Steyermark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 10:06:00-03","NY","NYBG","949995","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","pohliana","Chomelia pohliana",NA,"G. J. Shepherd","3826","South America","Brazil","Minas Gerais","Estrada Três Marias a Corinto, Km. 62.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1046816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949995","1976","11","30","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,"M. R. de V. Barbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01060760","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","pohliana","Chomelia pohliana",NA,"W. A. Ducke","628","South America","Brazil","Amazonas",NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268854' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060760",NA,NA,NA,"Magnoliophyta","Gentianales","Müll.Arg.",NA,NA,NA,"NY01060760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
