"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1801125","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","altissima","Hymenaea altissima","Ducke","Y.- T. Lee","Pessoal do Horto Florestal","23","1927","11","26","South America","Brazil","Rio de Janeiro","Mata da Vista Chinesa perto da sesde do Horto Florestal Rio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2016588' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801125","NY01801125_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","470646","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril altissima","(Ducke) Y.T.Lee & Langenh.","Y.- T. Lee; J. H. Langenheim","F. C. Hoehne","28566","1931","12","04","South America","Brazil","São Paulo","Jardim Botanico S. Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470646","NY00470646_01","altissima","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","470648","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril altissima","(Ducke) Y.T.Lee & Langenh.",NA,"J. H. Langenheim","5667","1969","11","24","South America","Brazil","São Paulo","Botanical Garden, Instituto de Botanica, Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470648","NY00470648_01","altissima","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","634092","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril altissima","(Ducke) Y.T.Lee & Langenh.",NA,"J. H. Langenheim","5673","1969","11","26","South America","Brazil","São Paulo","Botanical Garden, Instituto de Botanica, Sao Paulo","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634092",NA,"altissima","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","470659","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril altissima","(Ducke) Y.T.Lee & Langenh.",NA,"Y.- T. Lee","133","1972","01","02","South America","Brazil","São Paulo","On ground of the Instituto de Botanica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470659","NY00470659_01","altissima","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","470657","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril altissima","(Ducke) Y.T.Lee & Langenh.",NA,"A. Gehrt",NA,"1936","02","19","South America","Brazil","São Paulo","(Capital)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470657","NY00470657_01","altissima","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","470647","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril altissima","(Ducke) Y.T.Lee & Langenh.",NA,"J. H. Langenheim","5673","1969","11","26","South America","Brazil","São Paulo","Botanical Garden, Instituto de Botanica, Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470647","NY00470647_01","altissima","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:47-03","UFRJ","RFA","25154","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Hymenaea","courbaril","Hymenaea courbaril altissima","(Ducke) Y.T.Lee & Langenh.","H. C. de Lima & L. F. G. da Silva","F. M. de B. Pereira","11/039","2000","10","08",NA,"Brasil","Rio de Janeiro","Município de Cachoeira de Macacú, Fazendas consorciadas Sertão.",NA,"Árvore, 22m de altura, 68m cm de DAP, folhas verdes, frutos verdes, raízes vermelhas, cascas vermelhas, sementes brancas, rara no local.","RFA39312",NA,"altissima","Cachoeiras de Macacu","-42.6530990600586","-22.4624996185303","2001","05","30","32671","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:40:59-03","EAO","IAN","155696","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Hymenaea","altissima","Hymenaea altissima","Ducke","Pinto, RB","Langenheim, JH","5638","1969","10","23","Southern America","Brasil","Bahia","Near CEPLAC facilities.",NA,NA,"IAN155696",NA,NA,"Itabuna","-39.2803001403809","-14.7855997085571","2014","09","22","30592","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:40:59-03","EAO","IAN","155705","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Hymenaea","altissima","Hymenaea altissima","Ducke","Pinto, RB","Langenheim, JH","5667","1969","11","24","Southern America","Brasil","São Paulo","Botanical Gardens, Instituto de Botanica.",NA,NA,"IAN155705",NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","2014","09",NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
