"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","285098","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Loranthus","ruficaulis","Loranthus ruficaulis","Poepp. & Endl.","isosyntype","R. Spruce","1712","1851","07","South America","Brazil","Amazonas","Prope Barra [Manaus], Prov. Rio Negro","-59.9953079","-3.0673242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=192140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00285098","NY00285098_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","285097","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Loranthus","ruficaulis","Loranthus ruficaulis","Poepp. & Endl.","isosyntype","R. Spruce","s.n.","1850","05","South America","Brazil","Pará","In vicinibus Santarem.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=192139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00285097","NY00285097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1552593","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. H. H. Tate","108","1928","09","South America","Brazil","Amazonas","Rio Negro at Macará","-64","-0.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1951663' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552593","NY01552593_01","C. S. Caires","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-12-15 15:02:00-02","NY","NYBG","01132939","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"B. C. Bennett","4304","1990","07","South America","Ecuador","Napo","Santa Rosa, ca 1 hour down river from Ajuano","-77.45","-0.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270863' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132939",NA,"J. Kuijt","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1280045","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. T. Prance","16223","1971","11","South America","Brazil","Amazonas","Rio Negro, Ilha Providência to Ilha Arara","-63.7139654","-0.3335791","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515513' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280045","NY01280045_01","J. Kuijt","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1280029","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"J. R. Weir","s.n.","1923","09","South America","Brazil","Mato Grosso","Guajara Mirim. Madeira Mamora.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280029","NY01280029_01","J. Kuijt","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1280054","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"H. S. Irwin","47906","1960","08","South America","Brazil","Amapá","Rio Oiapoque. Islands of the first cachoeira of Rio Iaue, 0.5 km east of confluence with Rio Oiapoque","-52.37","2.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280054","NY01280054_01",NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 03:49:00-03","NY","NYBG","1280038","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"C. A. Cid Ferreira","7708","1986","08","South America","Brazil","Pará","Margem direita do rio Mapuera, entre as Cachoeira Paraiso Grande e Maracajá. Área do reservatório da 2ª etapa.","-57.583333","-0.966667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515502' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280038","NY01280038_01","J. Kuijt","13","Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","755029","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"L. Buscalioni","550","1899","08","South America","Brazil","Pará","Rio Tocantins, nella foresta Ilha do Areião.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=907913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755029","NY00755029_01","J. Kuijt","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 03:49:00-03","NY","NYBG","1280047","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"G. H. H. Tate","1052","1929","04","South America","Brazil","Amazonas","Yucabí, Rio Negro, Northern Brazil.",NA,NA,"sheet","'Not originally numbered. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280047","NY01280047_01","J. Kuijt","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
