"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","class","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:33:44-03","UNESC","CRI","8920","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Fábio C. S. Vieira","2020","04","21","M. Verdi","1288","2008","11","11","Brasil","Santa Catarina","Pouso Redondo","Corruchel.","-49.934167","-27.258611","49º56'3''W","27º15'31''S","Floresta Ombrófila Densa Habito: árvore","CRI005108","CRI005108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579829","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","17194","1967","09","14","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579829","NY00579829_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02499272","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral",NA,NA,NA,"W. W. Thomas","12721","2001","11","02","Brazil","Bahia","Una","Fazenda Bolandeira, ca. 5 km N of Comandatuba on fazenda road paralleling canal between mainland and Ilha de Comandatuba","-39.003983","-15.29983",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622976' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499272","NY02499272_01","Magnoliophyta","Myrtales","South America",NA,"5","10",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579833","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","4070","1958","10","18","Brazil","Santa Catarina","Rio do Sul","Matador, Rio do Sul.","-49.6431","-27.2144",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579833","NY00579833_01","Magnoliophyta","Myrtales","South America","sheet","350","350","paratype",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579832","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","19915","1968","10","05","Brazil","Paraná","Morretes","Colônia Floresta","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579832","NY00579832_01","Magnoliophyta","Myrtales","South America","sheet","30","50",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579831","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","25940","1970","12","29","Brazil","Paraná","Tijucas do Sul","Rod. BR-468, Río Itararé","-49.1989","-25.9283",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579831","NY00579831_01","Magnoliophyta","Myrtales","South America","sheet","900","900",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557913","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral",NA,NA,NA,"L. R. Landrum","4003","1981","12","10","Brazil","Paraná","Antonina","Antonina, along road to Guaraquecaba","-48.67","-25.33",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557913","NY00557913_01","Magnoliophyta","Myrtales","South America","sheet","100","100",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579834","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","5715","1957","12","18","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinville","-48.8456","-26.3044",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579834","NY00579834_01","Magnoliophyta","Myrtales","South America","sheet","600","600","paratype",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557957","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","F. F. Mazine",NA,NA,NA,"R. M. Klein","833","1954","10","29","Brazil","Santa Catarina","Itajaí","Cunhas, Itajaí","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557957","NY00557957_01","Magnoliophyta","Myrtales","South America","sheet","15","15",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","558094","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","17194","1967","09","14","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558094","NY00558094_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","579827","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","5211","1958","11","13","Brazil","Paraná","Campina Grande do Sul","Mandassaia","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579827","NY00579827_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","579835","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","7626","1958","11","02","Brazil","Santa Catarina","Rio do Sul","Serra do Matador, Rio do Sul","-49.6431","-27.2144",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579835","NY00579835_01","Magnoliophyta","Myrtales","South America","sheet","550","550",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","579828","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","B. K. Holst; M. L. Kawasaki",NA,NA,NA,"G. G. Hatschbach","20217","1968","11","06","Brazil","Paraná","Morretes","Col. Florestal","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579828","NY00579828_01","Magnoliophyta","Myrtales","South America","sheet","100","100",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","579836","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","8371","1959","01","26","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul","-49.563988","-27.247405",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579836","NY00579836_01","Magnoliophyta","Myrtales","South America","sheet","800","800","paratype",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","579830","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","54349","1990","10","05","Brazil","Paraná","Guaraqueçaba","Batuva","-48.3289","-25.3069",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579830","NY00579830_01","Magnoliophyta","Myrtales","South America","sheet","10","20",NA,NA,NA,NA,NA,NA,NA,NA
