"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","identifiedBy","class","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","locality","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","previousCatalogNumber"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3984","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Isabelia","violaceae","Isabelia violaceae","2017","03","02","2017","03","02","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4418","S","Plantae",NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2018","08","21",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4538","S","Plantae",NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2019","04","11",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2218","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Isabelia","violacea","Isabelia violacea","2008","04",NA,"2001","10",NA,NA,"254","Carlos A. Ferreira Jr.","Equisetopsida","(Lindl.) van den Berg & M.W.Chase","Carlos Alberto F. Jr.;","Brasil","Minas Gerais","Catas Altas da Noruega","-43.497501373291","-20.6900005340576","11539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3221","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Isabelia","violacea","Isabelia violacea","2013","10","16","2013","10","17","1","254","Carlos A. Ferreira Jr.","Equisetopsida","(Lindl.) van den Berg & M.W.Chase.","Carlos Alberto F. Jr.; Fernando Fernandes","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto","CAF","RPPN Brumas do Espinhaço e Ermo da Gerais, margens do córregos ventania, próximo ao corrego fundo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3819","S","Plantae","Magnoliophyta","Asparagales","Orchidadeceae","Isabelia","violaceae","Isabelia violaceae","2016","08",NA,NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4117","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Isabelia","violaceae","Isabelia violaceae","2017","05","26",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","910906","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1964","09","12",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989275' target='other'> <mi>dwc_moreinfo</mi></a>","G. F. J. Pabst",NA,"(Lindl.) Schltr.","G. T. Prance","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"59005","Road Brasília to Taguatinga.","South America","sheet","NY00910906","NY00910906_01",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","910908","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1964","09","03",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989280' target='other'> <mi>dwc_moreinfo</mi></a>","G. F. J. Pabst",NA,"(Lindl.) Schltr.","H. S. Irwin","Brazil","Distrito Federal","Brasília","-48.0638","-16.01719",NA,NA,"5869","Parque Municipal do Gama, ca. 20 km S of Brasília.","South America","sheet","NY00910908","NY00910908_01","700","1000",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","910907","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1921","08","10",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989278' target='other'> <mi>dwc_moreinfo</mi></a>","E. A. Christenson",NA,"(Lindl.) Schltr.","F. C. Hoehne","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"5723","Serra do Caraça. Cult. na estufa do Horto em Butantan.","South America","sheet","NY00910907","NY00910907_01",NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","886283","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1915","08","01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015513' target='other'> <mi>dwc_moreinfo</mi></a>","E. A. Christenson",NA,"(Lindl.) Schltr.","J. N. Rose","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"20663","On Papagaya.","South America","sheet","NY00886283","NY00886283_01",NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9128","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,"1973","07","25",NA,NA,NA,NA,"(Lindl.) van den Berg & M.W.Chase","Amaral Jr., A.","Brasil","São Paulo","Botucatu",NA,NA,NA,NA,"636/1078",NA,NA,NA,"BOTU009128",NA,NA,NA,"9999","9999",NA,NA
"13","2020-06-29 11:31:49-03","UFRJ","RFA","7053","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1962","07","12",NA,"Flores violaceas","V. Ferreira",NA,"(Lindl.) Schltr.","A. Mattos Filho","Brasil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto","197","Vila Velha",NA,NA,"RFA31885",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-31 13:41:19-03","MN","R","111438","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea","1962","05","25","1961","09","07",NA,NA,"Pabst, G.F.J.",NA,"(Lindl.) Schltr.","Andrade, A.G.; Emmerich, M. 1079","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"1118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-31 13:41:19-03","MN","R","170086","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea","1979","11",NA,"1978","08","09",NA,NA,"Moutinho, R.",NA,"(Lindl.) Schltr.","Emmerich, W.","Brasil","São Paulo","Campos de Jordão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-31 13:41:19-03","MN","R","170087","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea","1979","11",NA,"1978","08","04",NA,NA,"Moutinho, R.",NA,"(Lindl.) Schltr.","Emmerich, W.","Brasil","São Paulo","Campos de Jordão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
