"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","558670","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","adsurgens","Peperomia adsurgens","Yunck.","O. Handro","s.n.","1939","08","22","South America","Brazil","São Paulo","Santo André","Alto da Serra, Estacao Biologica","-46.5297","-23.66","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558670","NY00558670_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","222647","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","adsurgens","Peperomia adsurgens","Yunck.","E. Pereira","1314","1955","03","24","South America","Brazil",NA,NA,"E. do Rio, Sta. Maria Madalena, Rifa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00222647","NY00222647_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:39:28-03","MBM","MBM","428359","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","adsurgens","Peperomia adsurgens","Yunck.","Lozano, E.D.; Brotto, M.L.; Brotto, M.L.","2617","2014","02","09","Southern America","Brazil","Paraná","Morretes","Conjunto Marumbi, Trilha para o Boa Vista","-48.930222","-25.450889",NA,"Rupícola, 25 cm, espigas verdes, interior da mata.; Floresta Ombrófila Densa Montana.","MBM428359",NA,NA,"Machado-Silva, T.","2016","-48.930222","-25.450889",NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:21:12-03","UFPR","UPCB","53708","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","adsurgens","Peperomia adsurgens","Yunck.","Labiak, P.H. et al.","3634","2006","05","10",NA,"Brasil","Paraná","Guaratuba","Parque Nacional Saint-Hilaire-Lange, 25°34'S 48°42'W","-48.5746994018555","-25.8827991485596",NA,"Rupícola, local sombreado e úmido. Floresta Atlântica alto montana..",NA,NA,NA,"Silva, T.M.","2016",NA,NA,"08","41937","1400","1400","auto",NA,NA
"5","2019-11-21 10:14:12-03","IBt","SP","41276","S","Plantae",NA,NA,"Piperaceae","Peperomia","adsurgens","Peperomia adsurgens","Yunck.","Handro, O","s.n.","1939","08","22",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,"SP010601","SP010601",NA,"Yuncker, TG","1961",NA,NA,NA,"27258",NA,NA,"auto",NA,NA
"6","2019-04-11 18:29:51-03","GH","HU-HERB","GH 01981857","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","adsurgens","Peperomia adsurgens","Yuncker","Lyman B. Smith","1885","1929","2","13","South America","Brazil","São Paulo",NA,"by trail, Estação Biologica, Alto da Serra","-46.3166666667","-23.7833333333","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1885","undetermined"
