"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","dayIdentified","order","class"
"1","2019-10-09 11:27:25-03","UFBA","ALCB","131782","PreservedSpecimen","Plantae","Monocotyledon","Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Caxambu, MG","2017","10","Caxambu, MG; Siqueira, EL","7920","2017","10","05","Southern America","Brasil","Paraná","Céu Azul","Parque Nacional do iguaçu","-53.844444","-25.153611","-53.844444","-25.153611","651","651","ca 0,80m de altura, terrícola, rizomatosa. Caule de coloraçãomesclada entre castanho claro e castanho escuro. frutos imaturos verdes.; Floresta Estacional Semidecidual Submontana","ALCB048441","ALCB048441",NA,NA,NA,NA,NA
"2","2020-12-20 21:15:31-03","UFV","VIC","025175","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott",NA,NA,NA,"Carvalho, A.F.; et al.","731","2000","10","13",NA,"Brasil","Minas Gerais","Diogo de Vasconcelos","Miguel Rodrigues.","-43.198299407959","-20.4878005981445",NA,NA,NA,NA,"Planta bulbosa, de local sombreado, sob mata, inflorescência vermelho vivo.","VIC025175","VIC025175","15070","auto",NA,NA,NA
"3","2019-11-08 08:49:09-03","FURB","FURB","39064","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Nadruz, M","2013","03","Funez, L.A.","893","2012","09","08",NA,"Brasil","Santa Catarina","Blumenau","RPPN Bugerkopf.","-49.0697223","-27.0038889","-49.0697223","-27.0038889","170","170",NA,"FURB15906","FURB15906 FURB15906_1",NA,NA,"19",NA,NA
"4","2019-11-08 08:49:09-03","FURB","FURB","39082","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Nadruz, M","2013","03","Funez, L.A.","906","2012","09","20",NA,"Brasil","Santa Catarina","Blumenau","RPPN Bugerkopf.","-49.0711111","-27.0030556","-49.0711111","-27.0030556","223","223",NA,"FURB15907","FURB15907",NA,NA,"19",NA,NA
"5","2020-10-14 09:58:30-03","FURB","FURB","8757","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Uller, HF; Stival-Santos, A","2008","09","Dreveck, S.; Verdi, M. & Godoy, M.B.","267","2008","02","25",NA,"Brasil","Santa Catarina","São Cristovão do Sul",NA,"-50.4002778","-27.2697223","-50.4002778","-27.2697223","993","993","Florística IFFSC 453. Habitat: Floresta Ombrófila Mista; Habito: epífita;","FURB00592","FURB00592",NA,NA,"18",NA,NA
"6","2019-08-16 08:38:22-03","UTFPR","HCF","7450","S","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","L.G. Temponi & L.P. Poli","2010","03","M.G. Caxambu","2445","2008","12","08",NA,"Brasil","PR","Turvo","Propriedade da família Rickli","-51.551722","-25.038806","51°33'06,2 W","25°02'19,7 S","1055","1055","erva ca. 1,10 m, ciófila, terrestre, com frutos protegidos por bráctea.",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-16 08:38:22-03","UTFPR","HCF","5956","S","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","L.G. Temponi & L.P. Poli","2010","03","M.G. Caxambu","1715","2007","09","27",NA,"Brasil","PR","Campo Mourão","Parque Estadual Lago Azul (PELA)","-52.318472","-24.100889","52°19'06,5 W","24°06'03,2 S","586","586","erva ereta ca. 0,50 cm. Flores esverdeadas.",NA,NA,NA,NA,NA,NA,NA
"8","2019-08-16 08:38:22-03","UTFPR","HCF","23882","S","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","M.G. Caxambu","2017","10","M.G. Caxambu","7920","2017","10","05",NA,"Brasil","PR","Céu Azul","Parque Nacional do Iguaçu, Trilha Manoel","-53.844583","-25.153778","53°50'40,5 W","25°09'13,6 S","651","651","erva ca. 0,80 m, semi-ciófila, terrícola, rizomatosa. Caule de coloração mesclada entre castanho claro e castanho escuro. Frutos imaturos verdes.",NA,NA,NA,NA,"24",NA,NA
"9","2019-08-16 08:38:22-03","UTFPR","HCF","15806","S","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","S.F. Pereira","2013",NA,"E.D. Lozano","1062","2012","10","03",NA,"Brasil","PR","Tijucas do Sul","Rodovia BR-376","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"terrícola, 60 cm, espata creme, caule carnoso, sub-bosque de plantio de Pinus.",NA,NA,"25228","auto",NA,NA,NA
"10","2020-12-21 16:13:17-03","MBM","MBM","269609","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott",NA,NA,NA,"Tessmann, G.","2626","1947","11","07","Southern America","Brazil","Paraná","Paranaguá","Caiobá","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"MBM269609","MBM269609","24916","auto",NA,NA,NA
"11","2020-12-21 16:13:17-03","MBM","MBM","387556","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Pereira, S.F.","2013",NA,"Lozano, E.D.; Daniel, V.A.; Daniel, V.A.","1062","2012","10","03","Southern America","Brazil","Paraná","Tijucas do Sul","Rodovia BR-376","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"Terrícola, 60 cm, espata creme, caule carnoso, sub-bosque de plantio de Pinnus.","MBM387556","MBM387556","25228","auto",NA,NA,NA
"12","2021-02-11 17:17:54-03","UFPR","UPCB","27839","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Pereira, S.F.",NA,NA,"Bidá, A.",NA,"1993","09","17",NA,"Brasil","Paraná","Araucária","Campina dos Martins","-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,"Herbácea, frequente no interior da floresta com Araucaria..",NA,NA,"21346","auto",NA,NA,NA
"13","2021-02-11 17:17:54-03","UFPR","UPCB","53508","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Pereira, S.F.","2014","06","Labiak, P.H.","3020","2003","10","20",NA,"Brasil","Paraná","Morretes","Estrada da Graciosa, Caminho dos Jesuítas","-48.834400177002","-25.476900100708",NA,NA,"1000","1000","Terrestre, interior da floresta. Floresta ombrófila densa montana..",NA,NA,"30514","auto","02",NA,NA
"14","2021-02-11 17:17:54-03","UFPR","UPCB","43681","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Pereira, S.F.","2014","06","Kozera, C.","1277","1999","10","20",NA,"Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"Terrícola com espata verde. Trilha no sub-bosque, Floresta Ombrófila Densa de Encosta..",NA,NA,"30514","auto","02",NA,NA
"15","2021-02-11 17:17:54-03","UFPR","UPCB","21364","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Pereira, S.F.","2014","06","Negrelle, R.R.B.","A337","1992","08","25",NA,"Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,"Terrícola, com inflorescência branca e espata rajada com estrias marrons..",NA,NA,"18121","auto","02",NA,NA
"16","2009-06-25 21:28:00-03","MO","MOBOT","2818542","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott",NA,NA,NA,"Anonymous","Anonymous s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1792877","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","E.G. Goncalves",NA,NA,"J. Cordeiro","Cordeiro 144","1985","9","11","South America","Brazil","Paraná",NA,"Véu de Noiva (mun. Morretes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","370554","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","T. Croat",NA,NA,"Jan C. Lindeman","Lindeman 4968a","1967","3","18","South America","Brazil","Paraná",NA,"Fazenda Reserva, ca. 85 km SW of Guarapuava, planalto, capão Cachambu N of Rio dos Torres",NA,NA,NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2018-12-10 13:05:00-02","MO","MOBOT","101087507","PreservedSpecimen","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott",NA,NA,NA,"Y.S. Kuniyoshi","Kuniyoshi 114",NA,NA,NA,"South America","Brazil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA
"20","2016-04-07 14:03:33-03","UNIOESTE","UNOP","8161","S","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Temponi, L.G.","2012","09","Temponi, L.G.","1168","2012","08","17",NA,"Brasil","Paraná","Cascavel","Cultivada na Rua Agronomia 633, oriunda de Céu Azul, Parque Nacional do Iguaçu, na Trilha do Rio Azul.","-53.4552993774414","-24.9557991027832",NA,NA,NA,NA,NA,NA,NA,"47841","auto",NA,NA,NA
"21","2015-10-22 10:02:28-02","UNIOESTE","UNOP","5535","S","Plantae",NA,"Araceae","Asterostigma","tweedianum","Asterostigma tweedianum","Schott","Buturi, C. .V.; Temponi, L. .G.","2013","03","Temponi, L.G.; et al.; et al.","583","2009","10","09",NA,"Brasil","Paraná","Céu Azul","Parque Nacional do Iguaçu. Trilha de Educação Ambiental.","-53.8485984802246","-25.1466999053955",NA,NA,NA,NA,"Terricola. Unicata. Floresta Estacional Semidecidual.",NA,NA,"51148","auto","20",NA,NA
