"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","typeStatus","class","fieldNumber","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","469278","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.","J. G. Rohwer","L. Riedel","s.n.","South America","Brazil","Rio de Janeiro","Magé","Mandiocca","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469278","NY00469278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","469279","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.","J. G. Rohwer","Pessoal do Horto Florestal","313","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469279","NY00469279_01","1927","07","07",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","469277","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.","R. C. Barneby; C. K. Allen","L. Riedel","s.n.","South America","Brazil","Rio de Janeiro","Magé","Mandiocca","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469277","NY00469277_01","1823","02","01",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355508","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"L. Riedel","482","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","Comm. ex Herb. Imp. Petrop. 1862. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355508","NY00355508_01","1832",NA,NA,"lectotype",NA,NA,NA,NA,NA
"5","2020-02-08 09:36:00-03","NBC","NL-BOTANY","U.1417192","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Machado-Nunes G",NA,"Southern America","Brazil",NA,NA,"Esp. do Rio. G. Gortella. Monte Sinai.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417192 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1417192","NL-U1417192","1935","01","01",NA,"Magnoliopsidae",NA,NA,NA,NA
"6","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957867","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Schwacke",NA,NA,"Brasil","Rio de Janeiro",NA,"Brésil. Paineiras",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957867' target='other'> <mi>dwc_moreinfo</mi></a>","P01957867","P01957867_01",NA,NA,NA,NA,NA,"5389",NA,NA,NA
"7","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957868","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Beyrich",NA,NA,"Brasil",NA,NA,"Prope Rio de Janeiro",NA,NA,"hb","3.X <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957868' target='other'> <mi>dwc_moreinfo</mi></a>","P01957868","P01957868_01","1825","5","20",NA,NA,NA,NA,NA,NA
"8","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957873","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Saint-Hilaire, A.",NA,NA,"Brasil","Minas Gerais",NA,"Brésil. Province de Minas Geraes. Josè Gonzalo",NA,NA,"hb","no. 390 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957873' target='other'> <mi>dwc_moreinfo</mi></a>","P01957873","P01957873_01","1816","1","1",NA,NA,"B 19",NA,NA,NA
"9","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957874","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Saint-Hilaire, A.",NA,NA,"Brasil","Minas Gerais",NA,"Brésil. Province de Minas Geraes. Jose Gonsalo",NA,NA,"hb","No.350 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957874' target='other'> <mi>dwc_moreinfo</mi></a>","P01957874","P01957874_01","1816","1","1",NA,NA,"B 19",NA,NA,NA
"10","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957876","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Saint-Hilaire, A.",NA,NA,"Brasil",NA,NA,"Brésil. Province de Saint-Paul",NA,NA,"hb","no. 342 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957876' target='other'> <mi>dwc_moreinfo</mi></a>","P01957876","P01957876_01","1816","1","1",NA,NA,"D 805",NA,NA,NA
