"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","class","order","imagecode"
"1","2021-03-15 18:26:02-03","USP","SPF","194992","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","parviflorus","Handroanthus parviflorus","F.Esp.Santo & M.M.Silva","Espírito-Santo, FS","2012","07","29","isotype","Amorim, AMA; Paixão, JL; Sant'Ana, SC","4323","2004","10","27","Brasil","Bahia","Itapé","Estrada Itapé a Itajú do Colônia em ramal a 19,7 km da saída de Itajú. Fazenda Coração de Jesus.","-39.609722","-14.960278","-39.609722","-14.960278","Árvore ca. 6 m alt. Decídua. Flores amarelas com estrias avermelhadas.; Floresta Estacional Semidecidual.","SPF00194992",NA,NA,NA,NA
"2","2019-10-07 09:15:37-03","UEFS","HUEFS","207865","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","parviflorus","Handroanthus parviflorus","Espírito-Santo & M.M. Silva-Castro",NA,NA,NA,NA,"Parátipo","Espírito-Santo, F.S.","190","2011","12","08","Brasil","Bahia","Itapé","Estrada Itapé - Itajú do Colônia em ramal a 17,9 km de Itaju, Fazenda Coração de Jesus.","-39.609722","-14.960278","39W36'35''","14S57'37''",NA,"HUEFS0207865","Angiospermae","Asteranae","Lamiales","HUEFS0207865 HUEFS0207865_01"
"3","2020-07-23 12:00:02-03","CEPLAC","CEPEC","106833","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","parviflorus","Handroanthus parviflorus",NA,"Sem Informação",NA,NA,NA,NA,"Amorim, A. M.","4323","2004","10","27","Brasil","Bahia","ITAPÉ","Estrada Itapé a Itajú do Colônia em ramal a 19.7 km da saída de Itajú. Fazenda Coração de Jesus. FLORESTA ESTACIONAL SEMIDECIDUAL.","-39.609722","-14.960278","39W36'35","14S57'37",NA,NA,NA,NA,NA,NA
"4","2020-07-23 12:00:02-03","CEPLAC","CEPEC","148130","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","parviflorus","Handroanthus parviflorus",NA,"F. S. Espírito-Santo",NA,NA,NA,"Paratipo","F. S. Espírito-Santo","190","2011","12","08","Brasil","Bahia","ITAPÉ","Estrada Itapé-Itajú do Colônia em ramal a 17,9Km de Itajú, fazenda Coração de Jesus.","-39.609722","-14.960278","39W36'35","14S57'37","<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA
