"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","occurrenceRemarks","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","coordinatePrecision","geoFlag","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet","sex"
"1","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1493","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414809","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.","E. de C. Smidt",NA,NA,NA,"G. H. H. Tate","1937","12","01","Venezuela",NA,NA,"Mount Auyan-Tepui",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325742' target='other'> <mi>dwc_moreinfo</mi></a>","1222","South America","1100","1100","sheet","NY00414809","NY00414809_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02796058","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.",NA,NA,NA,NA,"J. G. Jardim","1998","02","03","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7.5 km percorrendo mais 1.7 km até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso","-39.58","-15.17",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474367' target='other'> <mi>dwc_moreinfo</mi></a>","1480","South America","300","450","sheet","NY02796058","NY02796058_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414798","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.","E. de C. Smidt",NA,NA,NA,"A. M. V. de Carvalho","1993","02","20","Brazil","Bahia","Jacobina","Serra do Tombador. Ca 25 km na estrada Jacobina/Morro do Chapéu","-40.5181","-11.1808",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325743' target='other'> <mi>dwc_moreinfo</mi></a>","4162","South America","750","750","sheet","NY00414798","NY00414798_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414775","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.","E. de C. Smidt",NA,NA,NA,"J. G. Jardim","1995","10","27","Brazil","Bahia","Jacobina","Entrada a 8 km na Rod. Jacobina/Capim Grosso. Distrito de Itaitú, situado a 20 km da Rodovia Cachoeira Véu da Noiva","-40.5181","-11.1808",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578765' target='other'> <mi>dwc_moreinfo</mi></a>","742","South America",NA,NA,"sheet","NY00414775","NY00414775_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3998702","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.",NA,NA,NA,NA,"O. del Castillo","1993","05","02","Peru","Pasco","Oxapampa","Rio Pisco entre Paurcatambo and Oxapampa","-75.350125","-10.73354",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314250' target='other'> <mi>dwc_moreinfo</mi></a>","6200","South America","1700",NA,"sheet","NY03998702","NY03998702_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3998701","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.",NA,NA,NA,NA,"B. Maguire","1950","11","22","Venezuela","Amazonas","Rio Cunucunuma","Cerro Duida, on ridge west of Cano Culebra",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314249' target='other'> <mi>dwc_moreinfo</mi></a>","29690","South America","1700","1800","sheet","NY03998701","NY03998701_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","414797","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.","E. de C. Smidt",NA,NA,NA,"H. S. Irwin","1971","02","17","Brazil","Bahia","Morro do Chapéu","Serra do Tombador, Summit of Morro do Chapéu, ca 7 km S of town of Morro do Chapéu","-41.1558","-11.5503",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325739' target='other'> <mi>dwc_moreinfo</mi></a>","32339","South America","1150","1150","sheet","NY00414797","NY00414797_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","414776","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.","E. de C. Smidt",NA,NA,NA,"R. M. Harley","1980","05","27","Brazil","Bahia",NA,"Serras dos Lençois. About 7-10 km along the main Seabra-Itaberaba road, W of the Lencois turning, by the Rio Mucugézinho","-41.43","-12.47",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578767' target='other'> <mi>dwc_moreinfo</mi></a>","22701","South America","800","800","sheet","NY00414776","NY00414776_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","03998699","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Lindl.",NA,NA,NA,NA,"H. S. Irwin","1963","08","14","Suriname",NA,NA,"Forested lower slopes of Juliana Top, 14 km north of Lucie Rivier","-56.5","3.6",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314244' target='other'> <mi>dwc_moreinfo</mi></a>","54782","South America","500","600","sheet","NY03998699","NY03998699_01",NA,NA,NA,NA,NA,NA,NA
