"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","typeStatus","phylum","order","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:25:36-03","UNESC","CRI","506","PreservedSpecimen","Plantae","Moraceae","Ficus","pertusa","Ficus pertusa","L.f.","Rosangela da Silva Bellettini","J. K. da Silva","1990","11","04","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI004722","CRI004722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:40-03","E","E","180563","PreservedSpecimen","Plantae","Moraceae","Ficus","gemina","Ficus gemina",NA,NA,"Pennington, T.D.; Pennington, R.T.; Daza, A.","2003","11","30","PE","Departamento Amazonas",NA,NA,NA,NA,NA,"E00180563",NA,"17604","W. Tropical South America","herbarium specimen of unspecif","BGBASE:193317","<a href=http://data.rbge.org.uk/herb/E00180563 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:40-03","E","E","205511","PreservedSpecimen","Plantae","Moraceae","Ficus","pertusa","Ficus pertusa",NA,NA,"Laessoe, T.; Sano, P T","1992","03","02","BR","Bahia",NA,NA,NA,NA,NA,"E00205511",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:218476","<a href=http://data.rbge.org.uk/herb/E00205511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:40-03","E","E","135495","PreservedSpecimen","Plantae","Moraceae","Ficus","pertusa","Ficus pertusa",NA,NA,"Moore, S.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"E00135495",NA,"676","E. Tropical South America","herbarium specimen of unspecif","BGBASE:143397","<a href=http://data.rbge.org.uk/herb/E00135495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:40-03","E","E","209012","PreservedSpecimen","Plantae","Moraceae","Ficus","pertusa","Ficus pertusa",NA,NA,"Steinbach, Jose","1924","12","08","BO",NA,NA,NA,NA,NA,NA,"E00209012",NA,"6722","W. Tropical South America","herbarium specimen of unspecif","BGBASE:219945","<a href=http://data.rbge.org.uk/herb/E00209012 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:40-03","E","E","68853","PreservedSpecimen","Plantae","Moraceae","Ficus","pertusa","Ficus pertusa",NA,NA,"Killeen, T.","1992","04","03","BO",NA,NA,NA,NA,NA,NA,"E00068853",NA,"3820","W. Tropical South America","herbarium specimen of unspecif","BGBASE:76523","<a href=http://data.rbge.org.uk/herb/E00068853 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:40-03","E","E","68856","PreservedSpecimen","Plantae","Moraceae","Ficus","pertusa","Ficus pertusa",NA,NA,"Lewis, Marko","1990","09","15","BO",NA,NA,NA,NA,NA,NA,"E00068856",NA,"37670","W. Tropical South America","herbarium specimen of unspecif","BGBASE:76518","<a href=http://data.rbge.org.uk/herb/E00068856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:40-03","E","E","296108","PreservedSpecimen","Plantae","Moraceae","Ficus","pertusa","Ficus pertusa",NA,NA,"Mathews, Andrew","1905","01","08","PE",NA,NA,NA,NA,NA,NA,"E00296108",NA,"2061","W. Tropical South America","herbarium specimen of unspecif","BGBASE:308699","<a href=http://data.rbge.org.uk/herb/E00296108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:40-03","E","E","146961","PreservedSpecimen","Plantae","Moraceae","Ficus","subtriplinervia","Ficus subtriplinervia",NA,NA,"Pott, A.;","1989","10","05","BR",NA,NA,NA,NA,NA,NA,"E00146961",NA,"5021","E. Tropical South America","herbarium specimen of unspecif","BGBASE:171335","<a href=http://data.rbge.org.uk/herb/E00146961 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2172569","PreservedSpecimen","Plantae","Moraceae","Ficus","pertusa","Ficus pertusa","L.f.",NA,"E. Lleras","1973","07","30","Brazil","Amazonas",NA,"-72.8117904","-5.1372258",NA,NA,"NY02172569","NY02172569_01","16937","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326399' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Rosales","Rio Javari, Seringal Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
