"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:33:22-03","UNESC","CRI","3890","PreservedSpecimen","Plantae","Cardiopteridaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","J. A. Jarenkow","J. A. Jarenkow","1988","10","29","Brasil","Rio Grande do Sul","Capão do Leão","Horto Botânico Irmão Teodoro Luis.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","Habito: arvoreta","CRI006491","CRI006491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","10741","PreservedSpecimen","Plantae","Cardiopteridaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard",NA,"Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2000","11","01","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"Habito: árvore","CRI006490","CRI006490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:02-03","E","E","105328","PreservedSpecimen","Plantae","Cardiopteridaceae","Citronella","gongonha","Citronella gongonha",NA,NA,"Gottsberger, G.","1974","08","05","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00105328 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105328",NA,"1451780","E. Tropical South America","herbarium specimen of unspecif","BGBASE:114909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626075","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","R. A. Howard","L. Riedel","1834","07",NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626075","NY00626075_01 NY00626075_02","2836","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626080","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard",NA,"P. K. H. Dusén","1914","10","15","Brazil","Paraná","Curitiba",NA,"-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626080","NY00626080_01","15618","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626225","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","H. O. Sleumer","G. G. Hatschbach","1970","08","09","Brazil","Mato Grosso do Sul","Rio Brilhante","Rod. BR 267.","-54.5464","-21.8019",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626225","NY00626225_01","24542","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","626069","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","W. Hoehne","W. Hoehne","1951","08","05","Brazil","São Paulo","Jundiaí","Sítio do Senhor Vallim.","-46.88","-23.1803",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626069","NY00626069_01","s.n.","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1031070","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","L. Biral","L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142683' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031070","NY01031070_01","2836","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","626082","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard",NA,"J. E. Leite","1948","12",NA,"Brazil","São Paulo","Campos do Jordao",NA,"-45.59","-22.73",NA,NA,"1600","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626082","NY00626082_01 NY00626082_02","3588","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","626064","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","G. G. Hatschbach","G. G. Hatschbach","1987","10","05","Brazil","Paraná","Piên","Poço Frio.","-49.4292","-26.0983",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626064","NY00626064_01","51481","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","626074","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","R. Duno de Stefano","A. Sehnem","1978","09","08","Brazil",NA,NA,"Sanga do Salso. Faz. Timbaúva. Ros. S.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626074",NA,"16233","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","626072","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","R. Duno de Stefano","L. C. Prazeres","1984","09","05","Brazil","Paraná","Curitiba","Setor de Ciências Biológicas.","-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626072","NY00626072_01","s.n.","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","626067","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","R. Duno de Stefano","P. K. H. Dusén","1915","09","20","Brazil","Paraná","Curitiba",NA,"-49.2731","-25.4281",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626067","NY00626067_01","17165","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","626070","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","R. Duno de Stefano","R. Reitz","1957","10","17","Brazil","Santa Catarina","Campo Alegre","Morro Iquererim.","-49.2656","-26.1925",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626070","NY00626070_01","5.180","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","626081","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","G. G. Hatschbach","R. Kummrow","1981","09","17","Brazil","Paraná","Sao José dos Pinhais","Contenda.","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626081","NY00626081_01","1571","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","626066","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","R. A. Howard","F. C. Hoehne","1918","08","03","Brazil","São Paulo",NA,"Butantan.","-46.724373","-23.565521",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626066","NY00626066_01","2352","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","626078","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","H. O. Sleumer","G. G. Hatschbach","1969","09","30","Brazil","Paraná","Antônio Olinto","Rio Agua Amarela.","-50.1969","-25.9861",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626078","NY00626078_01","22266","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1031481","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","J. R. Pirani","H. S. Irwin","1966","07","14","Brazil","Distrito Federal","Brasília","Jardim Zoológico, Brasília, D.F.","-47.95","-15.85",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155560' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031481","NY01031481_01","18214","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1031480","PreservedSpecimen","Plantae","Icacinaceae","Citronella","gongonha","Citronella gongonha","(Mart.) R.A.Howard","R. A. Howard","H. S. Irwin","1965","10","03","Brazil","Distrito Federal","Brasília","Vicinity of Planaltina","-47.67","-15.62",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155559' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031480","NY01031480_01","8889","South America","sheet",NA,"Magnoliophyta","Boraginales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
