"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","coordinatePrecision","relatedCatalogItem","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","01096283","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson","A. M. Amorim","P. Martuscelli","80","1984","11","18","South America","Brazil","São Paulo","Miracatu","Miracatu, sítio Irapuã km 345.5 - BR-116.","-47.4597","-24.2803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096283","NY01096283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","585712","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson","A. M. Amorim","J. G. Jardim","3178","2001","02","04","South America","Brazil","Bahia","Itaju do Colônia","Rod. Itajú do Colôniia/Palmira, 6.3 km E de Itaju","-39.6575","-15.1533","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585712","NY00585712_01","191","191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 19:30:00-03","NY","NYBG","02361201","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","conformis","Heteropterys conformis",NA,NA,"A. F. M. Glaziou","13608",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,"sheet","Ex Herb. Berol. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2545859' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361201","NY02361201_01 NY02361201_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:19:04-03","UFBA","ALCB","041454","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson","Pessoa, CS","Lima, SS dos; Guedes, ML; Pereira, PA de; Oliveira, H","45","1999","05","22","Southern America","Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul, Mata cara-branca, projeto CEDRO","-39.016667","-16.266667",NA,"Folhas discolores, membranáceas. Frutos sâmaras, amarelo-esverdeados. Ocasional.; Mata em estádio secundário de regeneração. Substrato argilo-arenoso.","ALCB040835",NA,NA,NA,"2013","10","15","-39.016667","-16.266667",NA,NA,NA,NA,NA
"5","2017-02-16 13:50:14-02","MNHN","RECOLNAT_MNHN_P","P00289973","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson","Anderson","Glaziou, A.",NA,"1881","2","10",NA,"Brésil",NA,NA,"Minas. Rio Manço,dans le campo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00289973' target='other'> <mi>dwc_moreinfo</mi></a>","P00289973","P00289973_01",NA,NA,NA,NA,NA,NA,NA,"13608",NA,NA,NA,NA
"6","2017-05-17 14:13:52-03","MNHN","RECOLNAT_MNHN_P","P00289974","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson","Anderson","Glaziou, A.",NA,"1881","2","10",NA,"Brésil",NA,NA,"Minas. Rio Manço,dans le campo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00289974' target='other'> <mi>dwc_moreinfo</mi></a>","P00289974","P00289974_01",NA,NA,NA,NA,NA,NA,NA,"13608",NA,NA,NA,NA
"7","2015-09-05 07:26:45-03","MNHN","RECOLNAT_MNHN_P","P04769722","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson",NA,"Glaziou",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769722' target='other'> <mi>dwc_moreinfo</mi></a>","P04769722","P04769722_01",NA,NA,NA,NA,NA,NA,NA,"12491",NA,NA,NA,NA
"8","2015-09-05 07:26:45-03","MNHN","RECOLNAT_MNHN_P","P04769723","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769723' target='other'> <mi>dwc_moreinfo</mi></a>","P04769723","P04769723_01",NA,NA,NA,NA,NA,NA,NA,"12491",NA,NA,NA,NA
"9","2015-09-05 07:26:45-03","MNHN","RECOLNAT_MNHN_P","P04769724","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson",NA,"Glaziou",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769724' target='other'> <mi>dwc_moreinfo</mi></a>","P04769724","P04769724_01",NA,NA,NA,NA,NA,NA,NA,"12491",NA,NA,NA,NA
"10","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","47243",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","conformis","Heteropterys conformis","W.R.Anderson","A. Amorim/10-06-2015","A. M. Assis; M.D.S. Demuner & R. S. Cribari","2302","2009","11","28",NA,"Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante - Fazenda do Sr. Antonio Cesar Cunha - mata ciliar","-40.452222","-18.760722",NA,"Árvore 10m, botões e flores brancas","MBML047243","MBML047243","100","100",NA,NA,NA,"40W27'8","18S45'38,6",NA,NA,NA,NA,NA
