"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1065175","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","C. Castro de Oliveira","J. A. Ratter","R3244","1976","07","01","South America","Brazil","Minas Gerais","Januária","Approx. 10 km W of Januária on the road to Tijuco.","-44.5","-15.5","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220622' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01195850","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","C. Castro de Oliveira","J. G. Jardim","3222","2001","03","30","South America","Brazil","Bahia","Caculé","Ca. 4.7 km E da sede municipal, estrada que leva à torre de televisão.","-42.1997222","-14.5116667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1403618' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195850","NY01195850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1027285","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","C. Castro de Oliveira","J. A. Ratter","R3244","1976","07","01","South America","Brazil","Minas Gerais","Januária","Approx. 10 km W of Januária on the road to Tijuco.","-44.5","-15.5","sheet","Anderson 9149 (19-4-73) is of the same sp. & collected nearby. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142827' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","416428","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax",NA,"W. W. Thomas","12201","2000","10","03","South America","Brazil","Bahia","Jussari","Fazenda Serra do Teimoso, RPPN Serra do Teimoso","-39.52908","-15.1555","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416428","NY00416428_01","300","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","640209","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","F. J. Fernández Casas","G. L. Webster","25116","1984","07","31","South America","Brazil","Bahia",NA,"CEPLAC grounds, E. of Itabuna","-39.25","-14.78","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=639674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640209",NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1280169","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","C. Castro de Oliveira","R. P. Belém","2213","1966","05","16","South America","Brazil","Bahia",NA,"Rodovia Itacaré - Ubaitaba.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597413' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02431736","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","J. Külkamp","J. R. Pirani","2838","1993","05","12","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Morro Grande, a 3km da saída da cidade na rodovia para Jerônimo Monteiro","-41.1128","-20.8492","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994494' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431736","NY02431736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1280168","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","C. Castro de Oliveira","R. P. Belém","1115","1965","05","24","South America","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau (CEPEC)","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597411' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:38:05-03","EAO","IAN","15492","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","Casas, JF","Fróes, RL","20088","1942","11","22","Southern America","Brasil","Bahia","Itambé","Rio pardo, mata primitiva.","-40.6244010925293","-15.2449998855591",NA,"Árvore de 15m, abundante em terras altas; rico em latex.","IAN015492","IAN015492 IAN015492_e IAN015492_e1",NA,NA,"2006","03","56583","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:38:05-03","EAO","IAN","104262","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Cnidoscolus","oligandrus","Cnidoscolus oligandrus","(Müll.Arg.) Pax","Casas, JF","Magalhães, M","894","1941","11","29","Southern America","Brasil","Minas Gerais","Governador Valadares","Mata secundária; base da serra Ibiturina.","-41.9494018554688","-18.8511009216309",NA,"Árvore de 8 a 15m altura; flor alva e frutos. Frequência esparsa. Sementes oleaginosas, comestíveis.","IAN104262",NA,NA,NA,"2006","03","50833","auto",NA,NA,NA,NA,NA,NA,NA
