"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","typeStatus","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","528798","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R.C.Foster","P. F. Ravenna","G. G. Hatschbach","20666","1968","12","27","South America","Brazil","Paraná","Barra Rio Papagaios (Balsa Nova)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","528797","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R.C.Foster","P. F. Ravenna","R. Kummrow","859","1975","01","26","South America","Brazil","Paraná","Represa de Vossoroca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528797","Tijucas do Sul","-49.1989","-25.9283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","527644","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R.C.Foster","C. D. Inácio","P. K. H. Dusén","9450","1910","02","22","South America","Brazil","Paraná","Desvio Ribas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=764986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527644","Ponta Grossa","-50.1617","-25.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:31-03","PUCPR","HUCP","21473","S","Plantae","Monocotiledonea",NA,"Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R.C.Foster.",NA,"Hatschbach, GG","s.n.","1968","12","27",NA,"Brasil","Paraná","Rio dos Papagaios",NA,NA,NA,"Balsa Nova","-49.6356010437012","-25.5839004516602","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:45:55-03","NBC","NL-BOTANY","L.1467846","PreservedSpecimen","Plantae",NA,"Asparagales","Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R.C.Foster",NA,"Hatschbach GG",NA,"1965","01","11","Southern America","Brazil",NA,"Est Parana. Mun Araucaria. Rod. do Xisto Rio Iguaçu.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1467846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1467846",NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L1467846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:45:55-03","NBC","NL-BOTANY","L.1467847","PreservedSpecimen","Plantae",NA,"Asparagales","Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R.C.Foster",NA,"Hatschbach GG",NA,"1968","12","27","Southern America","Brazil",NA,"Est Paraná. Mun Balsa Nova. Barra rio Papagaios.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1467847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1467847",NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L1467847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-14 15:15:05-03","FPS","FPS","4418","MachineObservation","Plantae",NA,NA,"Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R.C.Foster","Schwirkowski, P.","Schwirkowski, P.","3841","2019","12","28",NA,"Brasil","Santa Catarina","Bairro Rio Vermelho",NA,NA,"FPS04418,FURB66019","São Bento do Sul","-49.273304","-26.273201",NA,NA,NA,"FPS04418_v01 FPS04418_v02 FPS04418_v03 FPS04418_v04 FPS04418_v05 FPS04418_v06 FPS04418_v07 FPS04418_v08 FPS04418_v09 FURB66019","2019","12","28","-49.273304","-26.273201","voucher","FURB 66019",NA,NA,NA,NA,NA,NA
"8","2020-06-14 15:15:05-03","FPS","FPS","4222","MachineObservation","Plantae",NA,NA,"Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R.C.Foster","Schwirkowski, P.","Schwirkowski, P.","3645","2019","11","09",NA,"Brasil","Santa Catarina","Rio Vermelho. Estrada Bismarck. Propriedade de Carlos Rodolfo Hantschel",NA,NA,"FPS04222,FURB65939","São Bento do Sul","-49.271909","-26.271801",NA,NA,NA,"FPS04222_v01 FPS04222_v02 FPS04222_v03 FPS04222_v04 FPS04222_v05 FPS04222_v06 FURB65939","2019","11","09","-49.271909","-26.271801","voucher","FURB 65939",NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:26-03","IAP","PACA-AGP","36606","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R. C. Foster","Ravenna","Rambo, B.",NA,"1948","02",NA,NA,"Brasil","RS",NA,NA,"Há possibilidade de ser um typus. Aguardar referências. Habitat: In paludosis Fenofase: fl.fr.","PACA036606","S.F. de Paula p. Cambará",NA,NA,NA,NA,"Liliatae","PACA036606","1965",NA,NA,NA,NA,NA,NA,"Isotipo",NA,NA,NA,NA,NA
"10","2019-08-27 13:26:26-03","IAP","PACA-AGP","56412","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Iridaceae","Sisyrinchium","rambonis","Sisyrinchium rambonis","R. C. Foster","Ravenna","Rambo, B.",NA,"1955","01","02",NA,"Brasil","RS","Faz. Englert",NA,"Há possibilidade de ser um typus. aguardar referências. Habitat: In humidis graminosis Fenofase: fl.fr.","PACA056412","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto","Liliatae",NA,"1965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
