"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2016-02-02 14:37:51-02","BGBM","B","B 10 0243376","S","Plantae","Bromeliaceae","Vriesea","leptantha","Vriesea leptantha","Harms","holotype","A. C. Brade & Santos Lima","11586","1932","04","Middle and South America","Brazil","Estado do Rio: Sto. Antonio de Imbe, Pedra da Republica.","1500","1500","Museu Nacíonal, Rio de Janeiro, Material fornecido, em permuta, a Prof. H.Harms <a href=http://herbarium.bgbm.org/object/B100243376 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243376","B100243376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:35:41-02","IPA","IPA","65454","S","Plantae","Bromeliaceae","Vriesea","leptantha","Vriesea leptantha","Harms",NA,"Martinelli; et al.; et al.","13363","1989","06","Southern America","Brasil","Parque Estadual do Desengano, Pedra do Desengano, campos de altitude.",NA,NA,"Terrestre ou epífita, crescendo em populações densas, associadas a Vriesia altimontana;folhas concolores com bainha vinosa; infl. com escapo róseo-avermelhado,brácteas, escapais verdes; bracteas primarias verdes, raque róseo-avermelha","IPA0065454",NA,"Plantae","Martinelli, G.","1989","06","28","28","Rio de Janeiro","Santa Maria Madalena","-42.0080986022949","-21.9552993774414","30526","auto"
"3","2021-03-05 16:09:37-03","MN","R-TIPOS","26649a","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","leptantha","Vriesea leptantha","Harms","Isotypus","Brade, A.C.; Lima, J.S.","11586","1932","04",NA,"Brasil","Serra do Imbé","1500","1500",NA,"R000026649a","R000026649a_001",NA,"Smith, L.B.","1952","02",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA
"4","2021-03-05 16:09:36-03","MN","R-TIPOS","26649","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","leptantha","Vriesea leptantha","Harms","Isotypus","Brade, A.C.; Lima, J.S.","11586","1932","04",NA,"Brasil","Serra do Imbé","1500","1500",NA,"R000026649","R000026649_001",NA,"Smith, L.B.","1952","02",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA
