"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","year","locality","identifiedBy","yearIdentified","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","406599","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Crumenaria","polygaloides","glabrata","Crumenaria polygaloides glabrata","Reissek","possible type","E. Hassler","4549","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406599","NY00406599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","406598","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Crumenaria","polygaloides","paraguariensis","Crumenaria polygaloides paraguariensis","Hassl.","possible type","E. Hassler","8271","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=422856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406598","NY00406598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 15:13:00-03","NY","NYBG","406600","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Crumenaria","polygaloides","glabrescens","Crumenaria polygaloides glabrescens","Hassl.","possible type","E. Hassler","9338","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406600","NY00406600_01","Caaguazú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 15:13:00-03","NY","NYBG","298272","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Crumenaria","polygaloides","lancifolia","Crumenaria polygaloides lancifolia","Hassl.","possible type","E. Hassler","6937","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298272","NY00298272_01",NA,"1900","Florula cordillerae centralis. In regione cursus superioris fluminis Y - aca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:09:58-03","UNESP-IBB","BOTU","11208","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Crumenaria","polygaloides",NA,"Crumenaria polygaloides","Reissek",NA,"Gottsberger, I.S.","22874",NA,"Brasil",NA,"Alt. ca 550m . Uma área de Cerrado, consistindo de dois morros e um vale no meio. A área é preservada pela Usina de Açúcar de São Manuel. Declive a Oeste; cerrado aberto com árvores de 2-5m de altura, queimado em julho ; Coleção: Cer","BOTU011208",NA,"São Paulo","1974","18km ao norte de Botucatu, 14km a leste de São Manuel. Ao longo da estrada São Manuel-Piracicaba.Perto da Estação 13 de maio, da antiga linha de trem.","Barroso, G.M.","1974","08","22","Botucatu","-48.416667","-22.75","48°25'w","22°45's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:32:12-03","UFRJ","RFA","8035","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Crumenaria","polygaloides",NA,"Crumenaria polygaloides","Reissek",NA,"P. Occhioni","2383",NA,"Brasil",NA,"Erva ereta, campo limpo, flor creme","RFA27324",NA,"Paraná","1966","Parque Estadual de Vila Velha",NA,NA,"11","09","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:47:27-03","EAO","IAN","5322","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rhamnaceae","Crumenaria","polygaloides",NA,"Crumenaria polygaloides","Reissek",NA,"Sellow, F","4768","Southern America","Brasil",NA,NA,"IAN005322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:25:43-03","PUCPR","HUCP","18148","S","Plantae","Eudicotiledonea",NA,"Rhamnaceae","Crumenaria","polygaloides",NA,"Crumenaria polygaloides","Reissek.",NA,"Silva, CBX; Silva, PW; Losso, MM","s.n.",NA,"Brasil",NA,NA,"HUCP00017396","HUCP00017396","Paraná","1997","Parque Estadual de Vila Velha","Cordeiro, J; Rodrigues, R","2007","09","28","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:23:17-03","UFBA","ALCB","045892","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rhamnaceae","Crumenaria","polygaloides",NA,"Crumenaria polygaloides","Reissek",NA,"Queiroz, LP de; Salino","2571","Southern America","Brasil",NA,"com xilópodio. Folhas membrenáceas. Flores brancas.; solo arenoso.","ALCB034618","ALCB034618","São Paulo","1991","Rod. Brotas-Itirapina, no entroncamento para Itaqueri",NA,NA,"09","24","Itiparina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:25:53-03","NBC","NL-BOTANY","L.2323879","PreservedSpecimen","Plantae",NA,"Rosales","Rhamnaceae","Crumenaria","polygaloides",NA,"Crumenaria polygaloides","Reissek",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,"Campo limpo<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2323879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2323879","NL-L2323879","Paraná","1962","Brazil, Parana, Ponta Grossa Mun. Parque Vila velha","Hatschbach GG",NA,"01","07",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0384954",NA,NA,NA,NA,NA,NA,NA
