"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","492234","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.","D. C. Wasshausen","G. G. Hatschbach","42756","1980","02","13","South America","Brazil","Paraná","Quatro Barras","Quatro Barras, 1 km L.","-49.0767","-25.3658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492234","NY00492234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 21:31:30-03","UFBA","ALCB","11977","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Eranthemum","modestum","Eranthemum modestum","Nees ex Mart.",NA,"s.col.","s/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Da Bahia, Espirito Santo, Rio",NA,NA,NA,NA,"ALCB015014","ALCB015014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 21:31:30-03","UFBA","ALCB","11978","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Eranthemum","modestum","Eranthemum modestum","Nees ex Mart.",NA,"s.col.","s/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Da Bahia, Espirito Santo, Rio",NA,NA,NA,NA,"ALCB015015","ALCB015015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:31:30-03","UFBA","ALCB","11979","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Eranthemum","modestum","Eranthemum modestum","Nees ex Mart.",NA,"s.col.","s/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Acanthacea do Brasil oriental",NA,NA,NA,NA,"ALCB015016","ALCB015016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 21:31:30-03","UFBA","ALCB","11980","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Eranthemum","modestum","Eranthemum modestum","Nees ex Mart.",NA,"s.col.","s/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Acanthacea de vários lugares da Bahia para o Sul",NA,NA,NA,NA,"ALCB015017","ALCB015017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:08:05-03","UFBA","ALCB","09913","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.","Côrtes, A","Grupo Pedra do Cavalo","510","1980","08",NA,"Southern America","Brasil","Bahia","Cachoeira","Morro Belo","-38.9557991027832","-12.6183004379272",NA,"flores lilas em inflorescências terminais.",NA,NA,"2009","07","26884","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:08:05-03","UFBA","ALCB","08072","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.","Côrtes, A","Grupo Pedra do Cavalo","716","1980","09",NA,"Southern America","Brasil","Bahia","Cachoeira","Ipuaçu.","-38.9557991027832","-12.6183004379272",NA,"sistema radical robusto, flores lilás.",NA,NA,"2009","07","26884","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 10:58:47-03","ESALQ","ESA","32143","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.","Wasshausen, D.C.","Cordeiro, J. et al.","1209.0","1995","04","19",NA,"Brasil","Paraná","Adrianópolis",NA,"-48.9911003112793","-24.6571998596191",NA,NA,"ESA032143","ESA032143",NA,NA,"49901","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 10:58:47-03","ESALQ","ESA","91068","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.","Cortês, A.L.","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Tsuji, R.","5434.0","2005","02","05",NA,"Brasil","Bahia","Iaçu","Fazenda Suíbra. Ca. 10km de Iaçu pela estrada de terra seguindo a ferrovia. Beira de córrego","-40.2117004394531","-12.7672004699707",NA,"Erva, botões arroxeados, frutos imaturos verdes","ESA091068","ESA091068",NA,NA,"50006","auto","-40,125,556","-12,737,778","245","245",NA,NA,NA,NA,NA
"10","2021-01-14 15:18:47-03","MN","R","97432","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.","Alcantara, C.","Freire Allemão, F.; Cysneiros, M.","1202","1860",NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará","R010053762","R010053762_001","2019","01",NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA
