"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00996746","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens","(Mart. & Zucc.) Schott & Endl.","F. N. Costa","F. N. Costa","293","2001","07","08","South America","Brazil","Minas Gerais","Joaquim Felício","Estrada para a Serra do Cabral.","-44.2656","-17.6897","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996746","NY00996746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00996734","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens tomentosa","(A.St.-Hil. & Juss.) A.Robyns","A. G. M. W. A. Robyns","H. S. Irwin","8085","1965","09","08","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9167","-15.7833","sheet","Fruit separate. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996734","NY00996734_01","tomentosa","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00996749","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens","(Mart. & Zucc.) Schott & Endl.","M. C. Duarte","E. P. Heringer","8443","1961","06","28","South America","Brazil","Distrito Federal","Brasília","Horto do Guará.","-47.9294","-15.7797","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996749","NY00996749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996741","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens tomentosa","(A.St.-Hil. & Juss.) A.Robyns","A. G. M. W. A. Robyns","H. S. Irwin","8085","1965","09","08","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9167","-15.7833","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996741","NY00996741_01 NY00996741_02","tomentosa","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996739","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens","(Mart. & Zucc.) Schott & Endl.","J. A. Kallunki","H. S. Irwin","10703","1965","11","26","South America","Brazil","Distrito Federal","Brasília","Ca. 12 km W. of Taguatinga on road to Brasilândia","-48.15","-15.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996739","NY00996739_01",NA,"1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996744","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens","(Mart. & Zucc.) Schott & Endl.","J. A. Kallunki","E. P. Heringer","12799","1973","06","15","South America","Brazil","Distrito Federal","Brasília","Campus da Universidade de Brasília.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996744","NY00996744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996720","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens","(Mart. & Zucc.) Schott & Endl.","M. C. Duarte","M. L. Fonseca","1039","1996","06","29","South America","Brazil","Goiás","Niquelândia","Km 5 de estrada de chão para o IBAMA.","-48.45","-14.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996720","NY00996720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00996742","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens","(Mart. & Zucc.) Schott & Endl.","S. A. Mori","E. P. Heringer","1372","1979","05","14","South America","Brazil","Distrito Federal","Brasília","Barragem São Bartolomeu barra do corrego Taboquinha.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996742","NY00996742_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00996740","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens","(Mart. & Zucc.) Schott & Endl.","J. A. Kallunki","S. A. Mori","16908","1984","07","20","South America","Brazil","Distrito Federal","Planaltina","22 km W of Planaltina. Cerrado Reserve of CPAC (Centro de Pesquisas Agropecuario Cerrados).",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996740","NY00996740_01",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00996743","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens","(Mart. & Zucc.) Schott & Endl.","J. A. Kallunki","E. P. Heringer","1855","1979","07","17","South America","Brazil","Distrito Federal","Brasília","Parque Nacional de Águas Emendadas.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996743","NY00996743_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
