"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","maximumElevationInMeters","minimumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","688936","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","amazonicum","Crinum amazonicum","Ravenna","type","D. G. Campbell","P21213","1974","06","22","South America","Brazil","Amazonas","Labrea","Lago Marrahã, Seringal São Clemente, Rio Purus.","-65.28","-7.47","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688936","NY00688936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","688935","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","amazonicum","Crinum amazonicum","Ravenna","type","D. G. Campbell","P21213","1974","06","22","South America","Brazil","Amazonas","Labrea","Lago Marrahã, Seringal São Clemente, Rio Purus.","-65.28","-7.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688935","NY00688935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02450232","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","commelyni","Crinum commelyni","Jacq.",NA,"F. E. Drouet","2012","1935","07","05","South America","Brazil","Pará","Igarapé-Miri","along Rio Tocantins, Porto da Bazar.","-48.9597015380859","-1.97500002384186","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643241' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450232","NY02450232_01","64929","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","545582","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","erubescens","Crinum erubescens","Aiton",NA,"N. L. Britton","2828","1921","04","10","South America","Trinidad and Tobago",NA,NA,"Trinidad. Saline Bay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","545576","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","erubescens","Crinum erubescens","Aiton",NA,"P. K. H. Dusén","9019","1909","03","12","South America","Brazil","Paraná","Jaguariaíva","Jacarchy [illegible]","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545576","NY00545576_01",NA,NA,"P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","545579","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","erubescens","Crinum erubescens","Aiton",NA,"E. M. Zardini","19096","1990","02","10","South America","Paraguay","Central",NA,"Paraquay River around San Antonio","-57.5","-25.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545579",NA,NA,NA,"A. W. Meerow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","545577","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","erubescens","Crinum erubescens","Aiton",NA,"H. Luederwaldt","8933","1910","06",NA,"South America","Brazil","São Paulo","Sao Paulo","Ipiranga [possibly Iporanga?]","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545577","NY00545577_01",NA,NA,"H. Luederwaldt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02422638","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","erubescens","Crinum erubescens","Aiton",NA,"R. M. Harley","18261","1977","01","25","South America","Brazil","Bahia",NA,"4 km N of Comandatuba, SE of Una.","-39","-15.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635417' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422638","NY02422638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-21 19:56:00-02","NY","NYBG","545578","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","erubescens","Crinum erubescens",NA,NA,"T. W. Henkel","356","1992","12","07","South America","Guyana",NA,NA,"U. Demerara-Berbice. Lower 3 km of Macouria River, N and S banks","-58.57","6.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545578",NA,NA,NA,"J. K. Boggan","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02422637","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Crinum","erubescens","Crinum erubescens","Aiton",NA,"R. M. Harley","18261","1977","01","25","South America","Brazil","Bahia",NA,"4 km N of Comandatuba, SE of Una.","-39","-15.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635414' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422637","NY02422637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
