"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","class","order","continentOcean","verbatimLongitude","verbatimLatitude","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","individualCount"
"1","2020-06-29 11:29:40-03","UFRJ","RFA","10577","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","E. Pereira","10697","1968","03","06","Brasil","Rio de Janeiro","Rio de Janeiro","Pedra da Gávea","-43.2075004577637","-22.9027996063232","57442","Inflorescência vermelha, corola lilás","RFA51244","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:12:23-03","NBC","NL-BOTANY","U.1167908","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","Harley RM; et al.",NA,"1988","11","12","Brazil",NA,NA,"Bahia. Mun.: Rio de Contas. Pico das Almas. Vertente leste. Subida do pico do Querioz. Afloramento de rocha conglomerada com campo pedregoso. Planta na rocha. Brácteas amerelas. Flores velhas de cor parda. Entre rochas.","-41.966667","-13.533333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1167908 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1167908",NA,"Magnoliopsidae","Poales","Southern America","-41.966667","-13.533333","NL-U1167908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:26:06-03","MN","R","105758","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","Smith, L.B. 6431; Magnanini, A. & Egler, W.A.",NA,"1952","04","08","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,"R010008173","auto",NA,NA,NA,NA,NA,NA,"Smith, L.B.","1952","04","08",NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:26:06-03","MN","R","220109","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","França, C.R.P.","23","2007","08","15","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,"R010008175","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250","250",NA,NA,NA,NA
"5","2021-01-14 15:26:06-03","MN","R","213334","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","França, C.R.P.","26","2007","09","07","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:26:06-03","MN","R","213333","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","França, C.R.P.","10","2007","05","23","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:26:06-03","MN","R","213332","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","França, C.R.P.","20","2007","08","10","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:26:06-03","MN","R","213331","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","França, C.R.P.","23","2007","08","15","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:26:06-03","MN","R","138163","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","Carauta, J.P.P.","44","1957","08","17","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,"R010008174","auto",NA,NA,NA,NA,NA,NA,"Pereira, E.","1980","01","01",NA,NA,NA,NA,NA,NA
"10","2015-09-28 17:53:23-03","MNHN","RECOLNAT_MNHN_P","P00753183","PreservedSpecimen",NA,"Bromeliaceae","Tillandsia","brachyphylla","Tillandsia brachyphylla","Baker","Glaziou, A.",NA,"1875","6","29","Brésil",NA,NA,"Rio de Janeiro : Gavea, au Alto da Pedra",NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753183' target='other'> <mi>dwc_moreinfo</mi></a>","P00753183",NA,NA,NA,NA,NA,NA,"P00753183_01",NA,NA,NA,NA,NA,NA,"type","8018","hb",NA
