"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","typeStatus"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","705","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B.Sm.) J.R.Grant","Elton. C. M. Leme","2009","05","Elton M. C. Leme; C. C. Paula; T. Coser; R. Moura; O. Ribeiro","2008","06","25","Brasil","Minas Gerais","Diamantina","Entrada para Conselheiro Mata","-43.6002998352051","-18.2493991851807","101169","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","873396","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B.Sm.) J.R.Grant",NA,NA,NA,"W. R. Anderson","1972","02","05","Brazil","Minas Gerais","Datas","Serra do Espinhaço, ca. 15 km S of Diamantina","-43.6897","-18.325",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956132' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"35521","South America","1250","1250","sheet","NY00873396","NY00873396_01",NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873397","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B.Sm.) J.R.Grant",NA,NA,NA,"G. G. Hatschbach","1972","01","19","Brazil","Minas Gerais","Diamantina","Guinda","-43.6003","-18.2494",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956137' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"28977","South America","1450","1450","sheet","NY00873397","NY00873397_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400490","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B.Sm.) J.R.Grant",NA,NA,NA,"E. Pereira","1967","03","12","Brazil","Rio de Janeiro","Petrópolis","Serra da Estrela","-43.1783","-22.505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54214' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10565","South America",NA,NA,"sheet","NY00400490","NY00400490_01",NA,NA,NA,NA
"5","2020-12-21 16:19:20-03","MBM","MBM","160886","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B. Sm.) J.R. Grant","Leme, E.M.C.",NA,NA,"Sellfeld, A.",NA,NA,NA,"Brazil","Minas Gerais",NA,"s",NA,NA,NA,NA,NA,NA,"13","Southern America",NA,NA,NA,"MBM160886","MBM160886 MBM160886_1",NA,NA,NA,NA
"6","2020-12-21 16:19:20-03","MBM","MBM","20510","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B. Sm.) J.R. Grant","Smith, L.B.",NA,NA,"Hatschbach, G.; Smith, L.B.; Ayensu, E.; Smith, L.B.; Ayensu, E.","1972","01","19","Brazil","Minas Gerais","Diamantina","Guinda","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto","28977","Southern America",NA,NA,NA,"MBM020510","MBM020510",NA,NA,NA,NA
"7","2020-12-21 16:19:20-03","MBM","MBM","142434","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B. Sm.) J.R. Grant","Leme, E.M.C.",NA,NA,"Hatschbach, G.; et al.; et al.","1988","03","16","Brazil","Minas Gerais","Diamantina","Rodovia Guinda - Conselheiro Mata","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto","50973","Southern America",NA,NA,NA,"MBM142434","MBM142434",NA,NA,NA,NA
"8","2020-12-11 11:43:28-03","UFMG","BHCB","108728","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B.Sm.) J.R. Grant",NA,NA,NA,"Wanderley, MGL; Mota, NFO; Viana, PL; Giorni, VT","2007","05",NA,"Brasil","Minas Gerais","São Gonçalo do Rio Preto",NA,"-43.371111","-18.143611",NA,NA,"Ruícula formando touceiras. EM fruto. Proxima a população de tillandeia streptocarpa. Castanha na base da lamina.",NA,"2621","Southern America",NA,NA,NA,"BHCB045973",NA,"-43.371111","-18.143611",NA,NA
"9","2020-12-03 10:05:49-03","UFMA","BMA","1776","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B. Sm) J.R. Grant",NA,NA,NA,"E. Guarçoni 2498, Elton Leme & Bruno Paixão.","2010","08","05","Brasil","MG","Gouveia","Camelinho, estrada de terra batida do lado esquedo a BR - 259, direção Gouveia.","-43.7407989501953","-18.4543991088867","37970",NA,"Campo Rupestre- afloramento rochoso. Erva saxícola. Comum.","auto",NA,NA,"1355","1355",NA,NA,NA,NA,"23K 0620948 - 794917",NA,NA
"10","2020-09-12 05:00:02-03","US","US","2647946","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Alcantarea","duarteana","Alcantarea duarteana","(L.B. Sm.) J.R. Grant",NA,NA,NA,"G. Hatschbach, L. B. Smith & E. S. Ayensu","1972","1","19","Brazil","Minas Gerais","Diamantina","Guinda","-43.6002998352051","-18.2493991851807","101169","1",NA,"auto","28977","South America - Neotropics","1450",NA,NA,"US01936537","US01936537_01",NA,NA,"Monocotyledonae",NA
