"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","typeStatus","minimumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","maximumElevationInMeters","fieldNumber","individualCount"
"1","2020-09-23 10:40:48-03","E","E","4433","PreservedSpecimen","Plantae","Leguminosae","Poecilanthe","parviflora","Poecilanthe parviflora","Chagas E Silva, F.","1451","1991","11","18","E. Tropical South America","BR","Paraná","Ibipora","herbarium specimen of unspecif","BGBASE:16725","<a href=http://data.rbge.org.uk/herb/E00004433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00004433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:48-03","E","E","214160","PreservedSpecimen","Plantae","Leguminosae","Poecilanthe","parviflora","Poecilanthe parviflora","Rambo, B.","49691","1951","01","18","E. Tropical South America","BR","Rio Grande Do Sul","Lagoa dos Quadros, prope Osorio","herbarium specimen of unspecif","BGBASE:223483","<a href=http://data.rbge.org.uk/herb/E00214160 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00214160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","605398","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","G. G. Hatschbach","21529","1969","05","16","South America","Brazil","Paraná","Rio Ivai, Barra Rio Claro.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605398","Magnoliophyta","Fabales","Benth.","M. Lavin","Terra Boa","-52.4442","-23.7683","NY00605398_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777410","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","S. R. Ziller","1831","1997","11","01","South America","Brazil","Paraná","Rio Tibagi","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777410","Magnoliophyta","Fabales","Benth.","G. P. Lewis","Assaí","-50.8414","-23.3733","NY00777410_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02679306","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","H. M. de Souza",NA,"1965",NA,NA,"South America","Brazil",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946973' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679306","Magnoliophyta","Fabales","Benth.",NA,NA,NA,NA,"NY02679306_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","605399","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","P. K. H. Dusén","10135","1910","08","23","South America","Brazil","Paraná","Serra do Prata, Caila de Agua.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605399","Magnoliophyta","Fabales","Benth.","M. Lavin",NA,NA,NA,"NY00605399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02474138","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","L. Biral","829","2013","03","07","South America","Brazil","São Paulo","No campus da UNESP, próximo ao campo de futebol","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685537' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474138","Magnoliophyta","Fabales","Benth.",NA,"Rio Claro","-49.055933","-22.576683","NY02474138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","22807","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora floribunda","E. Hassler","11438","1912",NA,NA,"South America","Paraguay","Amambay","In altaplanitie 'Sierra de Amambay'","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022807","Magnoliophyta","Fabales","Hassl.",NA,NA,NA,NA,"NY00022807_01","floribunda","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","605396","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","F. Chagas e Silva","1451","1991","11","18","South America","Brazil","Paraná","Ibipora, Fazenda Doralice.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605396","Magnoliophyta","Fabales","Benth.","V. de F. Mansano",NA,NA,NA,"NY00605396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","04034743","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","P. Acevedo-Rodríguez","16532","2017","08","29","South America","Brazil","Mato Grosso do Sul","Serra da Bodoquena, northern area of southern sector.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337924' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034743","Magnoliophyta","Fabales","Benth.",NA,"Bonito","-56.7189","-21.1181",NA,NA,NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","22807","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora floribunda","E. Hassler","11438","1912",NA,NA,"South America","Paraguay","Amambay","In altaplanitie 'Sierra de Amambay'","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022807","Magnoliophyta","Fabales","Hassl.",NA,NA,NA,NA,"NY00022807_01","floribunda","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","26473","PreservedSpecimen","Plantae","Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","Souza, V.C.","2108","1992","11","27",NA,"Brasil","São Paulo",NA,NA,NA,"Árvore, 6 m de altura, vexilo alvo com base verde rodeada por estrias violetas, alas alvas com ápice violeta","BOTU026473",NA,NA,"Benth.","Souza, V.C.","Piracicaba",NA,NA,NA,NA,NA,NA,"1992","11","27","9999","9999",NA,NA,NA,NA,NA,NA,NA
