"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","individualCount","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","relationshipType","relatedCatalogItem","class","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:25:06-03","UNESC","CRI","7556","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Telma Elyta V. Azeredo","2006","11","07","T. E. V. Azeredo","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","74","74","Habitat: mata subida de morro","CRI001876","CRI001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","14853","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Alecsandro Shardosim Klein","2002","08","23","Alecsandro Shardosim Klein; Rafael Martins","2002","08","23","Brasil","Santa Catarina","Treviso","USITESC","-49.471389","-28.465","49º28'17''W","28º27'54''S","237","237","Vermelho (escapo) e flores amarelas. Habito: Epífita","CRI014187","CRI014187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","10726","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.",NA,NA,NA,NA,"Vanilde C. Zanette; Robson dos Santos & Alecsandro S. Klein","2001","10","24","Brasil","Santa Catarina","Praia Grande","Rio do Boi.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI001942","CRI001942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:06-03","UNESC","CRI","10667","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.",NA,NA,NA,NA,"Alecsandro S. Klein; Elísio A. O.","2002","07","15","Brasil","Santa Catarina","Nova Veneza","Barragem.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","134","134","Habito: epífita","CRI001727","CRI001727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:06-03","UNESC","CRI","8088","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Telma Elyta V. Azeredo","2006","10","10","Telma Elyta V. Azeredo","2006","10","10","Brasil","Santa Catarina","Pedras Grandes","Rancho dos Bugres.","-49.185278","-28.436389","49º11'7''W","28º26'11''S",NA,NA,NA,"CRI001882","CRI001882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:06-03","UNESC","CRI","2635","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","R. Reitz",NA,NA,NA,"A. Bresolin","1973","06","27","Brasil","Santa Catarina","Paulo Lopes","Bom Retiro.","-48.683889","-27.962222","48º41'2''W","27º57'44''S",NA,NA,"Habito: epífita","CRI001881","CRI001881","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:06-03","UNESC","CRI","13792","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Alexandre Medeiros","2018","08","11","Alexandre Medeiros","2018","08","11","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.595556","-27.006111","48º35'44''W","27º0'22''S",NA,NA,"Inflorescência vermelha Habito: Epífita","CRI012403",NA,"959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:06-03","UNESC","CRI","11832","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti","2016","04","04","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.391944","-28.189444","49º23'31''W","28º11'22''S","488","488","Floresta Ombrófila Densa Montana Habito: epifítica","CRI001742","CRI001742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:22-03","UNESC","CRI","1655","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","J. L. Waechter","1993","07","26","V. Citadini-Zanette; C. M. Martinello & C. E. Dário","1993","03","30","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habitat: interior da mata Habito: epífita","CRI001879","CRI001879","1597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:22-03","UNESC","CRI","1618","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","J. L. Waechter","1993","07","26","V. Citadini-Zanette; et al.","1992","08","25","Brasil","Santa Catarina","Orleans","RIo Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI001880","CRI001880","1663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:22-03","UNESC","CRI","4991","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Alexandra Tonetto",NA,NA,NA,"Alexandra Toneto","1996","10","05","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","Habito: epífita","CRI001877","CRI001877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:22-03","UNESC","CRI","8115","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Telma Elyta V. Azeredo","2009","08","03","Telma Elyta V. Azeredo","2009","08","03","Brasil","Santa Catarina","Timbé do Sul",NA,"-49.8475","-28.830833","49º50'51''W","28º49'51''S","124","124","Floresta Ombrófila Densa Montana","CRI001878","CRI001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:22-03","UNESC","CRI","8096","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Telma Elyta V. Azeredo","2009","01","13","Telma Elyta V. Azeredo","2009","01","13","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Floresta Ombrófila Densa Submontana","CRI001869","CRI001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2909","S","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Elton. C. M. Leme","2011","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2910","S","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Elton. C. M. Leme","2011","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","400488","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","L. B. Smith",NA,NA,NA,"L. B. Smith","1952","02","18","Brazil","Santa Catarina","Brusque","Brusque, Mato de Hoffmann","-48.9","-27.1",NA,NA,"35","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400488",NA,"5659","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","400487","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1909","05","12","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400487",NA,"8117","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","400489","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","R. Reitz",NA,NA,NA,"R. Reitz","1956","02","16","Brazil","Santa Catarina","Itajaí","Braço Joaquim, Luis Alves","-48.941177","-26.748537",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400489",NA,"2700","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","400546","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.",NA,NA,NA,NA,"P. K. H. Dusén","1914","02","18","Brazil","Paraná","Lapa","Serra do Mar, Volta Grande","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400546",NA,"14529","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-06 11:42:00-03","UFPI-MRV","HDELTA","5809","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Bonafé, F.","2018","09","27","Bonafé, F. ; Bernardo, Selmo","2018","09","27","Brasil","São Paulo","Iporanga",NA,"-48.590278","-24.580556","48°35'25,00''W","24°34'50,00''S",NA,NA,"<ll>dwc_commonname:</ll> Bromélia","HDELTA005809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-24 17:10:34-03","UTFPR","DVPR","6273","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Verdi, M","2010","07","02","Verdi, M; Burkhardt, B; Klemz, G","2010","07","02","Brasil","Santa Catarina","São Bonifácio","Rio Poncho.","-48.92919921875","-27.9013996124268",NA,NA,"623","623","Epífita com flor bráctea vermelha e flor amarela.; Floresta Ombrófila Densa em estágio avançado, interior de fragmento.","DVPR006273",NA,"5147","Magnoliophyta",NA,NA,NA,NA,"23138","auto",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:51:45-03","EAO","IAN","87934","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Smith, LB",NA,NA,NA,"Smith, AC; Velloso, HP","1952","02","18","Brasil","Santa Catarina","Brusque","Forest, Mato de Hoffmann.","-48.9","-27.1","-48.9","-27.1","100","100","Epiphyte. petals yellow with green apices.","IAN087934",NA,"5659","Monocotiledônea",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-01-20 14:40:22-03","UPM","MACK","2302","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","R. J. F. Garcia","2012","07","11","S. Honda","2008","02","12","Brasil","SP","São Paulo","Parelheiros - Sítio Roda d'água","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,"410",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"24","2019-12-04 15:26:26-03","PUCPR","HUCP","24024","S","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.",NA,NA,NA,NA,"Petean, M","2008","01","12","Brasil","Paraná","Antonina",NA,"-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,NA,NA,NA,"s.n.","Monocotiledonea",NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA
"25","2019-12-04 15:26:26-03","PUCPR","HUCP","11648","S","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Cristo, I",NA,NA,NA,"Cazarote, H","1998","03","28","Brasil","Paraná","Curitiba","Xaxim","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,"001","Monocotiledonea",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"26","2019-12-04 15:26:26-03","PUCPR","HUCP","9500","S","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.",NA,NA,NA,NA,"Dijinski, KG; Nicola, PA","1996","03","03","Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,NA,NA,"022/013","Monocotiledonea",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"27","2019-12-04 15:26:26-03","PUCPR","HUCP","24762","S","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Kersten, RA","2016","02","04","Kersten, RA","2016","02","04","Brasil","Paraná","Morretes","Serra da Graciosa","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"Epífita, 1450m s.n.m.","HUCP00024762","HUCP00024762","1669","Monocotiledonea",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"28","2019-12-04 15:26:26-03","PUCPR","HUCP","24342","S","Plantae","Bromeliaceae","Vriesea","incurvata","Vriesea incurvata","Gaudich.","Kersten, RA",NA,NA,NA,"Kersten, RA","2015","03","15","Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,NA,NA,"1636","Monocotiledonea",NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA
