"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843330","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","santosii","Lychnophora santosii","H.Rob.","J. Semir","S. A. Mori","13595","1980","03","25","South America","Brazil","Bahia","Agua Quente. Pico das Almas, a 17 km ao NW de Rio de Contas","1400","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049981' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843330","NY01843330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:47-03","UFBA","ALCB","74779","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","santosii","Lychnophora santosii","H.Rob.","Cândido, JB","Guedes, ML; Rigueira, D; Oliveira, D; Estagiários; Alunos de Botânica III; Alunos de Botâni","12579","2006","10","14","Southern America","Brasil","Bahia","Chapada Diamantina, Serra do Barbado",NA,NA,NA,"de ca 80cm. Folhas cartáceas, discolores, com a face abaxial cinerea. Inflorescência terminal, flores liláses.",NA,NA,"2018","11","05","Abaíra","-41.65","-13.233333","-41.65","-13.233333",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:47-03","UFBA","ALCB","72932","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","santosii","Lychnophorella santosii","(H.Rob.) Loeuille, Semir, Pirani","Loeuille, B","Guedes, ML; Santos, JS; Valadão, RM; Carvalho, G; Alunos de Botânica III","12293","2006","04","30","Southern America","Brasil","Bahia","Chapada Diamantina, Serra do Barbado",NA,NA,NA,"de ca 50cm. Folhas discolores, com a face abaxial esbranquiçada. Inflorescência com capítulos paucifloros. Flores roxas.",NA,NA,"2011","12",NA,"Catolés","-41.833333","-13.283333","-41.833333","-13.283333",NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:47-03","UFBA","ALCB","126719","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","santosii","Lychnophorella santosii","(H.Rob.) Loeuille, Semir, Pirani","Cândido, JB","Siniscalchi, CM; Oliveira, CT","354","2013","05","05","Southern America","Brasil","Bahia","Trilha para o Pico das Almas, subida em afloramento no início da trilha.","1429","1429",NA,"Densamente ramificado, arredondado. Folhas fortemente discolores, alvas na face abaxial. Flores lilases, brácteas involucrais avermelhadas.; Campo rupestre, sobre rochas.","ALCB040134",NA,"2018","11","06","Rio de Contas","-41.943333","-13.5175","-41.943333","-13.5175",NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:50:19-03","NBC","NL-BOTANY","U.1136779","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Lychnophora","santosii","Lychnophora santosii","H.Rob.","Hind DJN","Harley RM; Giulietti AM; Stannard BL; Hind DJN",NA,"1988","11","10","Southern America","Brazil","Bahia",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136779 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136779","NL-U1136779","1989","05","01",NA,"-41.966667","-13.533333","-41.966667","-13.533333","Magnoliopsidae","U 0098850",NA,NA,NA,NA
"6","2020-11-04 11:01:55-03","ESALQ","ESA","22787","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophorella","santosii","Lychnophorella santosii","(H. Rob.) Loeuille, Semir & Pirani","Loeuille, B.","Sano, P.T. et al.",NA,"1994","02","26",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,"ESA022787","ESA022787","2011",NA,NA,"Abaíra","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"26531","auto",NA,NA
"7","2020-11-04 10:55:07-03","ESALQ","ESA","126726","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophorella","santosii","Lychnophorella santosii",NA,"Loeuille, B.","Giulietti, A.M. et al.","1445.0","1998","08","15",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,"ESA126726",NA,"2015",NA,NA,"Abaíra","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"26531","auto",NA,NA
"8","2020-12-21 16:16:31-03","MBM","MBM","151358","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","santosii","Lychnophora santosii","H. Rob.","Hind, D.J.N.","Harley, R.M.; et al.; et al.","26329","1988","11","10","Southern America","Brazil","Bahia","Pico das Almas",NA,NA,NA,NA,"MBM151358","MBM151358",NA,NA,NA,"Rio de Contas","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"49773","auto",NA,NA
"9","2020-12-11 11:33:12-03","UFMG","BHCB","180275","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","santosii","Lychnophorella santosii","(H.Rob.) Loeuille & Semir & Pirani",NA,"Fernandes, AC; Viana, PL; Mota, NFO; Paula, LFA; Jorge, TB","231","2010","10","13","Southern America","Brasil","Bahia","Pico das Almas, Trilha subida para o pico.","1519","1519",NA,"Borda de rio, mata ciliar.","BHCB032640",NA,"2019","04","17","Rio de Contas","-41.935556","-13.54975","-41.935556","-13.54975",NA,NA,NA,NA,NA,NA
"10","2016-01-19 05:29:00-02","MO","MOBOT","3353907","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","santosii","Lychnophora santosii","H. Rob.","D.J.N.Hind","R.M. Harley|Ana M. Giulietti|B.L. Stannard|David J.N. Hind","Harley 26329","1988","11","10","South America","Brazil","Bahia","Mun.: Rio de Contas. Pico das Almas. Vertente leste. Subida do pico do campo norte do Queiroz.","1500.00000000","1680.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"-41.9666667","-13.5333333",NA,NA,NA,NA,NA,NA,"1",NA
