"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01200006","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","J. Revilla","8647","1983","10","13","South America","Brazil","Pará","Tucuruí","Margem do lago do Cagancho.","-49.73","-3.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1437147' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200006","NY01200006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01193227","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","U. N. Maciel","58","1978","11","29","South America","Brazil","Pará","Santarém","Região do Tapajós, a 500 m de Porto Novo, margem da estrada que vai p/ Belterra.","-54.978767","-2.624708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419249' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193227","NY01193227_01","B. M. Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01193226","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","M. G. A. Lobo","86","1978","12","03","South America","Brazil","Pará",NA,"Santarém, Belterra, Porto Novo","-54.980084","-2.626469","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419248' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193226","NY01193226_01","A. H. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01200004","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","J. Revilla","8325","1983","08","22","South America","Brazil","Pará","Tucuruí","Margens da PA-149 até o km 50.","-49.6735668","-3.764569","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1437098' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200004","NY01200004_01","A. R. Zuntini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01193234","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","C. A. Cid Ferreira","2515","1980","08","14","South America","Brazil","Pará","Oriximiná","Estrada Oriximiná-Óbidos, e estrada do BEC km 70, próximo ao rio Cuminá-Mirim.","-55.8661","-1.76556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419263' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193234","NY01193234_01","A. H. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01193230","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","D. C. Daly","987","1981","10","28","South America","Brazil","Pará",NA,"Approx. 18 km east of Tucurui and Rio Tocantins, by BR 263","-49.559238","-3.764177","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419256' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193230","NY01193230_01","B. M. Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01193233","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","M. G. da Silva","3695","1978","11","12","South America","Brazil","Pará","Itaituba","Km 63 da estrada Itaituba-Jacareacanga. parque Nacional do Tapajós (I.B.D.F.) reserva Biológica","-55.059354","-3.3969062","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419262' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193233","NY01193233_01","B. M. Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03270050","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","V. de F. Mansano","1061","2015","11","05","South America","Brazil","Pará","Belterra","Floresta Nacional do Tapajós, km 72, estrada para o rio","-55.0458","-2.9042","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972787' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270050","NY03270050_01","B. M. Torke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01193231","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","R. Spruce","714","1850","06",NA,"South America","Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419259' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193231","NY01193231_01","A. H. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01193229","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Pleonotoma","bracteata","Pleonotoma bracteata","A.H.Gentry","P. L. B. Lisboa","1364","1980","02","01","South America","Brazil","Pará","Tucuruí","Margem esquerda do rio Tocantins, BR-422, km 45, antiga estrada de ferro Alcobaça.","-49.8343411","-4.0843892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419254' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193229","NY01193229_01","B. M. Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
