"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","945355","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","lundii","Symplocos lundii","A.DC.","L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945355","NY00945355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","968659","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","platyphylla","Symplocos platyphylla","(Pohl) Benth.","W. R. Anderson","6340","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968659","NY00968659_01 NY00968659_02","J. A. Kallunki","1973","03","05","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 1 km E of Alto Paraíso on road to Nova Roma","-47.5103","-14.1103","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","968660","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","platyphylla","Symplocos platyphylla","(Pohl) Benth.","G. T. Prance","59028","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968660","NY00968660_01","H. S. Irwin","1964","09","12","Distrito Federal","Brasília","Road Brasília to Taguatinga.","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 16:11:00-03","NY","NYBG","487005","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","platyphylla","Symplocos platyphylla",NA,"G. M. Araújo","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487005","NY00487005_01",NA,"1992","11","20","Minas Gerais",NA,"Estaçao Ecológica do Panga, Uberlândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","487004","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","platyphylla","Symplocos platyphylla","(Pohl) Benth.","R. M. Harley","21334","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487004","NY00487004_01","R. M. Harley; S. M. Cooper","1980","04","13","Bahia",NA,"Serra Geral de Caitité. 9.5 km. S. of Caitité on road to Brejinhos das Ametistas","-42.5","-14.12","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","486966","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","sellowiana","Symplocos sellowiana","Brand","A. F. Regnell","47b","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486966","NY00486966_01",NA,"1861",NA,NA,"Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","968668","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","sellowiana","Symplocos sellowiana","Brand","A. F. Regnell","I47","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968668","NY00968668_01",NA,"1864","06","15","Minas Gerais","Caldas","Caldas.","-46.3858","-21.9236",NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","486969","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","sellowiana","Symplocos sellowiana","Brand","G. Jönsson","997a","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486969","NY00486969_01","P. K. H. Dusén","1914","09","27","Paraná","Rio Branco do Sul","Itaperussú","-49.3142","-25.1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","486968","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","sellowiana","Symplocos sellowiana","Brand","P. K. H. Dusén","11014","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486968","NY00486968_01","P. K. H. Dusén","1910","12","06","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486967","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","sellowiana","Symplocos sellowiana","Brand","P. K. H. Dusén","7559","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486967","NY00486967_01","P. K. H. Dusén","1909","01","17","Paraná","Ponta Grossa",NA,"-50.1617","-25.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
