"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","376359","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","podantha","Aechmea podantha","L.B.Sm.","E. M. C. Leme","W. W. Thomas","9327","1992","05","14","South America","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães.","-39.7222222","-13.5972222","500","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376359","NY00376359_01",NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2144019","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","podantha","Aechmea podantha","L.B. Sm.",NA,"M. B. Foster & R. C. Foster","842","1940","8","7","South America - Neotropics","Brazil","Espírito Santo",NA,"Santa Teresa (Santa Theresa).",NA,NA,NA,NA,NA,NA,"US00091507","US00091507_01","Monocotyledonae","Isotype","1",NA,NA
"3","2010-08-16 16:42:36-03","GH","HU-HERB","GH 00029009","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","podantha","Aechmea podantha","L. B. Smith",NA,"M. B. Foster & R. Foster","842","1940","8","7","South America","Brazil","Espirito Santo",NA,"Santa Teresa",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,"Holotype",NA,"842","undetermined"
