"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:38:54-03","E","E","326874","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia","isotype","Gardner, George","3876","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:406193","<a href=http://data.rbge.org.uk/herb/E00326874 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:54-03","E","E","326872","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia","isotype","Gardner, George","4987","E. Tropical South America","BR","Minas Gerais","herbarium specimen of unspecif","BGBASE:406172","<a href=http://data.rbge.org.uk/herb/E00326872 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:54-03","E","E","69055","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia",NA,"Harley, R.M., Hind, D.J.N. & Simao, R.","25888","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:76737","<a href=http://data.rbge.org.uk/herb/E00069055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069055","1988","11","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:54-03","E","E","69059","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia",NA,"Harley, R.M.; Hind, D.J.N.; Simao, R. & Fothergill, J.M.","25309","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:76813","<a href=http://data.rbge.org.uk/herb/E00069059 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069059","1988","10","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:54-03","E","E","326873","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia","isotype","Sellow, F.",NA,"E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:406185","<a href=http://data.rbge.org.uk/herb/E00326873 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00943093","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia oleifolia",NA,"J. R. Stehmann",NA,"South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943093","1990","09","10","Magnoliophyta","Ericales","oleifolia","(Cham.) G.Don","W. S. Judd","Santa Bárbara","Serra do Caraça.","-43.4153","-19.9594","NY00943093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00943113","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia glabra",NA,"H. S. Irwin","5830","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943113","1964","08","31","Magnoliophyta","Ericales","glabra","(Meisn.) Judd","W. S. Judd","Brasília","Parque Municipal do Gama, ca. 20 km S of Brasília.","-48.0638","-16.01719","NY00943113_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","390834","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia oleifolia",NA,"P. J. M. Maas","3162","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390834","1977","10","10","Magnoliophyta","Ericales","oleifolia","(Cham.) G.Don","W. S. Judd","Itatiaia","Parque Nacional do Itatiaia, forested margins of Rio Campo Belo","-44.61807","-22.433227","NY00390834_01","850","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00943103","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia oleifolia",NA,"G. G. Hatschbach","49633","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943103","1985","09","13","Magnoliophyta","Ericales","oleifolia","(Cham.) G.Don","W. S. Judd","Datas","Vargem dos Bastos.","-43.6556","-18.4458","NY00943103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","390826","PreservedSpecimen","Plantae","Ericaceae","Agarista","oleifolia","Agarista oleifolia glabra",NA,"S. A. Mori","13349","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390826","1980","03","02","Magnoliophyta","Ericales","glabra","(Meisn.) Judd","W. S. Judd","Lençóis","Arredores de Lençois, caminho para Barro Branco","-41.3897","-12.5633","NY00390826_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
