"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","relatedCatalogItem","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","133518","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Bombax","candolleanum","Bombax candolleanum","K.Schum.","isotype","A. F. M. Glaziou","18892","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00133518","NY00133518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402437","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"H. S. Irwin","18336","South America","Brazil","Distrito Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402437","NY00402437_01","A. G. M. W. A. Robyns","1966","07","23","Brasília","Swamp forest, near Lagôa Mestre d'Armas, ca. 5 km NW of Planaltina, D.F.","-47.6927778","-15.5801","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00996770","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"J. A. Ratter","R.2207","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996770","NY00996770_01","T. M. Macedo","1972","08","25",NA,"Vale de Sonhos, (80 km N of Barra do Garças on the road to Xavantina) .","-52.33","-15.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1018441","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"J. R. Pirani","4356","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259683' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018441","NY01018441_01","M. C. Duarte","1998","05","17","Botumirim","Serra do Tinoco. Estrada para Itacambira, ca. 6 km de Botumirim.","-43.0483","-16.8133","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","402435","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"A. P. Duarte","2908","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402435","NY00402435_01","F. H. E. A. W. Robyns","1950","08","26",NA,"Fazenda da Prata, Colônia",NA,NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","402436","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"H. S. Irwin","18336","South America","Brazil","Distrito Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402436","NY00402436_01","A. G. M. W. A. Robyns","1966","07","23","Brasília","Swamp forest, near Lagôa Mestre d'Armas, ca. 5 km NW of Planaltina, D.F.","-47.6927778","-15.5801","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996688","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"E. P. Heringer","1306","South America","Brazil","Distrito Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996688","NY00996688_01","J. A. Kallunki","1979","05","07","Brasília","Bacia do Rio São Bartolomeu, córrego Taboquinha.","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00996689","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"E. P. Heringer","1564","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996689","NY00996689_01","J. A. Kallunki","1979","06","18",NA,"Bacia do rio S. Bartolomeu, margem do rio taboquinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00996687","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"D. R. Hunt","6716","South America","Brazil","Distrito Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996687","NY00996687_01","J. A. Kallunki","1966","07","22","Brasília","Planaltina.","-47.6667","-15.6167","900","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02902644","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"H. C. de Lima","7535","South America","Brazil","Espírito Santo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3227612' target='other'> <mi>dwc_moreinfo</mi></a>","NY02902644","NY02902644_01",NA,"2012","08","08","Jaguaré","Reserva Natural Vale. Área MME, na margem da estrada Municipal. Mata alta.","-40.0816667","-19.1369444","66","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","402438","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"D. A. Folli","8279","South America","Brazil","Espírito Santo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402438","NY00402438_01","J. A. Kallunki","1979","07","23","Linhares","Reserva Florestal da CVRD. Est. JACARANDA, ant. 232, km 0,295, lado esquerdo","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02692462","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"C. Farney","1249","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987601' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692462","NY02692462_01",NA,NA,NA,NA,"Rio de Janeiro","Saquarema - Restinga de Ipitangas.","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG2682","S","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana",NA,NA,"J. Maielo",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"2009","12","17",NA,"Congonhas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","CARP315","S","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana",NA,NA,"M.F.V.Starling",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,"Belo Horizonte","Mata PUC - Minas","-43.991944","-19.920833","917","917",NA,NA,"43º59'31''W","19º55'15''S",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","CARP250","S","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana",NA,NA,"M.F.V.Starling",NA,NA,"Brasil","Minas Gerais",NA,"Exsicata registrada desta espécie - ANG 3.129",NA,NA,"M.F.V.Starling",NA,NA,NA,"Belo Horizonte","Mata PUC - Minas","-43.991944","-19.920833","917","917",NA,NA,"43°59'31''W","19°55'15''S",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG2303","S","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana",NA,NA,"C.F.M.; V.M.C.R.","2",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"2014","07","31","Belo Horizonte","Mata da PUC- Coração Eucarístico","-43.937801361084","-19.9207992553711",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG3129","S","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana",NA,NA,"A.C.P. Silva",NA,NA,"Brasil","Minas Gerais",NA,"Imbiruçu; Flor de Pólem. Sem odor, com nectário no cálice.",NA,NA,NA,"2014","07","31","Belo Horizonte","Mata da PUC Minas","-43.937801361084","-19.9207992553711",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 11:31:15-03","UFRJ","RFA","39592","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"R. Finotti; J. Caruzo","68",NA,"Brasil","Rio de Janeiro",NA,"Árvore de 15 metros de altura e PAP de 67,7 cm","RFA24591",NA,"R. Finotti","2008","07",NA,"Guapimirim","Lozalizado na propriedade do Sr. Renato Cozzolino","-42.909444","-22.536944","50","50",NA,NA,"42º54'34''W","22º32'13''S",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-15 11:14:33-03","FUNED","FUNED-POL","3667","PreservedSpecimen","Plantae",NA,NA,"Bombacaceae","Eriotheca","candolleana","Eriotheca candolleana",NA,NA,"Sandra Matoso",NA,NA,"Brasil","MG",NA,NA,"POL003667","POL003667_p01 POL003667_p02 POL003667_p03 POL003667_p04 POL003667_p05 POL003667_p06 POL003667_p07 POL003667_p08 POL003667_p09 POL003667_p10 POL003667_p11",NA,NA,NA,NA,NA,"Mata da Biologia UFV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:43:44-03","EAO","IAN","35839","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Bombax","candolleanum","Bombax candolleanum","K.Schum.",NA,"Viégas, AP","7137","Southern America","Brasil","São Paulo",NA,"Árvore.","IAN035839","IAN035839 IAN035839_e","Handro, O","1943","05","31","Campinas","Rua Barão Atibaia, 600.","-47.060001373291","-22.8999996185303",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 10:56:03-03","ESALQ","ESA","133526","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K. Schum.) A. Robyns",NA,"Toledo, C.A.P.; Rodrigues, M. C.; Vidal, C. Y.; Bochorny, T.; Pereira, L. C. S. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","73.0",NA,"Brasil","São Paulo",NA,"Árvore, 2 m, coletada na borda da mata.","ESA133526",NA,"Ivanauskas, N. M.","2015","07","07","Nova Odessa","Instituto de Zootecnia. Fragmento de Floresta Estacional Semidecidual degradado","-47.28142","-22.76742","584","584",NA,NA,"-47.28142","-22.76742","2015","07","07",NA,NA,NA,NA,NA
"22","2020-11-04 11:12:50-03","ESALQ","ESA","106438","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana",NA,NA,"Flores, T.B.","217.0",NA,"Brasil","Espírito Santo",NA,NA,"ESA106438","ESA106438 ESA106438_v",NA,"2009","08","27","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:12:50-03","ESALQ","ESA","72919","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana",NA,NA,"Mello Barreto","895.0",NA,"Brasil","Minas Gerais",NA,NA,"ESA072919","ESA072919","Duarte, M.C.","1934","06","15","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,"17082","auto",NA,NA,"2008",NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 10:56:03-03","ESALQ","ESA","135515","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K. Schum.) A. Robyns",NA,"J.O.Mendonça-Junior",NA,NA,"Brasil","Rio de Janeiro",NA,NA,"ESA135515",NA,"G.A. Nobrega","2014","05","20","Cambuci",NA,"-41.9110984802246","-21.5753002166748",NA,NA,"29128","auto",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:12:50-03","ESALQ","ESA","65270","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) Robyns",NA,"Souza, J.P.","2353.0",NA,"Brasil","São Paulo",NA,"Arvoreta, botões alaranjados","ESA065270","ESA065270","Duarte, M.C.","1998","06","12","Monte Mor","Haras Vanguarda. Mata Ciliar (borda)","-47.310001373291","-22.9400005340576",NA,NA,"12206","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:12:50-03","ESALQ","ESA","130037","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns",NA,"Colletta, G.D.; Flores, T.B.; Duarte, M.M.; Ferrari, A.C.","1792.0",NA,"Brasil","Espírito Santo",NA,"Regenerante estéril","ESA130037",NA,"Siqueira, G.","2011","04","14","Linhares","Reserva Vale, área do projeto de restauração, projeto 150","-40.0722007751465","-19.3910999298096",NA,NA,"48094","auto",NA,NA,"2011",NA,NA,NA,NA,NA,NA,NA
