"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","typeStatus","individualCount"
"1","2021-04-05 14:33:34-03","UNESC","CRI","1678","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette; C. M. Martinello e R. dos Santos","Brasil","Santa Catarina","Orleans","-49.285278","-28.368333","49º17'7''W","28º22'6''S","CRI003227","CRI003227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:20-03","UNESC","CRI","430","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems","Marcos Sobral","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI003228","CRI003228","847","1990","05","16","Rio Novo.","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:34-03","UNESC","CRI","1236","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems","Jorge Luiz Waechter","V. Citadini-Zanette; C. Londero & L. H. Garcia & R. B. Negrelle","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI003230","CRI003230",NA,"1992","07","30","Reserva Volta Velha.","9","9","1992","10","28","Habito: epifítica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:34-03","UNESC","CRI","10903","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems","Vanilde C. Zanette","Humberto de Bona Martins; Karoline Ceron","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI003224","CRI003224",NA,"2014","10","01","PESF.","110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:20-03","UNESC","CRI","3359","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems",NA,"Vanilde Citadini-Zanette; Clair Maria Martinello","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI003226","CRI003226","1956","1994","03","16","Rio Novo.","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 15:16:31-03","UNESC","CRI","11800","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems","Guilherme Lodetti","Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti","Brasil","Santa Catarina","Grão Pará","-49.389167","-28.188889","49º23'21''W","28º11'20''S","CRI003220","CRI003220",NA,"2016","04","04","Parque Estadual Serra Furada.","502","502","2016","04","04","Floresta Ombrófila Densa Montana Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:34-03","UNESC","CRI","10531","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems","Peterson T. Padilha","Humberto de Bona Martins","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","CRI003243","CRI003243",NA,"2014","06","09","Rio Deserto.","48","48","2014","06","09","Habitat: mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:34-03","UNESC","CRI","1452","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems","R. R. Negrelle","R. Negrelle; et al.","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI003225","CRI003225",NA,"1992","05","15","Reserva Volta Velha.","9","9",NA,NA,NA,"Habito: liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:39:26-03","E","E","158153","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"E00158153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00158153 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:177420",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","442022","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","tessmannii","Nematanthus tessmannii","(Hoehne) Chautems","G. G. Hatschbach","G. G. Hatschbach","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00442022","NY00442022_01","Ha13570","1966","01","29","Rio Cotia",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=377326' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
