"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02705362","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","R. Engelmann","RE1336","2010","11","02","South America","Brazil","Rio de Janeiro","Teresópolis","Trilha do Rancho Frio, subida ao Santo Antônio. Parque Nacional da Serra dos Órgãos","-43.0125","-22.462778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997207' target='other'> <mi>dwc_moreinfo</mi></a>","NY02705362","NY02705362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","720609","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","A. Salino","11129","2006","05","21","South America","Brazil","Minas Gerais","Simonésia","RPPN Mata do Sossego.","-42.07386","-20.06536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720609","NY00720609_01","1150","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","875315","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","L. C. N. Melo","157","2001","08","20","South America","Brazil","Minas Gerais","Camanducaia","Mata da represa, trevo de acesso a Camanducaia.","-46.1447","-22.7553","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875315","NY00875315_01","1180","1180","R. C. Moran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886061","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","P. K. H. Dusén","368a","1914","05","17","South America","Brazil","Paraná","Jaguariaíva","Sao Joao de Rodriguez","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886061","NY00886061_01","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","875316","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","A. Salino","5477","2000","05","26","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Trilha para o Pico do Boné","-42.5206","-20.6669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875316","NY00875316_01",NA,NA,"R. C. Moran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886063","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","A. C. Brade","8389","1925","10",NA,"South America","Brazil","São Paulo",NA,"Serra Paranapiacaba.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886063","NY00886063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02642235","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","L. Sylvestre","2236","2012","07","24","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Trilha para o Pico do Desengano a partir da Estalagem Morumbeca. Parque Estadual do Desengano","-41.912222","-21.891667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964367' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642235","NY02642235_01",NA,NA,"F. B. Matos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1801243","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","F. B. Matos","2049","2012","02","08","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Início da trilha entre a Piscina da Marombe e Cachoeira Véu-de-Noiva.","-44.6197","-22.4289","sheet","Unicata. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017745' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801243","NY01801243_01","1100",NA,"F. B. Matos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","720562","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","A. Salino","7765","2001","10","31","South America","Brazil","São Paulo","Sao Luís do Paraitinga","Parque Estadual da Serra do Mar, Núcleo Santa Virginia, Trilha da Pirapitinga.","-45.08867","-23.32422","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2517844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720562","NY00720562_01","800","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","886062","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","macahense","Elaphoglossum macahense","(Fée) Rosenst.","J. Miers","130a","1904","01",NA,"South America","Brazil","Rio Grande do Sul",NA,"Sao Joao de Rodriguez.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886062","NY00886062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
