"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","8543","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.","isotype","R. Spruce","1650","1851","07","South America","Brazil","Amazonas","Prope Barra [Manaus], Rio Negro","-59.9953079","-3.0673242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008543","NY00008543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","8544","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.","type","R. Spruce","1650","1851",NA,"South America","Brazil","Amazonas","Prope Barra [Manaus], Rio Negro","-59.9953079","-3.0673242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008544","NY00008544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1188024","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"W. Rodrigues","5361","1963","07","South America","Brazil","Amazonas","igarapé do lago de Puraquequara.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396435' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188024","NY01188024_01","H. H. van der Werff","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 02:14:00-03","NY","NYBG","1187805","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca",NA,NA,"M. Silva","940","1967","04","South America","Brazil","Amazonas","Rio Negro, arredores de Manaus, igarapé Jaracui.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393230' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187805",NA,"H. H. van der Werff","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-07 11:56:00-02","NY","NYBG","1187826","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca",NA,NA,"W. A. Ducke","1226","1943","04","South America","Brazil","Amazonas","Igarapé da Cachoeira Grande.","-60.025","-3.10194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393485' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187826","NY01187826_01","J. L. Zarucchi","20","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1188023","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"G. T. Prance","15199","1971","10","South America","Brazil","Amazonas","Rio Negro between Moreira & Rio Arirahá.","-63.487458","-0.558828","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396434' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188023","NY01188023_01","H. H. van der Werff","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1161097","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"K. Kubitzki","P21725","1974","03","South America","Brazil","Amazonas","Rio Cuieiras, 50 km upstream, igapo near the farm of Sr. Nemerio","-60.3236344","-2.6235947","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370707' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161097","NY01161097_01","I. Huamantupa Chuquimaco","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01204438","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"S. A. Mori","21789","1991","07","South America","Brazil","Amazonas","Rio Cuieras, 60 Km from mouth at locality called Lago Jaradá.","-60.3529429","-2.6996631","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1535962' target='other'> <mi>dwc_moreinfo</mi></a>","NY01204438","NY01204438_01","H. H. van der Werff","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01204429","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"S. A. Mori","19261","1988","10","South America","Brazil","Amazonas","Rio Cueiras, ca 20 Km upstream from the mouth.","-60.4244506","-2.7298256","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1535953' target='other'> <mi>dwc_moreinfo</mi></a>","NY01204429","NY01204429_01","H. H. van der Werff","08",NA,"70.00","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1098033","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"J. E. Meireles","378",NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370825' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098033","NY01098033_01","I. Huamantupa Chuquimaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
