"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","individualCount","class","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:25:45-03","UNESC","CRI","13383","PreservedSpecimen","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.","Alexandre Medeiros","2017","04","19","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Praia de Laranjeiras.","-48.6347007751465","-26.9906005859375","8793","Coleta 96. Habito: Epífita","CRI011990","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4010","S","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata",NA,NA,"2017","03","13",NA,"2017","03","13",NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1804","S","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.","Leandro L. Giacomin","2006","02",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2006","02","07","Brasil","Minas Gerais","Marliéria","Garapa Torta","-42.7322006225586","-19.7122001647949","28215","254",NA,"auto","Magnoliophyta","Asparagales","1","Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02705003","PreservedSpecimen","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.","R. S. Souza",NA,NA,NA,"R. S. Souza","2014","04","04","Brazil","Bahia","Jequié","Oriente Novo.","-40.159056","-14.217806",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2956833' target='other'> <mi>dwc_moreinfo</mi></a>","NY02705003",NA,"Magnoliophyta","Asparagales",NA,NA,"373","South America","sheet","NY02705003_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1032197","PreservedSpecimen","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.","E. A. Christenson",NA,NA,NA,"W. W. Thomas","1988","02","11","Brazil","Minas Gerais","Paracatú","17 km E of Rio Paracatú","-46.72","-17.4",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192145' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032197",NA,"Magnoliophyta","Asparagales",NA,NA,"5877","South America","sheet","NY01032197_01","850","850",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","557668","PreservedSpecimen","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.","L. Y. T. Westra",NA,NA,NA,"M. J. Jansen-Jacobs","1987","11","02","Guyana",NA,NA,"Kanuku Mts., Nappi-head on Nappi Creek, camp 1","-59.57","3.35",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557668",NA,"Magnoliophyta","Asparagales",NA,NA,"670","South America","sheet","NY00557668_01","130","130",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1721982","PreservedSpecimen","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.",NA,NA,NA,NA,"J. M. Poole","1979","06","29","Brazil","Amazonas",NA,"Tapereira (cemetery and old fort) and São Tomé and vinicity.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1045174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01721982",NA,"Magnoliophyta","Asparagales",NA,NA,"1758","South America","sheet","NY01721982_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4109828","PreservedSpecimen","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.",NA,NA,NA,NA,"J. Campos","1998","03","11","Peru","Cajamarca","San Ignacio","Chirinos. Localidad Las Juntas","-78.7808","-5.3761",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4431090' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109828",NA,"Magnoliophyta","Asparagales",NA,NA,"4849","South America","sheet",NA,"550","650",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557673","PreservedSpecimen","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.","E. A. Christenson",NA,NA,NA,"W. W. Thomas","1992","05","05","Brazil","Bahia","Ilhéus","Rd from Ilhéus to Serra Grande, 11.3 km N of the Itaipe bridge leaving Ilhéus.","-39.15","-14.68",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557673",NA,"Magnoliophyta","Asparagales",NA,NA,"9132","South America","sheet","NY00557673_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557672","PreservedSpecimen","Plantae","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","(Lindl.) Lindl.","L. P. de Queiroz",NA,NA,NA,"L. P. de Queiroz","1987","07","21","Brazil","Bahia","Feira de Santana","11 km NW de Jaguara. Fazenda Monte Verde","-39.1847","-12.0828",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557672",NA,"Magnoliophyta","Asparagales",NA,NA,"1743","South America","sheet","NY00557672_01","320","320",NA,NA,NA,NA,NA,NA
