"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","484013","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.","J. N. Rose","20231","1915","07","14","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Base of Corcovado, Rio de Janeiro","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484013","NY00484013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-04-12 08:37:00-03","NY","NYBG","02684258","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","racemosa","Passiflora racemosa",NA,"S. G. da Fonsêca","378","1967","11","04","South America","Brazil","Mato Grosso",NA,"253 km de Xavantina na estrada de São Felix.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2990018' target='other'> <mi>dwc_moreinfo</mi></a>","NY02684258","NY02684258_01","T. S. Nunes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","484016","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.","L. Riedel","717","1822","03",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484016","NY00484016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","484015","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.","L. Riedel","717","1832","03",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484015","NY00484015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484014","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.","O. X. B. Machado","s.n.","1949","09","18","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, Restinga do Leblon.","-43.2075","-22.9031","sheet","Collegit: O. Machado Data: 6-1-46 [on piece of paper in packet on sheet]. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484014","NY00484014_01","A. P. Duarte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:53-03","UFRJ","RFA","4740","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.","P. Occhioni","609","1946",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra da Carioca","-43.2075004577637","-22.9027996063232",NA,"Liana, flor cor de carne","RFA47317",NA,"S. de V.A. Pessoa","1987","12","23","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-20 14:40:47-03","UPM","MACK","2235","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.",NA,"A38","2011","03","26",NA,"Brasil","SP","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"C. M. Siniscalchi","2014",NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:56:31-03","NBC","NL-BOTANY","L.2449326","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.","Unknown",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2449326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2449326","NL-L2449326",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:32:54-03","MN","R","10255","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.","Glaziou, A.F.M.","3655","1869","05","02",NA,"Brasil","Rio de Janeiro","Laranjeiras",NA,NA,NA,NA,"Plantas do Brasil Central","R000010255","R000010255_001","Vitta, B.; Bakker","1999","01","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:32:54-03","MN","R","90297","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","racemosa","Passiflora racemosa","Brot.","Glaziou, A.F.M.; Galvão, F.R.",NA,"1881","08","04",NA,"Brasil","Rio de Janeiro","Trapicheiro",NA,NA,NA,NA,"Herb. J. de Saldanha; Gabinete de Botânica da Escola Polytechnica, 5603","R000090297","R000090297_001","Vitta, B.; Bakker","1999","01","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
