scientific_name,grupo
Andreadoxa flava Kallunki,Angiospermas
Balfourodendron riedelianum (Engl.) Engl.,Angiospermas
Conchocarpus bellus Kallunki,Angiospermas
Conchocarpus cauliflorus Pirani,Angiospermas
Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani,Angiospermas
Conchocarpus marginatus (Rizzini) Kallunki & Pirani,Angiospermas
Dictyoloma vandellianum A.Juss.,Angiospermas
Esenbeckia grandiflora Mart.,Angiospermas
Esenbeckia hieronymi Engl.,Angiospermas
Esenbeckia irwiniana Kaastra,Angiospermas
Esenbeckia leiocarpa Engl.,Angiospermas
Esenbeckia pilocarpoides Kunth,Angiospermas
Euxylophora paraensis Huber,Angiospermas
Galipea carinata Pirani,Angiospermas
Galipea jasminiflora (A.St.-Hil.) Engl.,Angiospermas
Hortia brasiliana Vand. ex DC.,Angiospermas
Metrodorea maracasana Kaastra,Angiospermas
Metrodorea nigra A.St.-Hil.,Angiospermas
Metrodorea stipularis Mart.,Angiospermas
Pilocarpus alatus C.J.Joseph ex Skorupa,Angiospermas
Pilocarpus giganteus Engl.,Angiospermas
Pilocarpus jaborandi Holmes,Angiospermas
Pilocarpus microphyllus Stapf ex Wardlew.,Angiospermas
Pilocarpus pauciflorus A.St.-Hil.,Angiospermas
Pilocarpus spicatus A.St.-Hil.,Angiospermas
Pilocarpus trachylophus Holmes,Angiospermas
Raulinoa echinata R.S.Cowan,Angiospermas
Zanthoxylum acuminatum (Sw.) Sw.,Angiospermas
Zanthoxylum caribaeum Lam.,Angiospermas
Zanthoxylum fagara (L.) Sarg.,Angiospermas
Zanthoxylum monogynum A.St.-Hil.,Angiospermas
Zanthoxylum petiolare A.St.-Hil. & Tul.,Angiospermas
Zanthoxylum rhoifolium Lam.,Angiospermas
Zanthoxylum riedelianum Engl.,Angiospermas
Zanthoxylum tingoassuiba A.St.-Hil.,Angiospermas
Picrasma crenata (Vell.) Engl.,Angiospermas
Arrojadoa bahiensis (P.J.Braun & Esteves) N.P.Taylor & Eggli,Angiospermas
Arthrocereus glaziovii (K.Schum.) N.P.Taylor & Zappi,Angiospermas
Arthrocereus melanurus (K.Schum.) Diers et al.,Angiospermas
Arthrocereus melanurus (K.Schum.) Diers et al. subsp. melanurus,Angiospermas
Arthrocereus rondonianus Backeb. & Voll,Angiospermas
Brasilicereus markgrafii Backeb. & Voll,Angiospermas
Brasiliopuntia brasiliensis (Willd.) A.Berger,Angiospermas
Cereus hildmannianus K.Schum.,Angiospermas
Cereus mirabella N.P.Taylor,Angiospermas
Cipocereus bradei (Backeb. & Voll) Zappi & N.P.Taylor,Angiospermas
Cipocereus crassisepalus (Buining & Brederoo) Zappi & N.P.Taylor,Angiospermas
Cipocereus laniflorus N.P.Taylor & Zappi,Angiospermas
Cipocereus minensis (Werderm.) Ritter,Angiospermas
