"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","order","infraspecificEpithet","typeStatus","continentOcean","preparationType","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:24:52-03","UNESC","CRI","12586","PreservedSpecimen","Plantae","Arecaceae","Syagrus","oleracea","Syagrus oleracea","(Mart.) Becc.","M. Moraes R.","2012","11","28","Damasceno, Júnior, G. A.; Maria, V.R.; Batilani, J.; Pott, A; Velasques, J.","3675","2006","09","02","Brasil","Mato Grosso do Sul","Bonito","Fazenda Remanso","-56.4818992614746","-21.1210994720459","71352","433","433","Doação Herbário COR (11874) Habito: Arbóreo","CRI010793","CRI010793_1 CRI010793_2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","67383","PreservedSpecimen","Plantae","Arecaceae","Cocos","oleracea","Cocos oleracea platyphylla","Drude",NA,NA,NA,NA,"A. F. M. Glaziou","8063",NA,NA,NA,"Brazil","Bahia",NA,"Label also says Rio de Janeiro.",NA,NA,NA,NA,NA,"Recd. Sept. 1876. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067383","NY00067383_01 NY00067383_02",NA,"Magnoliophyta","Arecales","platyphylla","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","67382","PreservedSpecimen","Plantae","Arecaceae","Cocos","oleracea","Cocos oleracea platyphylla","Drude",NA,NA,NA,NA,"A. F. M. Glaziou","8063",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Recu. le 4 Octobre 1878. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067382","NY00067382_01 NY00067382_02",NA,"Magnoliophyta","Arecales","platyphylla","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","67384","PreservedSpecimen","Plantae","Arecaceae","Cocos","oleracea","Cocos oleracea platyphylla","Drude",NA,NA,NA,NA,"A. F. M. Glaziou","8063",NA,NA,NA,"Brazil","Bahia",NA,"Label also says Rio de Janeiro.",NA,NA,NA,NA,NA,"Recd. Sept. 1876. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067384","NY00067384_01 NY00067384_02",NA,"Magnoliophyta","Arecales","platyphylla","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","67383","PreservedSpecimen","Plantae","Arecaceae","Cocos","oleracea","Cocos oleracea platyphylla","Drude",NA,NA,NA,NA,"A. F. M. Glaziou","8063",NA,NA,NA,"Brazil","Bahia",NA,"Label also says Rio de Janeiro.",NA,NA,NA,NA,NA,"Recd. Sept. 1876. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067383","NY00067383_01 NY00067383_02",NA,"Magnoliophyta","Arecales","platyphylla","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","67382","PreservedSpecimen","Plantae","Arecaceae","Cocos","oleracea","Cocos oleracea platyphylla","Drude",NA,NA,NA,NA,"A. F. M. Glaziou","8063",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Recu. le 4 Octobre 1878. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067382","NY00067382_01 NY00067382_02",NA,"Magnoliophyta","Arecales","platyphylla","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","67384","PreservedSpecimen","Plantae","Arecaceae","Cocos","oleracea","Cocos oleracea platyphylla","Drude",NA,NA,NA,NA,"A. F. M. Glaziou","8063",NA,NA,NA,"Brazil","Bahia",NA,"Label also says Rio de Janeiro.",NA,NA,NA,NA,NA,"Recd. Sept. 1876. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067384","NY00067384_01 NY00067384_02",NA,"Magnoliophyta","Arecales","platyphylla","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00664131","PreservedSpecimen","Plantae","Arecaceae","Syagrus","oleracea","Syagrus oleracea","(Mart.) Becc.","L. R. Noblick",NA,NA,NA,"A. F. M. Glaziou","17338","1888","02","23","Brazil",NA,NA,"Passeio Publico",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664131","NY00664131_01",NA,"Magnoliophyta","Arecales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 16:45:00-03","NY","NYBG","00568015","PreservedSpecimen","Plantae","Arecaceae","Syagrus","oleracea","Syagrus oleracea",NA,"L. R. Noblick",NA,NA,NA,"L. R. Noblick","4525","1986","02","02","Brazil","Bahia","Cocos","Ca. de 8 km ao sul da cidade seguindo a estrada Cocos-Montalvania, MG e entrando a direita ca. de 1 km da cidade para o Rio Itaguarí","-44.53","-14.18",NA,"500","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568015","NY00568015_01 NY00568015_02 NY00568015_03 NY00568015_04 NY00568015_05 NY00568015_06 NY00568015_07 NY00568015_08",NA,"Magnoliophyta","Arecales",NA,NA,"South America","boxed",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00664240","PreservedSpecimen","Plantae","Arecaceae","Syagrus","oleracea","Syagrus oleracea","(Mart.) Becc.","L. R. Moreno",NA,NA,NA,"L. R. Moreno","138","1994","05","15","Bolivia","Santa Cruz","José Miguel de Velasco","Cantón: Florida, camp. Flor de Oro","-61.0069","-13.5517",NA,"21","21","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664240","NY00664240_01 NY00664240_02 NY00664240_03 NY00664240_04 NY00664240_05 NY00664240_06",NA,"Magnoliophyta","Arecales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
