"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1028404","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens","caerulescens","Manihot caerulescens caerulescens","Pohl","J. A. Ratter","R834","1968","04","06","South America","Brazil","Mato Grosso","Near the Base Camp of the Expedition. (close to the Xavantina - São Felix road).","-51.87","-12.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028404","NY01028404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1028392","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens",NA,"Manihot caerulescens","Pohl","G. T. Prance","19360","1973","10","24","South America","Brazil","Mato Grosso","5 km E of town of Chapada dos Guimarães on road to EMBRATAL. Disturbed forest on south facing slope of Chapada.","-55.7494","-15.4608","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1182258' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028392","NY01028392_01","W. Punt","Chapada dos Guimarães","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","263620","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens","pubescens","Manihot caerulescens pubescens","Müll.Arg.","G. Gardner","1837","1836",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00263620","NY00263620_01",NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1027169","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens",NA,"Manihot caerulescens","Pohl","M. dos R. Cordeiro","1089","1976","11","19","South America","Brazil","Mato Grosso","Fazenda Cachimbo, sub. Base Projeto RADAM.","-54.9328","-10.0575","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141653' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027169","NY01027169_01",NA,"Matupá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1027171","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens",NA,"Manihot caerulescens","Pohl","A. P. Duarte","7444","1962","11","19","South America","Brazil","Minas Gerais","Fazenda Mãe d'água.","-44.749531","-17.411382","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141660' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027171","NY01027171_01",NA,"Várzea da Palma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","640354","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens","caerulescens","Manihot caerulescens caerulescens","Pohl","R. M. Harley","16810","1974","03","05","South America","Brazil","Bahia","Serra do Curral Feio. 16km. N.W. of Lagoinha (5.5km. S.W. of Delfino) on side road to Minas do Mimoso","-41.33","-10.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640354","NY00640354_01","D. J. Rogers",NA,"950","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01451352","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens","paraensis","Manihot caerulescens paraensis","(Müll.Arg.) D.J.Rogers & Appan","J. M. Pires","51058","1961","09","19","South America","Brazil","Amapá","Rio Araguari, 2 km. from river, road to Macapá from Porto Platon.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1692190' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451352",NA,"D. J. Rogers; S. G. Appan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","640361","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens","caerulescens","Manihot caerulescens caerulescens","Pohl","P. von Luetzelburg","12614","1914",NA,NA,"South America","Brazil","Bahia","NO Bahia; Tamandua",NA,NA,"sheet","Communicavit herb. reg. monacense <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640361","NY00640361_01","D. J. Rogers; S. G. Appan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1028399","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens","caerulescens","Manihot caerulescens caerulescens","Pohl","H. S. Irwin","14450","1966","04","06","South America","Brazil","Goiás","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1182500' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028399","NY01028399_01","D. J. Rogers; S. G. Appan","Posse","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1065579","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","caerulescens",NA,"Manihot caerulescens","Pohl","L. M. M. Carreira","642","1983","03","22","South America","Brazil","Mato Grosso","Chapada dos Guimarães, São Vicente, Cachoeirinha.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065579","NY01065579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
