"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","typeStatus","class","previousCatalogNumber","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-04-05 14:25:02-03","UNESC","CRI","8677","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","J. C. Jaramilo","2017","04","12","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI001530","CRI001530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:02-03","UNESC","CRI","633","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI001586","CRI001586","983","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212200","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","L. B. Smith",NA,NA,NA,"G. Davidse","1980","04","09","Brazil","Pará","Capanema","Rio Quatipuru, in vicinity of Miraselvas, ca. 30 km by road west of Braganca","-46.98","-1.07",NA,NA,"NY01212200","NY01212200_01","18098","50","50","Magnoliophyta","Cucurbitales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460548' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","453969","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","L. B. Smith",NA,NA,NA,"S. A. Mori","1978","09","15","Brazil","Bahia","Mucuri","Próx. à ponte sobre o Rio Mucuri na Rod. BR 101","-39.8934603","-18.0984986",NA,NA,"NY00453969","NY00453969_01","10566",NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499157' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","453966","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","L. B. Smith",NA,NA,NA,"L. B. Smith","1952","04","10","Brazil","Rio de Janeiro","Petrópolis","Old road up th Serra to Petropolis","-43.1783","-22.505",NA,NA,"NY00453966","NY00453966_01","6491","500","700","Magnoliophyta","Cucurbitales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499158' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","453965","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","L. B. Smith",NA,NA,NA,"A. Lourteig","1967","12","17","Brazil","Santa Catarina","Rio do Sul",NA,"-49.6431007385254","-27.2141990661621",NA,NA,"NY00453965","NY00453965_01","2308","300","300","Magnoliophyta","Cucurbitales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499156' target='other'> <mi>dwc_moreinfo</mi></a>","15163","auto",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1183737","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","P. Moonlight",NA,NA,NA,"A. P. Fontana","2006","11","23","Brazil","Bahia","Itapebi","São José. FLoresta ombrófila densa, Cabruca.","-39.5339","-15.9508",NA,NA,"NY01183737","NY01183737_01","2543",NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452752' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","884994","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","S. F. Smith",NA,NA,NA,"G. Martinelli","1985","05","12","Brazil","Espírito Santo","Linhares","Reserva Biológica de Soortama, Floresta de Tavuleiro, Matas de Quirino","-40.0719","-19.3911",NA,NA,"NY00884994","NY00884994_01","10968","60","100","Magnoliophyta","Cucurbitales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970313' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","453968","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","L. B. Smith; B. G. Schubert",NA,NA,NA,"Martii Herbar. Florae Brasil.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00453968","NY00453968_01","927",NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499159' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","884995","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hirtella","Begonia hirtella","Link","S. F. Smith",NA,NA,NA,"Dr. Mertens",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"NY00884995","NY00884995_01","s.n.",NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970317' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
