"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","scientificNameAuthorship","year","month","day","coordinatePrecision","geoFlag","fieldNumber","class","individualCount"
"1","2016-09-29 11:53:00-03","NY","NYBG","477675","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana","J. F. A. Baumgratz","L. Riedel","s.n.","South America","Brazil","{From protologue: Ad Serra da Piedade]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477675","NY00477675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 11:53:00-03","NY","NYBG","477676","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana","J. F. A. Baumgratz","H. W. Schott","4149","South America","Brazil","Ad Serra de Tingua, Cap. Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477676","NY00477676_01","Rio de Janeiro","Nova Iguaçú","-43.4508","-22.7594",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:31:36-03","MN","R","9469","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Glaziou, A.F.M.","19344",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000009469","R000009469_001","Rio de Janeiro","Macaé","-41.7868995666504","-22.3708000183105","(Bonpl.) DC.","1886","02","28","47209","auto",NA,NA,NA
"4","2015-11-06 16:45:11-02","MNHN","RECOLNAT_MNHN_P","P01818688","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana","Baumgratz","Bonpland",NA,NA,"Brésil","Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818688' target='other'> <mi>dwc_moreinfo</mi></a>","P01818688","P01818688_01",NA,NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-03-17 12:22:31-03","MNHN","RECOLNAT_MNHN_P","P05283695","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana","Romero",NA,NA,NA,"[Bresil]",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283695' target='other'> <mi>dwc_moreinfo</mi></a>","P05283695","P05283695_01",NA,NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-05 07:33:22-03","MNHN","RECOLNAT_MNHN_P","P04888023","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Glaziou, A.",NA,NA,"Brasil","Floresta da Tijuca et Alto Macahé.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04888023' target='other'> <mi>dwc_moreinfo</mi></a>","P04888023","P04888023_01","Rio de Janeiro",NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,"344",NA,NA
"7","2015-09-04 21:04:37-03","MNHN","RECOLNAT_MNHN_P","P05283707","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Riedel",NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283707' target='other'> <mi>dwc_moreinfo</mi></a>","P05283707","P05283707_01",NA,NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2014-08-06 09:45:19-03","MNHN","RECOLNAT_MNHN_P","P01818687","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana","Baumgratz","Bonpland",NA,NA,"Brésil","Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818687' target='other'> <mi>dwc_moreinfo</mi></a>","P01818687","P01818687_01",NA,NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283696","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana","Romero","Saint-Hilaire, A.",NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283696' target='other'> <mi>dwc_moreinfo</mi></a>","P05283696","P05283696_01","Rio de Janeiro",NA,NA,NA,"(Bonpl.) DC.","1816","1","1",NA,NA,"A 130",NA,NA
"10","2016-03-17 12:22:31-03","MNHN","RECOLNAT_MNHN_P","P05283697","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Ule, E.",NA,NA,"Brasil","Brésil, [Garcia] perto de Blumenau, pr. St. Catharina.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283697' target='other'> <mi>dwc_moreinfo</mi></a>","P05283697","P05283697_01","Santa Catarina",NA,NA,NA,"(Bonpl.) DC.","1888","11","1",NA,NA,"1137",NA,NA
"11","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283698","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana","Romero","Saint-Hilaire, A.",NA,NA,"Brasil","Brésil: Province de Rio de Janeiro.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283698' target='other'> <mi>dwc_moreinfo</mi></a>","P05283698","P05283698_01","Rio de Janeiro",NA,NA,NA,"(Bonpl.) DC.","1816","1","1",NA,NA,"A2 130",NA,NA
"12","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283699","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Saint-Hilaire, A.",NA,NA,"Brasil","Brésil. Mandioca.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283699' target='other'> <mi>dwc_moreinfo</mi></a>","P05283699","P05283699_01","Rio de Janeiro",NA,NA,NA,"(Bonpl.) DC.","1816","1","1",NA,NA,NA,NA,NA
"13","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283701","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Burchell",NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283701' target='other'> <mi>dwc_moreinfo</mi></a>","P05283701","P05283701_01",NA,NA,NA,NA,"(Bonpl.) DC.","1826","12","1",NA,NA,"3500",NA,NA
"14","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283702","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Burchell",NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283702' target='other'> <mi>dwc_moreinfo</mi></a>","P05283702","P05283702_01",NA,NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,"3315",NA,NA
"15","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283704","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Cogniaux, A.",NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283704' target='other'> <mi>dwc_moreinfo</mi></a>","P05283704","P05283704_01",NA,NA,NA,NA,"(Bonpl.) DC.","1851","1","1",NA,NA,NA,NA,NA
"16","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283706","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Glaziou, A.",NA,NA,"Brasil","Brésil. Province de Rio de Janeiro, Floresta da Tijuca.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283706' target='other'> <mi>dwc_moreinfo</mi></a>","P05283706","P05283706_01","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","(Bonpl.) DC.","1869","12","10","57442","auto","2572",NA,NA
"17","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283705","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Glaziou, A.",NA,NA,"Brasil","Brésil, Rio Jan., Alto Macahé.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283705' target='other'> <mi>dwc_moreinfo</mi></a>","P05283705","P05283705_01","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","(Bonpl.) DC.","1891","11","30","33190","auto","19344",NA,NA
"18","2015-09-04 21:04:36-03","MNHN","RECOLNAT_MNHN_P","P05283703","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Glaziou, A.",NA,NA,"Brasil","Floresta da Tijuca, picada dos papagaios.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05283703' target='other'> <mi>dwc_moreinfo</mi></a>","P05283703","P05283703_01","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","(Bonpl.) DC.","1869","9","10","57442","auto","472",NA,NA
"19","2020-09-12 05:00:02-03","US","US","292625","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"L. Riedel",NA,"South America - Neotropics","Brazil",NA,NA,NA,"US01901297","US01901297_01 US01901297_02",NA,NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"20","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"L. Riedel",NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"21","2020-09-12 05:00:02-03","US","US","2497651","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Bertolonia","leuzeana","Bertolonia leuzeana",NA,"Riedel, --",NA,"South America - Neotropics","Brazil",NA,NA,NA,"US01901295","US01901295_01 US01901295_02",NA,NA,NA,NA,"(Bonpl.) DC.",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
