"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","6451","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","J. A. Jarenkow","J. A. Jarenkow","1997","12","14","Brasil","Rio Grande do Sul","Barão do Triunfo","5 Km da cidade.","-51.733889","-30.388889","51º44'2''W","30º23'20''S","258","258","Habito: arbórea","CRI006581","CRI006581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","9183","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","Zenaide Natalino","Zenaide Natalino","1999","04","15","Brasil","Santa Catarina","Florianópolis","Carlos Lopes I.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17",NA,"CRI006583","CRI006583","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:09-03","UNESC","CRI","14230","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","Sobral, M","Dreveck, S.; Carneiro, F.E.","2009","11","24","Brasil","Santa Catarina","Corupá","Sertãozinho. Sertãozinho.","-49.41","-26.369722","49º24'36''W","26º22'11''S","857","857","Florística IFFSC 991 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea; flor botão verde","CRI013323","CRI013323","2010","01","25","1369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:09-03","UNESC","CRI","10032","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","A. L. de Gasper","A.L. de Gasper; L.A. Funez","2013","05","04","Brasil","Rio Grande do Sul","Itati","APA da Aratinga.","-50.18","-29.365556","50º10'48''W","29º21'56''S","650","650",NA,"CRI006582","CRI006582","2013","05","09","3100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:25-03","UNESC","CRI","5331","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","J. A. Jarenkow","J. A. Jarenkow","1988","12","31","Brasil","Rio Grande do Sul","São Francisco de Paula","Lot. Alpes de São Francisco.","-50.583889","-29.448611","50º35'2''W","29º26'55''S","21","21","Habito: arbórea","CRI006580","CRI006580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:25-03","UNESC","CRI","11296","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","M. Verdi","M. Verdi; B. Grosch & G. Klemz","2008","12","15","Brasil","Santa Catarina","Campo Belo do Sul","Canoas/ Fazenda Gateados.","-50.849722","-28.035","50º50'59''W","28º2'6''S","845","845","Floresta Ombrófila Mista e Floresta Estacional Decidual Habitat: entorno do fragmento","CRI006585","CRI006585","2008","12","15","748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","4364","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","Vanilde Citadini- Zanette","V. P. Boff","1996","01","10","Brasil","Santa Catarina","Fraiburgo","taquarussu.","-50.921667","-27.026667","50º55'18''W","27º1'36''S","1021","1021","Habito: arbórea","CRI006590","CRI006590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:09-03","UNESC","CRI","12286","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","Guilherme Alves Elias, Peterson Teodoro Padilha & Altamir Antunes","Guilherme Alves Elias; Peterson Teodoro Padilha & Altamir Antunes","2017","03","23","Brasil","Santa Catarina","Timbé do Sul","Paredão da Serra da Rocinha antes da pavimentação.","-49.9275","-28.811667","49º55'39''W","28º48'42''S",NA,NA,NA,"CRI010468",NA,"2017","03","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:09-03","UNESC","CRI","10761","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.",NA,"Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","11","19","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI006584","CRI006584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","533075","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","denticulata","Lamanonia denticulata","Moric.","B. M. Torke","J. G. Jardim",NA,NA,NA,"Brazil","Bahia","Almadina","Rod. Almadina/Ibitupã, entrada ca. 5 km W da sede do município. Fazenda Cruzeiro do Sul. Serra do Sete-paus; ca. 8 km da entrada. Área do Inventário Florestal e Fitossociológico.","-39.6961","-14.735",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533075",NA,NA,NA,NA,"1222","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
