"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","occurrenceRemarks","barcode","imagecode","phylum","class","order"
"1","2021-03-31 13:35:35-03","MN","R","216467","PreservedSpecimen","Plantae","Apocynaceae","Petalostelma","calcaratum","Petalostelma calcaratum","(Decne.) Fontella","Rapini, A.","2010","Sucre Benjamin, D.; Braga, P.I.S. 1314","4437","1969","01","18","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-19 04:30:00-03","MO","MOBOT","2610373","PreservedSpecimen","Plantae","Apocynaceae","Petalostelma","calcaratum","Petalostelma calcaratum","(Decne.) Fontella","J. Fontella P.",NA,"C.F.P. Martius","Martius 1225","1817",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"Holotype","South America","Prope Sabará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-02 16:20:11-03","Cenargen","CEN","78604","PreservedSpecimen","Plantae","Apocynaceae","Petalostelma","calcaratum","Petalostelma calcaratum","(Decne.) Fontella","A. P. B. Santos","2017","Tânia Maria Moura - UEG","99","2008","05","01","Brasil","GO","MORRINHOS","-49.135","-17.728611",NA,NA,NA,NA,"Parque Ecológico Jatobá Centenário","-49.135","-17.728611","792","792","Exsicatas","1","Corola amarelada. Doação do Herbário UEG/MORRINHOS - GOIÁS.","CEN00078604","CEN00078604",NA,NA,NA
"4","2019-11-22 16:07:26-03","UEFS","HUEFS","253339","PreservedSpecimen","Plantae","Apocynaceae","Petalostelma","calcaratum","Petalostelma calcaratum","(Decne.) Fontella",NA,NA,"Santos, A.P.B.","148","2017","01","22","Brasil","Minas Gerais","Lagoa Santa","-43.951667","-19.515278",NA,NA,NA,NA,"Estrada Real do Sumidouro em direção à Lapinha.","43W57'6''","19S30'55''","776","776",NA,NA,"Cerrado","HUEFS0253339",NA,"Angiospermae","Asteranae","Gentianales"
"5","2017-09-11 16:26:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Apocynaceae","Zygostelma","calcaratum","Zygostelma calcaratum","(Decne.) E.Fourn.",NA,NA,"Martius, CFP","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Sabará ","-43.81","-19.89",NA,NA,NA,"Southern America",NA,"-43.81","-19.89",NA,NA,NA,NA,"In prov. Minarum uliginosis prope Sabara.",NA,"P06P4N0063",NA,NA,NA
"6","2017-09-11 16:26:25-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Apocynaceae","Zygostelma","calcaratum","Zygostelma calcaratum","(Decne.) E.Fourn.",NA,NA,"Iter Bras.","1225",NA,NA,NA,"Brazil","Minas Gerais","Sabará ","-43.81","-19.89",NA,NA,NA,"Southern America","In prov. Minarum uliginosis prope Sabara.","-43.81","-19.89",NA,NA,NA,NA,NA,NA,"P06P4N0063",NA,NA,NA
"7","2017-09-11 17:07:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Apocynaceae","Zygostelma","calcaratum","Zygostelma calcaratum","(Decne.) E.Fourn.",NA,NA,"Warming, JEB","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Lagoa Santa","-43.8897","-19.6272","12338","auto",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,"Febr. - Martio florens.; In silvis.; HABITAT: In silvis.",NA,"P06P4N0063",NA,NA,NA
