"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","414728","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","J. C. Lindeman","4430","1967","01","24","South America","Brazil","Paraná","Guairá","Guairá, 7 Quedas; last islet in the rapids","-54.2556","-24.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=377778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414728","NY00414728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414729","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","A. L. Woolston","631","1956","01","08","South America","Paraguay","San Pedro",NA,"Alto Paraguay, Primavera",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=377776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414729","NY00414729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414730","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","A. L. Woolston","1058","1959","01","17","South America","Paraguay","San Pedro",NA,"Alto Paraguay, Primavera",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=377777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414730","NY00414730_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:27-03","UFRJ","RFA","11489","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","G.G. Hatschbach; O. Guimarães","25550","1970","11","19",NA,"Brasil","Paraná","São José da Boa Vista","Terra Roxa","-49.6521987915039","-23.9158000946045",NA,"Terricola; Flor alvecente","RFA11139",NA,"M.O.O. Pellegrini","2010","09","22","21399","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:31-03","PUCPR","HUCP","24727","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Kersten, RA","1725","2017","11","10",NA,"Brasil","Paraná","Pontal do Paraná","Estrada do Rio Guaraguaçu","-48.511100769043","-25.6735992431641",NA,"FODTB. Restinga alterada. Terrícola, folhas variadas, verde e creme. Flores creme.","HUCP00024727","HUCP00024727","Kersten, RA","2017","11","10","19508","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.4175130","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Pedersen TM",NA,"1959","10","27","Southern America","Paraguay",NA,NA,"Plantae Paraguayenses. Ea. 'La Soledad'. Santiago. Dep. Misiones.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4175130 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4175130","NL-L4175130",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:19-03","NBC","NL-BOTANY","U.1466680","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Erythrodes","kuczynskii","Erythrodes kuczynskii","(Porsch) Garay","Lindeman JC; Haas JH de",NA,"1967","01","24","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Guaira, 7 Quedas; last islet in the rapids. Moist forest floor.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1466680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1466680","NL-U1466680",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0218186",NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:26:31-03","IAP","PACA-AGP","837","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","C. Orth SJ",NA,"1934","01","20",NA,"Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,"Habitat: In silva Fenofase: flor","PACA000837",NA,"F.B. Colla","2013","07","04","21601","auto","Liliatae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-14 10:03:57-03","FURB","FURB","62778","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Kassner-Filho, A.; Santos, D; Bollmann, G; Althoff, L.F.","4423","2018","11","01",NA,"Brasil","Santa Catarina","Guatambú","Linha Feliz.","-52.83","-27.09",NA,"Coletada 1/11/18 floração 23/12/18 - Flor branca com listras marrons Habitat: Interior de unidade amostral Habito: Epífita","FURB62778","FURB62778","Kassner-Filho, A.","2018","12","23",NA,NA,NA,NA,"-52.8300000","-27.0900000","480","480",NA,NA,NA
"10","2019-08-16 08:40:23-03","UTFPR","HCF","22241","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","M.G. Caxambu","7739","2017","01","11",NA,"Brasil","PR","Céu Azul","Parque Nacional do Iguaçu, Trilha do Rio","-53.823056","-25.130833",NA,"erva terrestre, ca. 0,22 m. Flores alvas com ápice das pétalas amarronzadas.",NA,NA,"G.A. Dettke","2017","12","06",NA,NA,NA,NA,"53°49'23 W","25°07'51 S","669","669",NA,NA,NA
