"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","sex"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1424","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Brasiliopuntia","brasiliensis","Brasiliopuntia brasiliensis","(Willd.) A.Berger.","Carlos A. Ferreira Jr.","2009","07","17","Juliana Ordones Rego; Miriam Pimentel Mendonça","2009","07","17","Brasil","Minas Gerais","Matozinhos","Fazenda Cauaia","-44.0814018249512","-19.5578002929688","UTM7849013","UTM 602173","20503","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","822620","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Brasiliopuntia","brasiliensis","Brasiliopuntia brasiliensis","(Willd.) A.Berger","P. Fiaschi",NA,NA,NA,"P. Fiaschi","2005","03","12","Brazil","Bahia","Almadina","Rodovia de Almadina para Ibitupã ca. 20 km. Fazenda São Roque, ca. 10 km da estrada do ramal.","-39.7131","-14.6408",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=914800' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2747","South America","sheet","NY00822620","NY00822620_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198614","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Brasiliopuntia","brasiliensis","Brasiliopuntia brasiliensis","(Willd.) A.Berger","P. A. Meyers",NA,NA,NA,"A. M. Amorim","1998","11","07","Brazil","Bahia","Jussari","Rod. Jussari-Palmira, entrada ca. 7.5 km de Jussari, Fazenda Teimoso, RPPN Serra do Teimoso","-39.5286","-15.1581",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267497' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2616","South America","sheet","NY01198614","NY01198614_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01112595","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Brasiliopuntia","brasiliensis","Brasiliopuntia brasiliensis","(Willd.) A.Berger","S. Lahmeyer",NA,NA,NA,"P. Fiaschi","2002","12","02","Brazil","Bahia","Jussari","Estrada de Jussari para Palmira, entrada à esquerada ca. 7.5 km. Fazenda Teimoso. RPPN Serra do Teimoso.","-39.5286","-15.1581",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214834' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1214","South America","sheet","NY01112595","NY01112595_01 NY01112595_02",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","386089","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","bahiensis","Opuntia bahiensis","Britton & Rose",NA,NA,NA,NA,"J. N. Rose","1915","06","27","Brazil","Bahia",NA,"Vicinity of Toca de Onca",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494691' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20068","South America","fluid-preserved","NY00386089",NA,"type",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","386069","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","bahiensis","Opuntia bahiensis","Britton & Rose",NA,NA,NA,NA,"J. N. Rose","1915","06","27","Brazil","Bahia",NA,"Vicinity of Toca de Onca",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494690' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20068","South America","sheet","NY00386069","NY00386069_01","isotype",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","386068","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","bahiensis","Opuntia bahiensis","Britton & Rose",NA,NA,NA,NA,"J. N. Rose","1915","06","27","Brazil","Bahia",NA,"Vicinity of Toca de Onca",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494689' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20068","South America","sheet","NY00386068","NY00386068_01","isotype",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","386067","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","bahiensis","Opuntia bahiensis","Britton & Rose",NA,NA,NA,NA,"J. N. Rose","1915","06","27","Brazil","Bahia",NA,"Vicinity of Toca de Onca",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494688' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20068","South America","sheet","NY00386067","NY00386067_01","isotype",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3889373","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","brasiliensis","Opuntia brasiliensis","(Willd.) Haw.",NA,NA,NA,NA,"M. H. Nee","1994","07","27","Bolivia","Santa Cruz","Andrés Ibáñez","10 km. E of Cotoca, along Quebrada Quitachiyú, 2 km. S of Cotoca-Pailas highway","-62.9","-17.7458",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4179230' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"45396","South America","sheet","NY03889373","NY03889373_01",NA,"350",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3889374","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","brasiliensis","Opuntia brasiliensis","(Willd.) Haw.",NA,NA,NA,NA,"M. H. Nee","1990","09","30","Bolivia","Santa Cruz","Andrés Ibáñez","7 km. SE of Naranjillos on road from Santa Cruz to Abapo, at junction with railroad","-63.2","-18.0417",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4179231' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"38961","South America","sheet","NY03889374","NY03889374_01",NA,"480",NA,NA,NA,NA,NA,NA
