"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","404914","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","eurysepala","Eugenia eurysepala","Kiaersk.","isotype","A. F. M. Glaziou","12001","South America","Brazil","Rio de Janeiro","sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404914","NY00404914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-01-12 11:05:00-02","NY","NYBG","885939","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","nutans","Eugenia nutans",NA,NA,"A. P. Duarte","6283","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885939","NY00885939_01","F. F. Mazine","1962","03","16","Guanabara, Torre da TV. Tupi, Sumaré.","-43.232881","-22.951176","680","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","404970","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","nutans","Eugenia nutans","O.Berg","type","Martii Herbar. Florae Brasil.","1228","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404970","NY00404970_01",NA,NA,NA,NA,"Rio Janeiro?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00907321","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","nutans","Eugenia nutans","O.Berg",NA,"H. S. Irwin","19864","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907321","NY00907321_01","C. M. D. E. Legrand","1968","02","11","Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.8","-20.23","1750","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:23-03","UFRJ","RFA","100806","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","eurysepala","Eugenia eurysepala","Kiaersk.",NA,"Flavio Britto Pereira","dez-22",NA,"Brasil","Rio de Janeiro",NA,"Arvore, 6m de altura, 10cm de DAP, folha verde e comum no local.","RFA42038",NA,NA,"2000","07","17","Fazenda são Francisco de Paula","-42.9818992614746","-22.5372009277344",NA,NA,"Guapimirim","21463","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:45:50-03","EAO","IAN","94407","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","eurysepala","Eugenia eurysepala","Kiaersk.","isotipo","Glaziou, AFM","12001","Southern America","Brasil","Rio de Janeiro",NA,NA,"IAN094407",NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:33-03","ESALQ","ESA","49674","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","eurysepala","Eugenia eurysepala","Kiaersk.",NA,"Leoni, L.S.","3836.0",NA,"Brasil","Minas Gerais",NA,NA,"ESA049674","ESA049674","Sobral, M.","1998","01","01",NA,"-41.8683013916016","-20.4333000183105",NA,NA,"Alto Caparaó","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:34-03","ESALQ","ESA","68729","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","nutans","Eugenia nutans","O. Berg.",NA,"Krieger, L.","9745.0",NA,"Brasil","Minas Gerais",NA,NA,"ESA068729","ESA068729","Kuntz, J.","1970","12","19",NA,"-43.801399230957","-20.2532997131348",NA,NA,"Itabirito","20553","auto","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:31:21-03","IAP","PACA-AGP","109960","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","nutans","Eugenia nutans","O. Berg",NA,"S. Dreveck & F.E. Carneiro","1087",NA,"Brasil","SC",NA,"FURB 19044 Habitat: interior do fragmento Fenofase: flor branca Hábito: arbórea Ecossistema: floresta ombrófila densa","PACA109960",NA,"M. Sobral","2009","09","23",NA,"-48.780278","-26.100278","112","112","Garuva",NA,NA,"2010","Magnoliatae","01","25","48°46'49W","26°06'01S",NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0057359","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","eurysepala","Eugenia eurysepala",NA,NA,"G. Hatschbach; M. Hatschbach, V. Nicolack","52888",NA,"Brazil","Minas Gerais",NA,"Árvore, 4-5 m, frutos imaturos pretos.",NA,NA,"M. Sobral","1989","5","18","Conceição do Mato Dentro, 3-5 km S.","-43.417678","-19.042033","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:40:03-03","UFJF","CESJ","45580","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eugenia","eurysepala","Eugenia eurysepala","Kiaersk.",NA,"A.M. Oliveira; J.R. Stehmann; R.C. Mota","190","América do Sul","Brasil","Minas Gerais",NA,"Arbusto em canga couraçada, sépalas verdes, estames brancos","CESJ045580",NA,"M. Sobral","2002","12","16","Mirante, Mina do Brucutu / CVRD",NA,NA,NA,NA,"Barão dos Cocais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:40:03-03","UFJF","CESJ","9745 A","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eugenia","eurysepala","Eugenia eurysepala","Kiaersk.",NA,"L. Krieger","CESJ9745","América do Sul","Brasil","Minas Gerais",NA,"arbusto com flores passadas, frutos amarelos comestíveis","CESJ09745A",NA,"M. Sobral","1970","12","19",NA,"-43.801399230957","-20.2532997131348",NA,NA,"Itabirito","20553","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:40:08-03","UFJF","CESJ","68635","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eugenia","nutans","Eugenia nutans","O.Berg",NA,"B. Moreira; L.C.D. Dias","301","América do Sul","Brasil","Minas Gerais",NA,"Árvore, frutos imaturos verdes, 10m. Interior de mata","CESJ068635",NA,"M. Sobral","2015","06","20","Parque Estadual do Ibitipoca, Nanofloresta nebular, atrás do camping","-43.898333","-21.716111","1380","1380","Lima Duarte",NA,NA,"2019",NA,NA,NA,"-43.898333","-21.716111",NA,NA,NA,NA,NA
"14","2019-11-21 14:40:08-03","UFJF","CESJ","51874","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eugenia","nutans","Eugenia nutans","O.Berg",NA,"C.N. Matozinhos; J. Miloski; J.H.C. Ribeiro; S.M. Dutra; N.L. Abreu","409","América do Sul","Brasil","Minas Gerais",NA,"Arbusto em campo rupestre. Frutos de verdes a negros.","CESJ051874",NA,"M. Sobral","2008","08","30","Serra Negra, Trilha para cachoeira do Marciano.","-43.8278007507324","-22.0891990661621",NA,NA,"Rio Preto","20815","auto","2010",NA,"07",NA,NA,NA,NA,NA,NA,NA,NA
