"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","locality","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem"
"1","2020-09-23 10:41:18-03","E","E","283797","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G. & Silva, J.M.","65269","1996","07","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:295341","<a href=http://data.rbge.org.uk/herb/E00283797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","22833","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","G. G. Hatschbach","51343","1987","08","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=427020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022833","Magnoliophyta","Malpighiales","C.E.Anderson","isotype","Espírito Santo","Estrada do Boco (mun. Castelo)","NY00022833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476367","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","G. G. Hatschbach","65269","1996","07","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=427019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476367","Magnoliophyta","Malpighiales","C.E.Anderson",NA,"Espírito Santo","Limoeiro","NY00476367_01","C. E. Anderson","Castelo","-41.1844","-20.6036","600","700",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:43-03","ESALQ","ESA","40790","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G. et al.","65269.0","1996","07","07",NA,"Brasil",NA,NA,NA,"ESA040790","Magnoliophyta",NA,"C. Anders.",NA,"Espírito Santo",NA,"ESA040790","Anderson, C.","Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0026235","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","G. Hatschbach; M. Hatschbach, J. M. Silva","65269","1996","7","7",NA,"Brazil",NA,NA,"PMC-DPP 004; Trepadeira, flor amarela com a petala no lado inferior com macula vermelha.",NA,"Magnoliophyta","Malpighiales","C.E.Anderson",NA,"Espirito Santo","Limoeiro (Mun. Castelo)",NA,"C. Anderson",NA,"-41.194975","-20.606167","600","700",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-27 13:50:06-03","UFS","ASE","15410","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G; Hatschbach, M; Silva, JM","65269","1996","07","07","Southern America","Brasil",NA,NA,"Trepadeira. Flor amarela com a pétala no lado inferior com mácula vermelha. Barrancos à beira de estrada e orla da floresta atlântica.; Trepadeira. Flor amarela com a pétala no lado inferior com mácula vermelha. Barrancos à beira de e","ASE0022186","Magnoliophyta",NA,"C. Anderson",NA,"Espírito Santo","Limoeiro","ASE0022186","Anderson, C","Castelo","-41.184722","-20.603611","600","700",NA,NA,"1997","-41.184722","-20.603611",NA,NA
"7","2019-06-27 10:25:30-03","UFES","VIES","24782","S","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G.; Hatschbach, M.; Cervi, A.C.","51343","1987","08","20",NA,"Brasil",NA,NA,NA,"VIES024782",NA,NA,"C.E.Anderson","Isotipo","Espírito Santo","Estrada do Bocó.","VIES024782","Anderson, C.","Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,NA,NA
"8","2020-12-21 16:32:55-03","MBM","MBM","115875","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G.; Hatschbach, M.; Cervi, A.C.; Hatschbach, M.; Cervi, A.C.","51343","1987","08","20","Southern America","Brazil",NA,NA,"Trepadeira em barrancos às margens de estrada. Flores amarelas.; Trepadeira, flores amarelas.; Em barrancos às margens de estrada.","MBM115875",NA,NA,"C.E. Anderson","HOLOTYPE","Espírito Santo","Estrada do Bocó","MBM115875","Anderson, C.","Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto","1993",NA,NA,NA,NA
"9","2020-12-21 16:32:55-03","MBM","MBM","201083","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","65269",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM201083",NA,NA,"C.E. Anderson",NA,"Espírito Santo","Limoeiro","MBM201083","Anderson, C.","Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,NA,NA
"10","2020-12-11 11:37:42-03","UFMG","BHCB","43841","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"C.E.Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2009-12-05 05:17:00-02","MO","MOBOT","3156028","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 65269","1996",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"C.E. Anderson",NA,"Espírito Santo",NA,NA,"C. Anderson",NA,NA,NA,"600.00000000","700.00000000",NA,NA,NA,NA,NA,NA,NA
"12","2020-08-31 09:03:58-03","INPA","INPA","201052","S","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, GG","65269","1996","07","07","Southern America","Brasil",NA,NA,NA,"INPA0201052","Dicotyledon Com-Clade","Malpighiales","C.E.Anderson",NA,"Espírito Santo","Limoeiro","INPA0201052 INPA0201052_e","Anderson, CE","Castelo","-41.184700012207","-20.6035995483398","600","600","23588","auto","1997",NA,NA,NA,NA
"13","2020-07-10 09:47:10-03","MBML","MBML-HERBARIO","10224",NA,"Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","G. Hatschbach; et al","65269","1996","07","07",NA,"Brasil",NA,NA,"Trepadeira, flor amarela com pétala lado inferior com mácula vermelha. Barranco à beira da estrada o orla da floresta atlântica. Alt.: 600-700m.","MBML010224",NA,NA,"C.Anderson",NA,"Espírito Santo","Limoeiro","MBML010224","C. Anderson/1997","Castelo","-41.169444","-20.485",NA,NA,NA,NA,NA,"41W10'10","20S29'6",NA,NA
"14","2020-07-10 09:47:10-03","MBML","MBML-HERBARIO","50017",NA,"Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","G. Hatschbach; A.C. Cervi","51343","1987","08","20",NA,"Brasil",NA,NA,"Trepadeira em barrancos as margens de estrada. Flores amarelas","MBML050017",NA,NA,"C. Anderson","ISOTIPO","Espírito Santo","Estrada do Bocó","MBML050017","C. Anderson","Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,NA,NA
"15","2021-03-15 18:28:34-03","USP","SPF","126121","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G","65269","1996","07","07",NA,"Brasil",NA,NA,"Orla da floresta atlântica.","SPF00126121",NA,NA,"C.E.Anderson",NA,"Espírito Santo","Barrancos à beira da estrada.","SPF00126121","Anderson, CE","Castelo","-41.184700012207","-20.6035995483398","600","700","23588","auto","1997",NA,NA,NA,NA
"16","2021-03-15 18:28:34-03","USP","SPF","132494","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G; Hatschbach, M; Cervi, AC","51343","1987","08","20",NA,"Brasil",NA,NA,"Trepadeira em barrancos às margens de estrada. Flores amarelas.","SPF00132494",NA,NA,"C.E.Anderson","isotype","Espírito Santo","Estrada do Bocó.",NA,"Anderson, CE","Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,NA,NA
"17","2019-10-07 09:32:11-03","UEFS","HUEFS","18431","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G.","51343","1987","08","20",NA,"Brasil",NA,NA,NA,"HUEFS0018431","Angiospermae","Malpighiales","C.E.Anderson","Isótipo","Espírito Santo",NA,"HUEFS0018431",NA,"Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,"Rosanae",NA
"18","2020-07-23 12:11:52-03","CEPLAC","CEPEC","62975","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","G. Hatschbach","51343","1987","08","20",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"Isótipo","Espírito Santo","Estrada do Bocó.",NA,"C. Anderson","castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,NA,NA
"19","2020-07-23 12:11:52-03","CEPLAC","CEPEC","80344","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","G. Hatschbach","65269","1965","08","09",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Espírito Santo","Limoeiro.",NA,"C. Anderson","castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,NA,"30/12/1997"
"20","2020-08-20 20:39:44-03","UFSC","FLOR","28900","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","Hatschbach, G.; Hatschbach, M. & Silva, J.M.","65269","1996","07","07",NA,"Brasil",NA,NA,"trepadeira, flor amarela com a pétala no lado inferior com mácula vermelha","FLOR0028900",NA,"Malpighiales","C.E.Anderson",NA,"Espírito Santo","Limoeiro.",NA,"Anderson, C.","Castelo","-41.184700012207","-20.6035995483398","600","600","23588","auto","1997",NA,NA,NA,NA
"21","2021-03-04 15:44:46-03","IF","SPSF","10327","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","glabrum","Stigmaphyllon glabrum","G. Hatschbach","65269","1996","08","07","América do Sul","Brasil",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"Magnoliophyta","Malpighiales",NA,NA,"ES","floresta atlantica",NA,NA,"Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA,"Magnoliopsida",NA
