"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","locality","barcode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","recordNumber","coordinatePrecision","geoFlag","imagecode","continentOcean","phylum","class","order","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","individualCount","relatedCatalogItem","typeStatus","fieldNumber","sex","preparationType"
"1","2021-02-07 08:35:27-03","MN","R","225012","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B. Sm.","Neves, B.F.S.","2015","04","24","Neves, B.F.S. 299; Jacques, S.S.A.","2015","04","11","Brasil","Espírito Santo","Reserva Biológica Augusto Ruschi","R010016847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:27-03","MN","R","239898","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B. Sm.","Kessous, I.M.","2014","08","22","Kessous, I.M. 145; Couto, D.R., Paixão-Souza, B. & Machado, T.M","2014","07","22","Brasil","Espírito Santo","Rebio Augusto Ruschii, Trilha para as cachoeiras ao sul do parque.","R010071868","Santa Teresa","-40.555556","-19.925","40°33'20W","19°55'30S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:27-03","MN","R","214714","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B. Sm.",NA,NA,NA,NA,"Fontoura, T.","2009","07",NA,"Brasil","Bahia",NA,"R010018830","Ibicaraí","-39.5875015258789","-14.8649997711182",NA,NA,"562","12897","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:27-03","MN","R","233015","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B. Sm.",NA,NA,NA,NA,"Kessous, I.M.","2014","08","22","Brasil","Espírito Santo",NA,"R010045363","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"144","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:09:08-03","UFES","VIES","14420","S","Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B.Sm.","Gomes, J.M.L.","1995","03","20","Gomes, J.M.L.","1995","03","20","Brasil","Espírito Santo","Reserva Biológica de Santa Lúcia.","VIES014420","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"2048","23813","auto","VIES014420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:19:35-03","MBM","MBM","153133","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B.Sm.","Costa, A.",NA,NA,NA,"Brito, T.H.; et al.; et al.","1986","03","10","Brazil","Bahia","Rod. BR-101","MBM153133","Una","-39.0752983093262","-15.2932996749878",NA,NA,"4216","36070","auto","MBM153133","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-15 09:04:27-03","UESC","UESC","21468","S","Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B. Smith","T. Fontoura","2010","05",NA,"Fontoura, T.","2008","07","31","Brasil","Bahia",NA,"UESC0021468","Ibicaraí","-39.5875015258789","-14.8649997711182",NA,NA,"543","12897","auto",NA,NA,"Angiospermae","Monocotyledoneae","Florideophycidae","800","800","Mata degradada.; Erva epífita.",NA,NA,NA,NA,NA,NA
"8","2019-08-15 09:04:27-03","UESC","UESC","10972","S","Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B. Smith",NA,NA,NA,NA,"Fontoura, T.","2005","10","16","Brasil","Bahia",NA,"UESC0010972","Ibicaraí","-39.5875015258789","-14.8649997711182",NA,NA,"469","12897","auto",NA,NA,"Angiospermae","Monocotyledoneae","Florideophycidae","800","800","Semicaducifolia; Erva epífita, ca de 2 m de altura;",NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","22780",NA,"Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B.Smith","L. Kollmann/21-06-2006",NA,NA,NA,"L. Kollmann; et al","2001","09","26","Brasil","Espírito Santo","Reserva Biológica Augusto Ruschi - Nova Lombardia","MBML022780","Santa Teresa","-40.553056","-19.9075","40W33'11","19S54'27","4747",NA,NA,"MBML022780",NA,NA,NA,NA,NA,NA,"Epífita na meia sombra.",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","912",NA,"Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B.Smith","L. Kollmann/02-04-2002",NA,NA,NA,"J. A. R. Bittencourt","1976","07","14","Brasil","Espírito Santo","Nova Lombardia","MBML000912","Santa Teresa","-40.510556","-19.823611","40W30'38","19S49'25","110",NA,NA,"MBML000912",NA,NA,NA,NA,NA,NA,"Epífita.",NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","10594",NA,"Plantae","Bromeliaceae","Vriesea","rhodostachys","Vriesea rhodostachys","L.B.Smith","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"Cintia C. Chamas; et al","1995","07","06","Brasil","Espírito Santo","Estação Biológica de Santa Lúcia","MBML010594","Santa Teresa","-40.530278","-19.971389","40W31'49","19S58'17","425",NA,NA,"MBML010594",NA,NA,NA,NA,NA,NA,"epífita, folha verde, inflorescência ereta, bráctyea vermelha alaranjada, flor amarela. Próximo a trilha Timbuí, meia sombra.",NA,NA,NA,NA,NA,NA
