"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","626583","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.","V. L. Gomes-Klein","G. G. Hatschbach","42594","1979","11","23","South America","Brazil","Paraná","Cerro Azul","Cabeçeiras Rib. do Tigre.","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=87981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626583","NY00626583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626585","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.","V. L. Gomes-Klein","P. von Luetzelburg","242","1913",NA,NA,"South America","Brazil","Bahia",NA,"Sao Bento.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=87983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626585","NY00626585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626586","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.","D. C. Zappi","G. G. Hatschbach","58454","1992","12","16","South America","Brazil","Paraná","Cerro Azul","Cabeçeiras do Rio do Tigre.","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=87980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626586","NY00626586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","684572","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.","M. H. Nee","S. C. de Sant'Ana","1086","2003","03","07","South America","Brazil","Bahia","Boa Nova","Fazneda São José, a 8.8 km de boa Nova, na estrada para Dario Meira, a 1.4 km do ramal a esq.","-40.1544444","-14.4038889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684572","NY00684572_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626584","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.","V. L. Gomes-Klein","P. von Luetzelburg","242","1913",NA,NA,"South America","Brazil","Bahia",NA,"Sao Bento.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=87982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626584","NY00626584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:27:32-03","MN","R","10322","PreservedSpecimen","Plantae",NA,NA,"Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata",NA,"Klein, V.L.G.","Glaziou, A.F.M.","10860","1879","02","04",NA,"Brasil","Rio de Janeiro","Caminho do Macaco",NA,NA,NA,NA,"Plantas do Brasil Central","R010055445","R010055445_001",NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-04-22 16:18:53-03","UFPB","JPB","55816","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.","Brandão G.S.","Silva, GS","181","2013","03","15","Southern America","Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova.","-40.134917","-14.413333",NA,"Trepadeira. Folhas simples, lobadas, crassas. Frutos do tipo baga, coriácea. 3 sementes.; HABITAT: Mata Atlântica.","JPB0055816",NA,"761","761","2013","11","20","-40.134917","-14.413333",NA,NA,NA,NA,NA,NA,NA
"8","2020-10-14 10:00:43-03","FURB","FURB","27093","PreservedSpecimen","Plantae",NA,NA,"Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.","Gomes-Klein, VL","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2408","2010","05","17",NA,"Brasil","Santa Catarina","Siderópolis","Serrinha.","-49.59","-28.62",NA,"Florística IFFSC e47b (Liana) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; entorno do fragmento Habito: liana; Fruto alaranjado;","FURB01353","FURB01353","479","479","2012","07","10","-49.5900000","-28.6200000",NA,NA,NA,NA,NA,NA,NA
"9","2014-10-14 15:56:29-03","BS","M","M-0002426","S","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.",NA,"Riedel, L.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia",NA,NA,NA,NA,"M0002426",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE",NA,NA,NA,NA,NA
"10","2014-10-14 15:56:29-03","BS","M","M-0189838","S","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cayaponia","trilobata","Cayaponia trilobata","(Cogn.) Cogn.",NA,"Riedel, L.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia",NA,NA,NA,NA,"M0189838",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE",NA,NA,NA,NA,NA
