"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","continentOcean","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","order","fieldNumber","preparationType","individualCount","typeStatus"
"1","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","8999","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Pabst, G.F.","1973","04","05","Amaral Jr., A.","1457","1973","03","06","Brasil","São Paulo","Conchas","Bairro rural de Baguari, a mais ou menos 15km de Conchas","9999","9999","BOTU008999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:26:39-03","PUCPR","HUCP","21125","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb. f.","Lemos, JV",NA,NA,NA,"Lemos, JV","073","2008","03","29","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu",NA,NA,"HUCP00006190","Monocotiledonea","-48.511100769043","-25.6735992431641","19508","HUCP00006190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:46:59-02","IPA","IPA","6575","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb. f.","Pabst, G.","1961","05","20","Pickel, B.","1895","1929","01","21","Brasil","Pernambuco","São Lourenço da Mata","Tapera",NA,NA,"IPA0006575","Plantae","-35.0182991027832","-8.00222015380859","21764",NA,"auto","Southern America","Epífita.",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-08 08:54:35-03","FURB","FURB","17429","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Cadorin, TJ","2012","07","10","Cadorin, T.J.; Uller, H.F. & Oliveira, C.P.L.","922","2009","12","10","Brasil","Santa Catarina","Joinville",NA,"-49.0477777","-26.1925000","FURB02886",NA,"-49.0477777","-26.1925",NA,"FURB02886",NA,NA,NA,"576","576",NA,NA,NA,NA,NA
"5","2020-10-14 10:04:26-03","FURB","FURB","41948","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Caetano, JO","2013","05","28","Caetano, J.O.","14","2013","05","28","Brasil","Santa Catarina","Benedito Novo","Próximo a PCH, Ceesan Alto Benedito.","-49.3988889","-26.7836111","FURB36555",NA,"-49.3988889","-26.7836111",NA,"FURB36555",NA,NA,NA,"280","280",NA,NA,NA,NA,NA
"6","2020-12-21 16:38:53-03","MBM","MBM","12724","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","20922","1969","01","26","Brazil","Paraná","Laranjeiras do Sul","Rio Iguaçu, Salto Osório",NA,NA,"MBM012724",NA,"-52.4160995483398","-25.4078006744385","28404","MBM012724","auto","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:38:53-03","MBM","MBM","50171","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","2968","1953","06","10","Brazil","Santa Catarina","Joinville","Joinville",NA,NA,"MBM050171",NA,"-48.8456001281738","-26.3043994903564","37150","MBM050171","auto","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:53-03","MBM","MBM","385471","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.","Ariati, V.","2011","12",NA,"Ariati, V.; Michelon, C.; Michelon, C.","558","2011","12",NA,"Brasil","Paraná","Telêmaco Borba","UHE Mauá, beira do Rio Tibagi","-50.706944","-24.100556","MBM385471",NA,"-50.706944","-24.100556",NA,"MBM385471",NA,NA,"Resgate de flora da UHE Mauá; Epífita, peças florais alvas.","520","750",NA,NA,NA,NA,NA
"9","2020-12-21 16:38:53-03","MBM","MBM","301420","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.","Engels, M.E.","2014","04","07","Ziller, S.R.; Labiak, P.; Labiak, P.","1435","1996","03","08","Brazil","Paraná","Pinhão","Rio Jordão, Depois do tunel",NA,NA,"MBM301420",NA,"-51.6596984863281","-25.6956005096436","37408","MBM301420","auto","Southern America","Floresta Estacional Semidecidual Montana. Encosta, no vale no rio.",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-01 15:28:32-03","PUC-RIO","FCAB","3685","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Dr. Pedro Ivo","1986","04",NA,"J.C. Siqueira","2099","1985","12","07","Brasil","Rio de Janeiro","Nova Friburgo","Furnas do Catete - Parque",NA,NA,"003685",NA,"-42.5311012268066","-22.2819004058838","33190",NA,"auto",NA,"Espécie não encontrada no site Flora do Brasil.&nf;&nf;Epífita de flores amarelas.",NA,NA,"Angiospermae",NA,NA,NA,NA
"11","2015-09-04 14:47:11-03","MNHN","RECOLNAT_MNHN_P","P00455990","PreservedSpecimen",NA,"Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Koch",NA,NA,NA,"Regnell, A.H.",NA,"1875","8","17","Brésil",NA,NA,"Brésil",NA,NA,"P00455990",NA,NA,NA,NA,"P00455990_01 P00455990_02",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455990' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"III 1167 A","hb",NA,NA
