"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","geoFlag"
"1","2021-03-02 16:28:49-03","CPAN-UFMS","COR","8825","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","Mizue Kirizawa","2003","10","07","Damasceno Junior, G. A.; Nakajima, J. N.; Romero, R. Pott, V. J.","3118","2001","11","25","Brasil","Mato Grosso do Sul","Corumbá","Tilha de acesso ao córrego retiro.","-57.559167","-17.841667","57º33'33''W","17º50'30''S","90","90","Trepadeira volúvel Com Flor: vinácea com estigmas esverdeados Habitat: Mata secundária Habito: trepadeira volúvel",NA,NA,NA
"2","2021-04-07 11:42:59-03","UFMS","CGMS","41379","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","D. Araújo",NA,NA,NA,"V.A. Assunção","774","2011","07",NA,"Brasil","Mato Grosso do Sul","Jaraguari","Furnas do Dionísio; Parcela 2.","-54.5711111","-20.1469444","-54,5711111","-20,1469444",NA,NA,"Flor. Fruto. Habitat: Floresta estacional decidual. Encosta de escarpa. Habito: Trepadeira.","CGMS1071360",NA,NA
"3","2021-04-07 11:42:59-03","UFMS","CGMS","55324","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","P.I.Martins","2016","01","11","A.L.S.Fachardo; P.I.Martins; G.M.Shiroma; G.A. Damasceno","80","2015","11","19","Brasil","Mato Grosso do Sul","Alcinópolis","Parque Estadual das Nascentes do Rio Taquari.","-53.3052778","-18.2380555","-53,3052778","-18,2380555","763","763","Fruto tipo espiga Habitat: Floresta Estacional Semidecidual, solo areno Habito: Erva","CGMS1085290",NA,NA
"4","2021-04-07 11:42:59-03","UFMS","CGMS","53268","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","D. Araújo",NA,NA,NA,"V.A. Assunção","310","2009","12",NA,"Brasil","Mato Grosso do Sul","Jaraguari","Furnas do Dionísio, parcela 1.","-54.5719445","-20.1461111","-54,5719445","-20,1461111",NA,NA,"Flor amarela. Habitat: Floresta Estacional Decidual. Habito: Trepadeira.","CGMS1083237",NA,NA
"5","2021-04-07 11:42:59-03","UFMS","CGMS","35997","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","D. Araújo","2012","09","17","V.J. Pott; G.A. Damasceno Junior; J.N. Nakajima; R. Romero","5034","2001","11","25","Brasil","Mato Grosso do Sul","Corumbá","Reserva Acurizal, atrás da pista de pouso, indo para o Córrego Retiro.","-57.55","-17.8402777","-57,55","-17,8402777",NA,NA,"Flor púrpura. Planta masculina. Habitat: Área de regeneração. Solo argiloso-arenoso. Relevo plano. Habito: Trepadeira. Ocasional. 2,00-3,00m de comprimento.","CGMS1065401",NA,NA
"6","2021-04-07 11:42:59-03","UFMS","CGMS","13131","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","A.C.M. Cristaldo; V.J. Pott",NA,NA,NA,"G.A. Damasceno-Junior; J.N. Nakajima; R. Romero; V.J. Pott","3118","2001","11","25","Brasil","Mato Grosso do Sul","Corumbá","Trilha de acesso ao córrego Retiro.","-57.5594444","-17.8419444","-57,5594444","-17,8419444","90","90","Flor vinácea com estigmas esverdeados. Habitat: Mata secundária. Solo arenoso. Relevo plano. Habito: Trepadeira volúvel.","CGMS1042525",NA,NA
"7","2021-04-07 11:42:59-03","UFMS","CGMS","17964","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","Mizue Kirizawa",NA,NA,NA,"G.A. Damasceno-Junior; J.N. Nakajima; R. Romero; V.J. Pott","3118","2001","11","25","Brasil","Mato Grosso do Sul","Corumbá","Trilha de acesso ao córrego Retiro.","-57.5594444","-17.8419444","-57,5594444","-17,8419444","90","90","Flor vinácea com estigmas esverdeados. Duplicata do COR Habitat: Mata secundária. Solo arenoso. plano. Habito: trepadeira volúvel.","CGMS1047258",NA,NA
"8","2021-04-07 11:42:59-03","UFMS","CGMS","35996","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","D. Araújo","2012","09","17","V.J. Pott; S.M. Salis; M. Rodrigues; O. Branco","2555","1995","03","15","Brasil","Mato Grosso do Sul","Corumbá","Morro do Zanetti, BR-262, próximo à Lagoa do Jacadigo.","-57.5666667","-19.345","-57,5666667","-19,345","300","300","Flor vinho. Fruto não visto. Ovário ínfero, acinzentado. Tépalas vinho com estrias claras (2 em cada tépala). Habitat: Mata semidecídua. Solo brunizen avermelhado. Relevo base de morro, levemente inclinado. Habito: Trepadeira. Rara.","CGMS1065400",NA,NA
"9","2019-01-25 15:39:39-02","IAC","IAC","29567","S","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth","D.A. Araújo","2015","11","30","L.C. Bernacci; R. Belinelo; P.R.P. Andrade & O. Camargo","832","1994","11","29","Brasil","São Paulo","Votuporanga","IAC, Estação Experimental","-50.06888","-20.45933","-50.06888","-20.45933",NA,NA,NA,NA,NA,NA
"10","2021-01-21 15:29:17-03","IBt","SP","488606","S","Plantae","Dioscoreaceae","Dioscorea","aesculifolia","Dioscorea aesculifolia","R.Knuth",NA,NA,NA,NA,"Damasceno Jr, GA","3118","2001","11","25","Brasil","Mato Grosso do Sul","Corumbá",NA,"-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,"295160","auto"
