"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","dayIdentified","fieldNumber","infraspecificEpithet","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","929673","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","B. Maguire","49085","1960","08","07","South America","Brazil","Minas Gerais","Serra Sipó, Km 112-128","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929673","NY00929673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","929707","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","L. B. Smith","6861","1952","04","29","South America","Brazil","Minas Gerais","Serra do Cipó, 6 km. north of Palacio","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929707","NY00929707_01","Jaboticatubas","-43.58","-19.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929674","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","A. P. Duarte","2577","1950","04","21","South America","Brazil","Minas Gerais","Serra do Cipó, k. 135","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929674","NY00929674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","911647","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Esterhazya","montana","Esterhazya montana","Mart.","M. A. V. da Cruz-Barros","68","1985","06","04","South America","Brazil","Minas Gerais","Conselheiro Mata.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911647","NY00911647_01","Diamantina","-43.6003","-18.2494","V. C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:50-03","UFRJ","RFA","12693","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","P. Occhioni","4979","1972","06","26",NA,"Brasil","Minas Gerais","Estrada da Conceição do Cerro, km 110 - 130, Serra do Cipó","1100","1100",NA,"Arbusto (1m), flor encarnada","RFA48734",NA,"Minas Gerais",NA,NA,"V. C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:47-03","ESALQ","ESA","73445","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V. C. Souza","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25194.0","2001","07","05",NA,"Brasil","Minas Gerais","Serra do Cipó. Próximo à estátua do Juquinha. Campo rupestre.","1500","1500",NA,"Arbusto, ca. 1,5 m alt.; frutos imaturos verdes. Voucher para estudo sobre filogenia.","ESA073445",NA,"Santana do Riacho","-435.511","-192.583","Souza, V.C.","-435,511","-192,583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:47-03","ESALQ","ESA","9969","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea",NA,"Souza, V.C. et al.","3394.0","1993","05","01",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA009969",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:47-03","ESALQ","ESA","23364","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V. C. Souza","Lucca, M.","68.0","1993","06","20",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA023364",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","Souza, V.C.",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:47-03","ESALQ","ESA","35369","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V. C. Souza","Souza, V.C.; Souza, J.P.; Capellari Jr., L.; Scalon, V.R.","12012.0","1996","07","06",NA,"Brasil","Minas Gerais","9 Km de Diamantina em direção a Curvelo. Campo rupestre.",NA,NA,NA,"Arbusto, ca. 1,7 m alt.; frutos vináceos.","ESA035369",NA,"Diamantina","-43.6002998352051","-18.2493991851807","Souza, V.C.",NA,NA,"101169","auto","2016",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:47-03","ESALQ","ESA","117232","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea",NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2530.0","2010","04","01",NA,"Brasil","Minas Gerais","Serra do Cipó, Rodovia MG-10, Cardeal Mota-Conceição do Mato Dentro, ca. 500m antes da Estátua do Juquinha. Campo rupestre","1285","1285",NA,"Arbusto, 0,5-1,3m alt.; corola vinácea, cálice verde; frutos castanho-escuros a negros. Próximo a blocos de rocha.","ESA117232",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","Romão, G.O.",NA,NA,"26557","auto","2010",NA,NA,NA,NA,NA,NA,NA
