"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","sex","preparationType"
"1","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459680","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Wurdack JJ; Adderley LS","1959","07","20","Southern America","Venezuela","Venezuelan Expedition. Rio Siapa, Territorio Amazonas. On right bank of river 8 km below Ruadal Gallineta (about 100 river km from mouth).","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459680","NL-U1459680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:40:45-03","UFJF","CESJ","50891","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","V.Nicolack; J. Cordeiro","1989","11","06","América do Sul","Brasil","Jardim das Américas","Planta ereta, solo úmido. Campo limpo graminoso. Flores creme-esverdeadas.","CESJ050891",NA,"Angiosperma","Toscano","1991","83","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-16 17:50:18-03","UCS","HUCS","36196","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Nicolack, V.","1989","11","06",NA,"Brasil","Jardim das Américas","planta ereta , solo úmido, flores creme-esverdeadas; campo limpo graminosao",NA,NA,"Angiospermae","Toscano","1991","83","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:38:30-03","MBM","MBM","253420","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Dusén, P.","1914","10","22","Southern America","Brazil","23 Turma - Localidade de Lagoa Dourada, no Parque Estadual de Vila Velha. À época da coleta era a localização da 23ª turma de construção da estrada de ferro. Anotado por Motta, J.T., em 14/02/2019.","Locis paludosis.","MBM253420","MBM253420",NA,"Pabst, G.","1961","15709","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto","12","31","ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:38:30-03","MBM","MBM","136678","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Nicolack, V.; Cordeiro, J.; Cordeiro, J.","1989","11","06","Southern America","Brazil","Jardim das Américas",NA,"MBM136678","MBM136678",NA,"Toscano",NA,"83","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:38:30-03","MBM","MBM","49659","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Hatschbach, G.","1965","10","22","Southern America","Brazil","Rodovia do Café, Rio Tibagi",NA,"MBM049659","MBM049659",NA,"Pabst, G.",NA,"13048","Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:38:30-03","MBM","MBM","79895","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Hatschbach, G.","1982","10","26","Southern America","Brazil","Santa Rita",NA,"MBM079895","MBM079895",NA,"Toscano",NA,"45727","Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:44:37-03","UFMG","BHCB","156910","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Paula, LFA de","2011","10","30","Southern America","Brasil","Parque Nacional das Emas","Flor creme esverdeada","BHCB5453",NA,"Monocotyledon",NA,"2012","407","Goiás","Chapadao do Ceu","-52.888889","-18.260833",NA,NA,"04","23",NA,"-52.888889","-18.260833","1013","1013",NA,NA,NA,NA
"9","2020-12-11 11:44:37-03","UFMG","BHCB","64070","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Markgraf, F; Brade, AC; Barreto, HLM","1938","11","11","Southern America","Brasil","Grão Mogol, Serra de São Calixto","brejo","BHCB001597","BHCB001597","Monocotyledon",NA,NA,"3326","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"900","900",NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","2766490","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Per Dusén","1914","10","22","South America","Brazil","Turma n. 23. Locis paludosis.",NA,NA,NA,NA,"R. Schlechter",NA,"Dusén 15709","Paraná",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"800.00000000",NA,NA,NA,NA,NA
"11","2009-11-09 21:31:00-02","MO","MOBOT","2825930","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Julian A. Steyermark|Bruce K. Holst|Bruno J. Manara","1985","9","7","South America","Venezuela","Dept. Atures: On laja Tobogán de la Selva, Río Coromoto, 35 km SE of Puerto Ayacucho, among igneous exposures.",NA,NA,NA,NA,"G. Carnevali",NA,"Steyermark 131583","Amazonas",NA,"-67.55","5.45",NA,NA,NA,NA,NA,NA,NA,"80.00000000",NA,NA,NA,NA,NA
"12","2011-06-22 21:16:00-03","MO","MOBOT","3419630","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Euler Marín","1990","5",NA,"South America","Venezuela","Dpto Atabapo. 44 Km al N-W de San A. del Orinoco. Sabana con arbustos en grupos o esparcidos. Planicie arenosa y anegadiza.",NA,NA,NA,NA,NA,NA,"Marín 1281","Amazonas",NA,"-67.28333","3.5",NA,NA,NA,NA,NA,NA,NA,"130.00000000",NA,NA,NA,NA,NA
"13","2020-09-08 15:06:56-03","UNIOESTE","UNOP","5958","S","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Nicolack, V.; Cordeiro, J.; Cordeiro, J.","1989","11","06",NA,"Brasil","Jardim das Americas.","Planta ereta, solo úmido. Campo limpo graminoso. Flores creme-esverdeadas.",NA,NA,NA,"Toscano Brito, A.","1991","83","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2373315","PreservedSpecimen","Plantae","Monocotyledonae","Orchidales","Orchidaceae","Habenaria","dusenii","Habenaria dusenii",NA,"J. J. Wurdack & L. S. Adderley","1959","7","20","South America - Neotropics","Venezuela",NA,NA,NA,NA,NA,NA,NA,"43521","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"15","2019-11-21 10:13:23-03","IBt","SP","397238","S","Plantae",NA,NA,"Orchidaceae","Habenaria","dusenii","Habenaria dusenii","Schltr.","Nicolack, V; Cordeiro, J","1989","11","06",NA,"Brasil","Jardim das Américas",NA,NA,NA,NA,"Brito, AT","1991","83","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
