"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1145490","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","A. L. Peixoto","C. M. B. Correia","327","1993","03","06","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas. Trilha para a Pelonha, entrada em frente a trilha Morro do Calcario. FP017","-42.3917007446289","-22.6508007049561","29995","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320069' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145490","NY01145490_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-07 11:46:17-03","UFMS","CGMS","50712","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","A.L. Peixoto","E. Barbosa; J.M. Silva","629","2000","11","22",NA,"Brasil","Paraná","Campina Grande do Sul","Rio Capivari.","-49.0553016662598","-25.3055992126465","55154",NA,"Flor creme. Habitat: Beira do rio; Floresta atlântica. Habito: Arbusto. 2m de altura.","CGMS1080699",NA,"auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-16 17:53:08-03","UCS","HUCS","25984","PreservedSpecimen","Plantae","Angiospermae","Laurales","Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Peixoto, A.L.","Silva, J.M.","1532","1995","09","15",NA,"Brasil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596","41937",NA,"interior de pequenos capões, arbusto 2m, flor creme; encosta graminosa do morro",NA,NA,"auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-16 17:53:08-03","UCS","HUCS","37065","PreservedSpecimen","Plantae","Angiospermae","Laurales","Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Kameyama, C.","Hatschbach, G.","23326","1970","01","08",NA,"Brasil","Paraná","Guaraqueçaba","Serra Negra","-48.3288993835449","-25.3066997528076","37295",NA,"arbusto 2,5m., flor amarela; margem do rio",NA,NA,"auto","1993","10","10",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-16 08:40:09-03","UTFPR","HCF","19759","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","C. Kameyama","G. Hatschbach","23326","1970","01","08",NA,"Brasil","PR","Guaraqueçaba","Serra Negra","-48.3288993835449","-25.3066997528076","37295",NA,"arbusto, 2,50 m, flor amarela. Margem do rio.",NA,NA,"auto","1993","10","10",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:31:15-03","UFRRJ","RBR","7531","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","A.L. Peixoto","D. Sucre","6915","1970","05","29",NA,"Brasil","São Paulo","Caraguatatuba","Estrada São José do Campos, a + ou - 740msm.","-45.4099998474121","-23.6200008392334","30093",NA,NA,"RBR00007531",NA,"auto","1997",NA,NA,"05",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:31:15-03","UFRRJ","RBR","7529","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto",NA,"G. Hatschbach","17222","1968","09","25",NA,"Brasil","Paraná","Paranaguá","Pontal do Sul.","-48.5092010498047","-25.5200004577637","24916",NA,NA,"RBR00007529",NA,"auto",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 09:31:15-03","UFRRJ","RBR","37478","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","A.L. Peixoto","G. Hatschbach; O. Guimarães","23326","1970","01","08",NA,"Brasil","Paraná","Guaraqueçaba","Serra Negra. Margem do Rio.","-48.3288993835449","-25.3066997528076","37295",NA,NA,"RBR00037478","RBR00037478 RBR00037478_1","auto","1986",NA,NA,"03","20","Isotipo",NA,NA,NA,NA,NA
"9","2020-06-29 09:31:15-03","UFRRJ","RBR","7530","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto",NA,"A. Gentry; E. Zardini","49375","1985","01","09",NA,"Brasil","São Paulo","Caraguatatuba","Parque estadual de Caraguatatuba, Road Ne from SP.Hwy.99 at Km .66,0-2.4 km maim hwy ;wet premontane forest. 23º 28#?# S, 45º 30#?# W.","-45.4099998474121","-23.6200008392334","30093",NA,NA,"RBR00007530",NA,"auto",NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:35:44-03","MBM","MBM","255845","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Peixoto, A.L.","Barboza, E.; Silva, J.M.; Silva, J.M.","629","2000","11","22","Southern America","Brazil","Paraná","Campina Grande do Sul","Rio Capivari","-49.0553016662598","-25.3055992126465","55154",NA,NA,"MBM255845","MBM255845","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
