"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","recordNumber","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","dayIdentified","relatedCatalogItem","fieldNumber","previousCatalogNumber","sex"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1789","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Sarcoglottis","fasciculata","Sarcoglottis fasciculata","(Vell.) Schltr.","Leandro L. Giacomin","2005","09","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","11","02","Brasil","Minas Gerais","Marliéria","Lagoa Preta","-42.7322006225586","-19.7122001647949","28215","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","388412","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiales","Humiriaceae","Humiriastrum","villosum","Humiriastrum villosum","(Fróes) Cuatrec.","C. E. Zartman",NA,NA,"R. de Lemos Fróes","1947","10","21","Brazil","Amazonas",NA,"Rio Negro; Padauiry, Rio Pitima",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290871' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isotype","22644","South America","sheet","NY00388412","NY00388412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1281573","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiales","Humiriaceae","Humiriastrum","villosum","Humiriastrum villosum","(Fróes) Cuatrec.","C. E. Zartman",NA,NA,"M. T. Madison","1978","10","10","Brazil","Amazonas",NA,"Rio Negro, 20 km below Barcellos.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1721127' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"6139","South America","sheet","NY01281573","NY01281573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","388413","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiales","Humiriaceae","Humiriastrum","villosum","Humiriastrum villosum","(Fróes) Cuatrec.","C. E. Zartman",NA,NA,"R. de Lemos Fróes","1947","10","21","Brazil","Amazonas",NA,"Rio Negro; Padauiry, Rio Pitima",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290872' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isotype","22644","South America","sheet","NY00388413","NY00388413_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1721968","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Sarcoglottis","acaulis","Sarcoglottis acaulis","(Sm.) Schltr.",NA,NA,NA,"L. Y. T. Westra","1960","10","02","Brazil","Amapá",NA,"Rio Oiapoque, Cachoeira Camaraua, about 3 km southof mouth of Riv. Camopi","-52.32","3.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1045091' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"48538","South America","sheet","NY01721968","NY01721968_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4139032","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Sarcoglottis","acaulis","Sarcoglottis acaulis","(Sm.) Schltr.",NA,NA,NA,"A. B. Alvarez","2001","09","24","Ecuador","Carchi",NA,"Maldonada. Cultivada por Ecuagénera, Cuenca",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4469271' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"2933","South America","sheet","NY04139032","NY04139032_01","1200",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4139036","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Sarcoglottis","acaulis","Sarcoglottis acaulis","(Sm.) Schltr.",NA,NA,NA,"M. J. Jansen-Jacobs","1999","09","13","Guyana",NA,NA,"Upper Essequibo Region, Rewa River, near Camp 2 at foot of Spider Mountains.","-58.53","3.13",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4469275' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"5894","South America","sheet","NY04139036",NA,"220",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4139025","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Sarcoglottis","acaulis","Sarcoglottis acaulis","(Sm.) Schltr.",NA,NA,NA,"W. E. Broadway","1923","01","05","Venezuela",NA,NA,"Vicinity of Cristobal Colon",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4469264' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"106","South America","sheet","NY04139025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1721969","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Sarcoglottis","acaulis","Sarcoglottis acaulis","(Sm.) Schltr.",NA,NA,NA,"H. S. Irwin","1960","09","11","French Guiana",NA,NA,"Near edge of cachoeira. Cachoeira Tres Saltos","-52.88","2.2",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1045094' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"48157","South America","sheet","NY01721969","NY01721969_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4139031","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Sarcoglottis","acaulis","Sarcoglottis acaulis","(Sm.) Schltr.",NA,NA,NA,"H. S. Irwin","1963","09","25","Suriname",NA,NA,"Wilhelmina Gebergte. Zuid River. On granitic boulder lower slopes, Kayser Gebergte, 40 km above confluence with Lucie Rivier.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4469270' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"57593","South America","sheet","NY04139031",NA,"500",NA,NA,NA,NA,NA,NA,NA,NA
