"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:12-03","UNESC","CRI","10764","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Vanilde C. Zanette; Robson dos Santos","2000","07","25","Brasil","Santa Catarina","Praia Grande","Aparados da Serra - Trilha das Mulas.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI002158","CRI002158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","8694","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Marcelo Romagna Pasetto; San Zatta Custódio","2009","11","10","Brasil","Santa Catarina","Timbé do Sul",NA,"-49.8475","-28.830833","49º50'51''W","28º49'51''S","CRI002160","CRI002160","Rafael Martins","2009","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","9142","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","R. Affonso; A. Zanin","2011","03","17","Brasil","Santa Catarina","Joinville","Serra Dona Francisca, estrada para Campo Alegre.","-49.053611","-26.216944","49º3'13''W","26º13'1''S","CRI002162","CRI002162","R. Affonso","2011","03","17","205","741","741","Habitat: beira de estrada Habito: herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:12-03","UNESC","CRI","554","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","05","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI002163","CRI002163","Regina Affonso","2011","01","05","905","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:29-03","UNESC","CRI","109","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Vanilde C. Zanette; A. Bortot","1982","03","10","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI002164","CRI002164","Bruno Irgang","1982","03","10","547","111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","8782","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Andressa; Maristela Giasse & Vanilde Citadini Zanette","2000","05","27","Brasil","Santa Catarina","Criciúma","Santo André.","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI002159","CRI002159","Vanilde C. Zanette","2000","05","27",NA,"58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:29-03","UNESC","CRI","12045","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.153611","49º23'32''W","28º9'13''S","CRI010223","CRI010223","Guilherme Lodetti",NA,NA,NA,NA,"450","450","Habito: Herbáceo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:12-03","UNESC","CRI","12382","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Alexandre Medeiros","2017","04","24","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010589",NA,"Renato Colares","2017","06","08",NA,NA,NA,"Coleta 212.","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:12-03","UNESC","CRI","12703","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Alexandre Medeiros","2017","06","18","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro (Lagoa Sultepa)","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010917",NA,"Renato Colares & Aline V. Guislon","2017","09","18",NA,NA,NA,"Habito: Herbácea","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","661304","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Y. E. J. Mexia","1930","05","12","Brazil","Minas Gerais","Viçosa","Viçosa. Fazenda do Deserto; Buraco Frio.","-42.8817","-20.7542",NA,NA,"NY00661304","NY00661304_01","T. M. Koyama",NA,NA,NA,"4686","700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753843' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","612507","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","P. C. Orth","1933","01","18","Brazil","Rio Grande do Sul",NA,"P.Alegre.","-51.153181","-30.11284",NA,NA,"NY00612507","NY00612507_01","M. Barros",NA,NA,NA,"704",NA,NA,"Depauw Univ. Herbarium. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753830' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"12","2016-09-27 16:39:00-03","NY","NYBG","661302","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides",NA,"N. B. Deginani","1999","05","12","Argentina","Misiones","Guaraní","A 350 m del puente del arroyo Fortaleza.","-54.12","-26.9",NA,NA,"NY00661302",NA,"E. R. Guaglianone",NA,NA,NA,"1268","540","540","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753840' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","612494","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","R. Reitz","1959","07","11","Brazil","Santa Catarina",NA,"Pirao Frio, Sombrio.",NA,NA,NA,NA,"NY00612494","NY00612494_01","T. M. Koyama",NA,NA,NA,"8912","10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753850' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","612497","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","G. G. Hatschbach","1970","10","25","Brazil","Mato Grosso do Sul","Rio Brilhante","Rio Sta Luzia.","-54.5464","-21.8019",NA,NA,"NY00612497","NY00612497_01","M. Alves",NA,NA,NA,"25203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753829' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"15","2017-08-02 11:48:00-03","NY","NYBG","02618996","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides",NA,"R. Vervloet","2002","08","27","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Reserva Biológica de Augusto Ruchi, trilha vale do palmito.","-40.6003","-19.9358",NA,NA,"NY02618996","NY02618996_01",NA,NA,NA,NA,"731",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944899' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","612502","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","J. Ball","1882","07","10","Brazil",NA,NA,"Ex sylvis montanis Brasiliae prope Petropolis.","-43.055772","-22.471413",NA,NA,"NY00612502","NY00612502_01","T. M. Koyama",NA,NA,NA,"s.n.","2000","3000","Iter Australi-Americanum, 1882 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753848' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","612495","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","R. Reitz","1960","12","20","Brazil","Santa Catarina",NA,"Monte Crista, Garuva, Sao Francisco do Sul.",NA,NA,NA,NA,"NY00612495","NY00612495_01","T. M. Koyama",NA,NA,NA,"10461","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753851' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","612505","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","C. Angeli","1960","08","27","Brazil","Rio de Janeiro",NA,"Rio de Janeiro, Floresta da Tijuca, caminho das Almas.",NA,NA,NA,NA,"NY00612505","NY00612505_01","T. M. Koyama",NA,NA,NA,"167",NA,NA,"Centro de Pesquisas Florestais e Conservaçao da Natureza Tijuca - Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753839' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","612493","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","R. Reitz","1958","07","14","Brazil","Santa Catarina",NA,"Pinhal da Companhia, Lauro Muller-Urussanga.",NA,NA,NA,NA,"NY00612493","NY00612493_01","T. M. Koyama",NA,NA,NA,"6790","300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753849' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1016235","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","C. F. S. Muniz","1981","02","12","Brazil","São Paulo","Cunha","Reserva do Florestal","-45.052474","-23.263965",NA,NA,"NY01016235","NY01016235_01","C. F. S. Muniz",NA,NA,NA,"242","1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142796' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","612492","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","R. Reitz","1957","07","27","Brazil","Santa Catarina",NA,"Pôrto do Palmital, Garuva, S. Francisco do Sul.",NA,NA,NA,NA,"NY00612492","NY00612492_01","T. M. Koyama",NA,NA,NA,"4659","10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753845' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","612501","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","A. Löfgren","1888","06","09","Brazil","São Paulo",NA,"Rio Claro, S.Paulo.",NA,NA,NA,NA,"NY00612501","NY00612501_01","C. F. S. Muniz",NA,NA,NA,"9241",NA,NA,"Ex.Herv.Comm.Geogr.e Geol. de S.Paulo.n°614 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753841' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00519543","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","W. W. Thomas","2000","10","15","Brazil","Bahia","Boa Nova","Fazenda Riacháo, 7.8 km east of Boa Nova","-40.158317","-14.398617",NA,NA,"NY00519543","NY00519543_01","W. W. Thomas",NA,NA,NA,"12299","780","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753831' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00939569","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","P. L. Krieger","1970","10","24","Brazil","Minas Gerais","Juiz de Fora","Faz. do Diamante.","-43.468373","-21.740665",NA,NA,"NY00939569","NY00939569_01","M. Alves",NA,NA,NA,"9506",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994668' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","612496","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","M. Kaehler","1997","09","18","Brazil","Paraná","Morretes","Parque Estadual do Pico do Marumbi, Trilha do Facaozinho.","-48.9","-25.43",NA,NA,"NY00612496","NY00612496_01","C. Kozera",NA,NA,NA,"25",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753836' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","612491","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","R. Reitz","1957","06","14","Brazil","Santa Catarina",NA,"Sabiá, Vidal Ramos.",NA,NA,NA,NA,"NY00612491","NY00612491_01","T. M. Koyama",NA,NA,NA,"4293","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753844' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","612490","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","J. C. Lindeman","1966","07","22","Brazil","Paraná",NA,"Fazenda Sao Joao, W. of Sao Joao do Triunfo.",NA,NA,NA,NA,"NY00612490","NY00612490_01","T. M. Koyama",NA,NA,NA,"1942","840","840","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753847' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","798882","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","W. W. Thomas","2000","10","15","Brazil","Bahia","Boa Nova","Fazenda Riacháo, 7.8 km east of Boa Nova","-40.158317","-14.398617",NA,NA,"NY00798882","NY00798882_01","W. W. Thomas",NA,NA,NA,"12299","780","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753834' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"29","2017-08-02 11:52:00-03","NY","NYBG","02618997","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides",NA,"H. M. Longhi-Wagner","2007","04","17","Brazil","Rio Grande do Sul",NA,"Caraá após Fraga, caminho para a nascente do Rio dos Sinos, após a 1a cachoeira.","-50.2903","-29.7064",NA,NA,"NY02618997","NY02618997_01",NA,NA,NA,NA,"10290",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944906' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","612499","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","M. V. Peron","1989","08","14","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sítio Sophronites.","-42.5308","-22.2819",NA,NA,"NY00612499","NY00612499_01",NA,NA,NA,NA,"872",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753852' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
