"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","barcode","imagecode","fieldNumber","typeStatus","individualCount","infraspecificEpithet"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","1487","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea","Mart.exSchult.&Schult.f.","CarlosA.FerreiraJr.","2010","04","06","CarlosAlbertoF.Jr.;","2010","04","05","Brasil","MinasGerais","Caeté","SerradaPiedade","-43.6697006225586","-19.8799991607666","43°40.319'","19°49.293'","22051","1667","1667","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","3116","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea","Mart.exSchult.&Schult.f.","CarlosA.FerreiraJr.","2011","03","23","CarlosAlbertoF.Jr.; DanielaZappi,JulianaOrdones,GladstoneCôrreaAraujo,FernandoAraújo","2011","03","23","Brasil","MinasGerais","SantanadoPirapama","Trilhaaonortedeinhamepassandodacachoeira",NA,NA,"43°47.363'","18°54.449'",NA,"1205","1205","254",NA,"caf296",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:52-03","E","E","147371","PreservedSpecimen","Plantae",NA,NA,NA,"Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea",NA,NA,NA,NA,NA,"Fiebrig, K.","1902","01","27","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00147371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"326","E. Tropical South America","herbarium specimen of unspecif","BGBASE:154939","E00147371",NA,NA,NA,NA,NA
"4","2020-09-23 10:35:52-03","E","E","147373","PreservedSpecimen","Plantae",NA,NA,NA,"Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea",NA,NA,NA,NA,NA,"Fiebrig, K.","1902","01","27","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00147373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"326","E. Tropical South America","herbarium specimen of unspecif","BGBASE:154941","E00147373",NA,NA,NA,NA,NA
"5","2020-09-23 10:35:52-03","E","E","147368","PreservedSpecimen","Plantae",NA,NA,NA,"Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea",NA,NA,NA,NA,NA,"Fiebrig, K.","1902","10","27","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00147368 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"326","E. Tropical South America","herbarium specimen of unspecif","BGBASE:154653","E00147368",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","910707","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Liliales","Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea","Mart.","M. C. de Assis",NA,NA,NA,"H. S. Irwin","1971","01","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237",NA,NA,NA,"1800","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986656' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30246","South America","sheet",NA,"NY00910707","NY00910707_01",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01481915","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Liliales","Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea","Mart.","M. C. de Assis",NA,NA,NA,"W. R. Anderson","1973","04","14","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 9 km by road SW of Mendanha and the Rio Jequití on road to Diamantina","-43.56013","-18.1575",NA,NA,NA,"1150","1150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1755674' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"8874","South America","sheet",NA,"NY01481915","NY01481915_01",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1582923","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Liliales","Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea","Mart.","M. C. de Assis",NA,NA,NA,"H. S. Irwin","1968","02","09","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 45 km S.E. of Belo Horizonte.","-43.8","-20.2",NA,NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1851190' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19678","South America","sheet",NA,"NY01582923","NY01582923_01",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1005055","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Liliales","Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea","Mart.","M. C. de Assis",NA,NA,NA,"H. S. Irwin","1969","02","10","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 30 km N.E. of Francisco Sá, on road to Salinas","-43.2679","-16.4288",NA,NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071427' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"23015","South America","sheet",NA,"NY01005055","NY01005055_01",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00957849","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Liliales","Alstroemeriaceae","Alstroemeria","plantaginea","Alstroemeria plantaginea","Mart.","M. C. de Assis",NA,NA,NA,"C. M. Sakuragui","1994","03","22","Brazil","Minas Gerais",NA,"Francisco dumont. Serra do Cabral. Estrada entre a cidade e a Fazenda Serra do Cabral.",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018287' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"CFCR15352","South America","sheet",NA,"NY00957849","NY00957849_01",NA,NA,NA,NA
