"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","dayIdentified","class","order"
"1","2019-10-09 11:11:22-03","UFBA","ALCB","127992","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, S. Ortiz & Rodr.Oubiña","Bautista, HP","1999","09","Bautista, HP","2956","1999","09","02","Southern America","Brasil","Bahia","Barra da Estiva","Morro do Ouro.","-41.311389","-13.687222","-41.311389","-13.687222","1300","1300","ca. 50 cm de altura. Capítulos brancos. Frequente.; Campo Rupestre.","ALCB045099","ALCB045099",NA,NA,NA,NA,NA
"2","2019-10-09 11:11:22-03","UFBA","ALCB","128018","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, S. Ortiz & Rodr.Oubiña","Rodriguez-Oubiña, J","1998","09","Bautista, HP","2639","1998","09","05","Southern America","Brasil","Bahia","Barra da Estiva","Morro do Ouro.","-41.308333","-13.686111","-41.308333","-13.686111",NA,NA,"90 cm, flores alvas. Frequente.; Campo Rupestre.","ALCB045138","ALCB045138",NA,NA,NA,NA,NA
"3","2019-10-09 11:11:22-03","UFBA","ALCB","134795","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, S. Ortiz & Rodr.Oubiña","Amorim, VO","2015","09","Amorim, VO","377","2015","09","15","Southern America","Brasil","Bahia","Ibicoara","Gerais do Licuri.","-41.220556","-13.421944","-41.220556","-13.421944","983","983","Alt.: 1,70. Folhas coriáceas, discolores, vinosa. Inflorescência em capítulos, brácteas involucrais verdes, flores e ramos do estilete alvos. DNA: S. População: G.; Solo pedregoso.","ALCB060630","ALCB060630",NA,NA,NA,NA,NA
"4","2019-10-09 11:11:22-03","UFBA","ALCB","134796","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, S. Ortiz & Rodr.Oubiña","Amorim, VO","2015","09","Amorim, VO","383","2015","09","16","Southern America","Brasil","Bahia","Barra da Estiva","Morro da Antena.","-41.309444","-13.686944","-41.309444","-13.686944","1358","1358","Alt.: 0,60. Folhas coriáceas, levemente discolores sem resina. Inflorescência em capítulos, brácteas involucrais verdes, flores e ramos do estilete alvos. DNA: S. População: G.; Solo pedregoso.","ALCB060631","ALCB060631",NA,NA,NA,NA,NA
"5","2019-10-09 11:11:22-03","UFBA","ALCB","134797","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, S. Ortiz & Rodr.Oubiña","Amorim, VO","2015","09","Amorim, VO","387","2015","09","16","Southern America","Brasil","Bahia","Barra da Estiva","Morro da Antena.","-41.309444","-13.684722","-41.309444","-13.684722","1421","1421","Alt.: 0,50. Folhas coriáceas, levemente discolor. Inflorescência em capítulos, brácteas involucrais verdes, flores e ramos do estilete alvos. DNA: S. População: G.; Solo pedregoso.","ALCB060632","ALCB060632",NA,NA,NA,NA,NA
"6","2020-11-04 11:02:25-03","ESALQ","ESA","74380","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, Rodr.Oubiña & S.Ortiz","S.C.Ferreira",NA,NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Elias, S.I.","26129.0","2001","07","16",NA,"Brasil","Bahia","Barra da Estiva","Morro da Antena. 13o41'S, 41o16'W. 1200-1400 m.s.m. Campo rupestre","-41.3269004821777","-13.6260995864868",NA,NA,"1200","1200","Subarbusto; corola alva.","ESA074380","ESA074380","61861","auto",NA,NA,NA
"7","2019-02-15 11:34:34-02","IPA","IPA","80671","S","Plantae","Plantae","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, Rodr. Oubiña & S. Ortiz","Rodriguez-Oubiña, J.","1998","09","Bautista, H.P.","2639","1998","09","05","Southern America","Brasil","Bahia","Barra da Estiva","Morro do Ouro.","-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,"Arbusto ca. 90cm de altura, flores alvas. Frequente.; Campo rupestre.","IPA0080671",NA,"61861","auto",NA,NA,NA
"8","2019-02-15 11:34:34-02","IPA","IPA","80663","S","Plantae","Plantae","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, Rodr. Oubiña & S. Ortiz","Rodríguez-Oubina, J.","1998","09","Bautista, H.P.","2649","1998","09","06","Southern America","Brasil","Bahia","Barra da Estiva","Morro do Ouro., Morro em frente ao Morro do Ouro.","-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,"Arbusto ca. 70cm de altura, flores brancas. Ocasional.; Campo rupestre.","IPA0080663","IPA0080663","61861","auto",NA,NA,NA
"9","2019-02-15 11:34:34-02","IPA","IPA","80631","S","Plantae","Plantae","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, Rodr. Oubiña & S. Ortiz",NA,NA,NA,"Bautista, H.P.","2956","1999","09","02","Southern America","Brasil","Bahia","Barra da Estiva","Morro do Ouro.","-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,"Arbusto ca. 50cm de altura, capítulos brancos. Frequente.; Campo rupestre.","IPA0080631",NA,"61861","auto",NA,NA,NA
"10","2019-11-21 14:32:14-03","UFJF","CESJ","44394","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, Rodr.Oubiña & S.Ortiz","N.Hind.","2002","12","V.C. Souza; et al.","26129","2001","07","16","América do Sul","Brasil","Bahia","Barra da Estiva","Morro da Antena","-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,"Campo rupestre. Subarbusto; corola alva.","CESJ044394",NA,"61861","auto","06",NA,NA
