"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","geoFlag","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1027184","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","W. H. A. Hekking","G. T. Prance","7263","1968","09","14","South America","Brazil","Acre","Tarauacá","Vicinity of Tarauacá","-70.77","-8.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027184","NY01027184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1027185","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","W. H. A. Hekking","G. T. Prance","7529","1968","09","24","South America","Brazil","Acre","Tarauacá","1-3 km east of Rio Tarauacá, at Tarauacá","-70.77","-8.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451996' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027185","NY01027185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","471874","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","D. C. Daly","M. Silveira","1045","1995","11","20","South America","Brazil","Acre","Tarauacá","Bacia do Alto Juruá, Rio Tarauacá, margem direita. Reserva Indígena Praia do Carapana, colocaçao Macuripe.","-71.3731","-8.4606","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471874","NY00471874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02878133","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","S.E. Hoyos-Gomez","I. Brasil","359","2009","10","23","South America","Brazil","Acre","Feijó","Rio Juruparí","-69.93122","-7.94744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1565981' target='other'> <mi>dwc_moreinfo</mi></a>","NY02878133","NY02878133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02880076","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","S.E. Hoyos-Gomez","D. C. Daly","8781","1995","11","25","South America","Brazil","Acre","Tarauacá","Basin of Rio Juruá, Rio Tarauacá, left bank, Reserva Indígena Praia do Carapaná, Seringal Universo, Colocaçao Morada Nova.","-71.1992","-8.3453","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357345' target='other'> <mi>dwc_moreinfo</mi></a>","NY02880076","NY02880076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:58:27-03","NBC","NL-BOTANY","U 0007077","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","Hekking WHAM","Prance GT; Ramos JF; Farias LG",NA,"1968","09","14","Southern America","Brazil","Acre",NA,"State of AcreMunicipality of TarauacáVicinity of Tarauacá.",NA,NA,NA,"Forest on terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007077 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007077","NL-U0007077","Magnoliopsidae","1976","03","01","isotype","241761 B",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:58:27-03","NBC","NL-BOTANY","U.1758991","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking",NA,"Prance GT; Ramos JF; Farias LG",NA,"1963","09","24","Southern America","Brazil",NA,NA,"Brazilian Amazonia, State of Acre, Municipality of Tarauacá, 1-3 km east of Rio Tarauacá, at Tarauacá.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1758991 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1758991","NL-U1758991","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2014-06-10 05:49:00-03","MO","MOBOT","3117133","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","D. Daly","M.S. Silveira","Silveira 1045","1995","11","20","South America","Brazil","Acre",NA,"Tarauacá: Bacia do Alto Juruá, Rio Tarauacá, margem direita. Reserva Indígena Praia do Carapanã, Colocacão Macuripe. Floresta com bambu (Guadua) em terraco inundável.","-71.37305","-8.46055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","3117198","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","W.H.A. Hekking","Ghillean T. Prance","Prance 7263","1968","9","14","South America","Brazil","Acre",NA,"Municipality of Tarauacá. Vicinity of Tarauacá. Forest on terra firme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","3157921","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Rinorea","longistipulata","Rinorea longistipulata","Hekking","W.H.A. Hekking","Ghillean T. Prance","Prance 7529","1968","9","24","South America","Brazil","Acre",NA,"Municipality of Tarauacá. 1-3 km. east of Rio Tarauacá, at Tarauacá. Forest on terra firme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
