"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","year","month","day","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","typeStatus","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","sex"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","592","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","Elton. C. M. Leme","2011","08","Raymundo Fernandes Reis Junior;","Brasil","Bahia","Itapetinga","-40.2477989196777","-15.2489004135132","59623","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1279","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker",NA,"2008","09",NA,"Brasil","Minas Gerais","Nova Lima","-43.8466987609863","-19.9855995178223","29211","1","254","auto","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2363","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","Carlos A. Ferreira Jr.","2012","04","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandes, Juliana Ordones","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","1","254","auto","17","CAF495","2012","04","17","RPPN Brumas do Espinhaço e Ermo da Gerais","19º 02' 19S","43º 42' 35W","1341","1341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1150","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker",NA,"2008","01",NA,"Brasil","Pará","Barcarena","-48.6258010864258","-1.50583004951477","34723","1","254","auto","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1218","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker",NA,"2007","11",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,"254","auto","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","302","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Pedro Nahoum; A. Amorim; Jones Caldas da Silva","Brasil","Bahia","Ilhéus","-39.0494003295898","-14.7889003753662","61245","1","254","auto",NA,NA,"1995","04","04","Estrada Ilhéus-Serra Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","466","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","Elton. C. M. Leme","2009","05","José Manoel Lúcio Gomes;","Brasil","Espírito Santo","Guarapari","-40.5110015869141","-20.6580009460449","28401","1","254","auto",NA,NA,NA,NA,NA,"Parque Estadual Paulo César Vinhas, restinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2593","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","Carlos A. Ferreira Jr.","2012","04","Lucas Assis; Amanda; Carlos Alberto F. Jr.; Kelen; Marcelino Geraldo","Brasil","Minas Gerais","Confins","-43.9827995300293","-19.6324996948242","6260","1","254","auto","04",NA,"2012","04","04","Área de espansão do Aeroporto de Confins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","04230070","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","L. B. Smith",NA,NA,"G. T. Prance","Brazil","Pará",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4559063' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1409","1965","09","21","Rios Pacaja and Muirapiranga. Km. 1.5-3.5. Line SW of Ilha de Breu.",NA,NA,NA,NA,"South America","sheet","NY04230070",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","376380","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","B. K. Holst",NA,NA,"E. M. Zardini","Paraguay",NA,NA,"-56.18","-25.48",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561314' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"37032","1993","08","26","Guayaquí. Between Coronel Oviedo and Caaguazú, route 2, km 158-159",NA,NA,NA,NA,"South America","sheet","NY00376380",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","04230066","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker",NA,NA,NA,"M. H. Nee","Bolivia","Santa Cruz","Andrés Ibáñez","-63.18","-14.78",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4559059' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"35769","1987","08","26","Santa Cruz, cultivated ornamentals at home of G. Coimbra S.",NA,NA,"420",NA,"South America","sheet","NY04230066",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","04230060","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","L. B. Smith",NA,NA,"B. Maguire","Suriname",NA,NA,"-56.533","3.642",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4559052' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"54333","1963","07","21","9 km north of Lucie rivier, 10-12 km west of Oost Rivier",NA,NA,"300",NA,"South America","sheet","NY04230060",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","04230064","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","S. A. Mori",NA,NA,"S. A. Mori","French Guiana",NA,NA,"-53.2","3.62",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4559057' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"23781","1994","09","04","Saül and vicinity: Route de Bélizon. Close to Eaux Claires.",NA,NA,"200","400","South America","sheet","NY04230064",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","376381","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","L. B. Smith",NA,NA,"S. F. Smith","Peru","Madre de Dios",NA,"-69.33","-12.83",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561318' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"637","1985","10","09","2.9 km down the Main Trail from Explorer's Inn, near the confluence of Rio Tambopata & Rio La Torre, 39 km SW of Pueto Moldonado",NA,NA,NA,NA,"South America","sheet","NY00376381",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","04230079","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker","L. B. Smith",NA,NA,"G. T. Prance","Brazil","Pará",NA,"-51.7328","-3.535",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4559178' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"26373","1980","11","21","Basin of Rio Xingu, Gleba Bacaja, lote 88, just below mouth of Rio Bacaja",NA,NA,NA,NA,"South America","sheet","NY04230079",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4229775","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bromeliifolia","Aechmea bromeliifolia","(Rudge) Baker",NA,NA,NA,"H. S. Irwin","Suriname",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4555612' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"55153","1963","08","29","3 km. south of Juliana Top, 12 km. north of Lucie Rivier",NA,NA,"300","325","South America","sheet","NY04229775",NA,NA,NA,NA,NA,NA,NA
