"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","monthIdentified","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00103615","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus","Moldenke","H. N. Moldenke","isotype","H. S. Irwin","27118","1970","03","07","South America","Brazil","Minas Gerais","Summit of Serra do Cabral; ca. 8 kilometers west of Joaquin Felício","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103615","NY00103615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02086670","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke",NA,NA,"C. E. Calderón","2554","1979","06","18","South America","Brazil","Amazonas","Transamazon Highway, 9 km W of Rio dos Pombos, ca. 1.5 km E of Igarapé dos Pombos, and ca. 64 km E of the Aripuanã.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2225852' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086670","NY02086670_01","scrupulosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02086668","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke",NA,NA,"M. H. Nee","34957","1987","04","20","South America","Brazil","Rondônia","Along hwy. 364, 92 km. by road NE of junction with hwy. 425 at Abuna.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2225850' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086668","NY02086668_01","scrupulosus","Porto Velho","-64.666667","-9.366667","125","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02086669","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke",NA,NA,"C. E. Calderón","2580","1979","06","19","South America","Brazil","Amazonas","Transamazon Highway, 9 km W of Rio dos Pombos, ca. 1.5 km E of Igarapé dos Pombos, and ca. 64 km E of the Aripuanã.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2225851' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086669","NY02086669_01","scrupulosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00103616","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","H. N. Moldenke","isotype","C. E. Calderón","2692","1979","06","27","South America","Brazil","Amazonas","Transamazon highway, 53 kilometers west of Aripuana River; campina region","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103616","NY00103616_01","scrupulosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:17-03","UFBA","ALCB","60294","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","Nensold, N",NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","72050","2001","05","15","Southern America","Brasil","Minas Gerais","Serra do Cabral",NA,"solo arenoso e úmido.","ALCB016956","ALCB016956",NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242","1000","1000","2002","37503","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:06:58-03","ESALQ","ESA","60994","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger",NA,"Andrade, E.L.",NA,"Souza, V.C.; Souza, J.P.; Elias, S.I.; Forster, W.; Oliveira, A.C.P.","22489.0","1999","05","16",NA,"Brasil","Minas Gerais","Serra do Cabral. Campo arenoso com cerrado e afloramentos rochosos adjacentes.",NA,"Erva; capítulos cinza-escuros.","ESA060994","ESA060994",NA,"Joaquim Felício","-441.919","-177.081",NA,NA,"2009",NA,NA,"-441,919","-177,081",NA,NA,NA,NA,NA
"8","2020-11-04 11:06:58-03","ESALQ","ESA","83388","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","Hensold, N.",NA,"Hatschbach, G. et al.","72050.0","2001","05","15",NA,"Brasil","Minas Gerais","Serra do Cabral",NA,NA,"ESA083388","ESA083388",NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,"37503","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:15-03","IAP","PACA-AGP","87294","PreservedSpecimen","Plantae","Magnoliophyta","Eriocaules","Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","N. Nensold",NA,"Hatschbach, G.","72050","2001","05","15",NA,"Brasil","MG","Serra do Cabral",NA,"Habitat: campo rupestre solo arenoso e úmido","PACA087294",NA,NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242","1000","1000","2002","37503","auto",NA,NA,"Liliatae",NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006680","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","N. Hensold",NA,"G. Hatschbach; M. Hatschbach, E. Barbosa","72050","2001","5","15",NA,"Brazil","Minas Gerais","Serro do Cabral (Mun. Joaquim Felicio).",NA,NA,NA,NA,NA,NA,"-44.2","-17.8","950","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
