"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","infraspecificEpithet","scientificNameAuthorship","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","sex","class","relatedCatalogItem","minimumDepthInMeters","maximumDepthInMeters","individualCount","eventTime","fieldNumber"
"1","2020-09-23 10:43:26-03","E","E","330619","PreservedSpecimen","Plantae","Sapotaceae","Sideroxylon","obtusifolium","Sideroxylon obtusifolium","Fiebrig, K.","4488","E. Tropical South America","PY","North Paraguay","Zwischen Rio Apa und Rio Aquidaban. Villa Sana","herbarium specimen of unspecif","BGBASE:342454","<a href=http://data.rbge.org.uk/herb/E00330619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00330619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:26-03","E","E","87799","PreservedSpecimen","Plantae","Sapotaceae","Sideroxylon","obtusifolium","Sideroxylon obtusifolium","Bridgewater, S., Pennington, R.T. & Daza, A.",NA,"W. Tropical South America","PE",NA,NA,"herbarium specimen of unspecif","BGBASE:97728","<a href=http://data.rbge.org.uk/herb/E00087799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00087799","1998","03","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:26-03","E","E","325136","PreservedSpecimen","Plantae","Sapotaceae","Sideroxylon","obtusifolium","Sideroxylon obtusifolium","Spruce, R.","6480","W. Tropical South America","EC",NA,"Chanduy, in litore Maris Pacifici","herbarium specimen of unspecif","BGBASE:342430","<a href=http://data.rbge.org.uk/herb/E00325136 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00325136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:26-03","E","E","87798","PreservedSpecimen","Plantae","Sapotaceae","Sideroxylon","obtusifolium","Sideroxylon obtusifolium","Bridgewater, S., Pennington, R.T. & Daza, A.",NA,"W. Tropical South America","PE",NA,NA,"herbarium specimen of unspecif","BGBASE:97729","<a href=http://data.rbge.org.uk/herb/E00087798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00087798","1998","03","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:26-03","E","E","330621","PreservedSpecimen","Plantae","Sapotaceae","Sideroxylon","obtusifolium","Sideroxylon obtusifolium","Ratter, J.A.; Pott, A.; Pott, V.; Almeida Rego, S.C.; Martins, F. & Tamashiro, J.","6021","E. Tropical South America","BR","Mato Grosso Do Sul","Capâo de Fazenda Jacadigo, nr Corumbá. In the small wood at the side of a large lake (Lago de Jacadigo).","herbarium specimen of unspecif","BGBASE:342459","<a href=http://data.rbge.org.uk/herb/E00330621 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00330621","1987","11","20","-57.716667","-19.233333","-57.716667","-19.233333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:26-03","E","E","330613","PreservedSpecimen","Plantae","Sapotaceae","Sideroxylon","obtusifolium","Sideroxylon obtusifolium","Hassler, E. (Dr.)","11811","E. Tropical South America","PY","Central","Ypacaraí Lake region","herbarium specimen of unspecif","BGBASE:342446","<a href=http://data.rbge.org.uk/herb/E00330613 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00330613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:26-03","E","E","330614","PreservedSpecimen","Plantae","Sapotaceae","Sideroxylon","obtusifolium","Sideroxylon obtusifolium","Rojas, T.","14304","E. Tropical South America","PY","Asunción","Jardín Botánico","herbarium specimen of unspecif","BGBASE:342447","<a href=http://data.rbge.org.uk/herb/E00330614 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00330614","1950","09","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:26-03","E","E","325135","PreservedSpecimen","Plantae","Sapotaceae","Sideroxylon","obtusifolium","Sideroxylon obtusifolium","Smith, Herbert H.","2071","W. Tropical South America","CO",NA,"Santa Marta","herbarium specimen of unspecif","BGBASE:342429","<a href=http://data.rbge.org.uk/herb/E00325135 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00325135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1921399","PreservedSpecimen","Plantae","Sapotaceae","Bumelia","obtusifolia","Bumelia obtusifolia buxifolia","A. F. M. Glaziou","4075","South America","Brazil","Rio de Janeiro","Maruim, à Praia Grande.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2277027' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921399",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Ericales","buxifolia","(Roem. & Schult.) Cronquist","NY01921399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1921399","PreservedSpecimen","Plantae","Sapotaceae","Bumelia","obtusifolia","Bumelia obtusifolia buxifolia","A. F. M. Glaziou","4075","South America","Brazil","Rio de Janeiro","Maruim, à Praia Grande.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2277027' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921399",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Ericales","buxifolia","(Roem. & Schult.) Cronquist","NY01921399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
